Product code,Product label,China's imports from Russian Federation-Value in 2012,China's imports from Russian Federation-Value in 2013,China's imports from Russian Federation-Value in 2014,China's imports from Russian Federation-Value in 2015,China's imports from Russian Federation-Value in 2016,China's imports from Russian Federation-Value in 2017,China's imports from Russian Federation-Value in 2018,China's imports from Russian Federation-Value in 2019,China's imports from Russian Federation-Value in 2020,China's imports from Russian Federation-Value in 2021,Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
470329,"Semi-bleached or bleached non-coniferous chemical wood pulp, soda or sulphate (excluding dissolving ...",136995,91975,99788,117921,88539,172230,183873,141381,78851,73787,,334887,243349,209313,205309,170139,233499,281381,208310,139017,142368,,3577063,4069878,4089090,4731675,4255921,6157191,8302948,6889207,6336486,6917166
30364,"Frozen haddock """"Melanogrammus aeglefinus""""""""",44861,31642,66333,48780,45109,47562,86400,60008,78138,68883,,1791,11292,33757,12796,14660,23183,50967,40629,55799,69218,,116557,115951,151777,91444,100487,123247,158071,137253,133233,135093
720712,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...""",0,0,0,0,0,0,0,52591,637697,66044,,5072629,4036196,4157145,2436313,2534118,3619482,4508846,3151507,2167396,6101816,,33761,104920,26719,27674,14826,13784,63620,346512,2489777,771308
440391,"Oak """"Quercus spp."""" in the rough, whether or not stripped of bark or sapwood, or roughly ...""",31968,47982,63649,52172,50230,60393,55848,56531,60812,65612,,21880,39049,48496,35440,32413,37759,35444,36541,39540,45237,,125228,154593,272550,260460,252964,398741,433753,302356,341897,496140
999999,Commodities not elsewhere specified,9360,10326,57150,49602,224129,287112,201484,215580,251488,63559,,12711257,13208165,11646991,55364811,45239262,52887528,63746027,55265424,39315738,73343877,,68769069,104735488,82763505,80518802,77492643,66855229,29854611,10614452,10906755,12196803
710813,"Gold, incl. gold plated with platinum, in semi-manufactured forms, for non-monetary purposes",0,0,0,0,0,0,0,55,36,62861,,5588,2264,235,1792,228,260,137,208,94,636,,0,0,0,0,0,0,2684363,2776451,493649,813644
80290,"Nuts, fresh or dried, whether or not shelled or peeled (excluding coconuts, Brazil nuts, cashew ...",55694,2301,43120,82676,34375,25466,19665,52575,63710,61679,,21137,2039,8536,7652,8830,9104,9716,10551,18927,29623,,94906,60770,214804,284937,214454,262017,204599,361513,351303,477637
480421,"Unbleached sack kraft paper, uncoated, in rolls of a width > 36 cm (excluding goods of heading ...",6238,4658,6742,12042,15157,16535,21581,29675,59990,60859,,182424,202426,214199,188425,175651,217859,298188,288714,213993,203001,,57434,64707,65171,67694,59789,76810,76663,72265,121577,91631
400231,"Isobutylene isoprene rubber """"IIR"""", in primary forms or in plates, sheets or strip""""",75979,77567,64769,61565,38908,49288,47479,83235,97351,58423,,309205,324501,262427,173365,179421,206957,232079,191589,181856,192882,,187821,205059,200718,149657,109618,126826,136301,158714,179441,136953
440397,"Poplar and aspen """"Populus spp."""" in the rough, whether or not stripped of bark or sapwood, ...""",0,0,0,0,0,51297,49756,44517,45834,57355,,0,0,0,0,0,51990,60014,53223,56083,66220,,0,0,0,0,0,61041,60179,51592,49989,64471
