Product code,Product label,Viet Nam's imports from Saudi Arabia-Value in 2012,Viet Nam's imports from Saudi Arabia-Value in 2013,Viet Nam's imports from Saudi Arabia-Value in 2014,Viet Nam's imports from Saudi Arabia-Value in 2015,Viet Nam's imports from Saudi Arabia-Value in 2016,Viet Nam's imports from Saudi Arabia-Value in 2017,Viet Nam's imports from Saudi Arabia-Value in 2018,Viet Nam's imports from Saudi Arabia-Value in 2019,Viet Nam's imports from Saudi Arabia-Value in 2020,Viet Nam's imports from Saudi Arabia-Value in 2021,Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
210112,"Preparations with a basis of extracts, essences or concentrates of coffee or with a basis of ...",0,0,0,0,0,0,0,0,0,,,203,404,1054,1242,2453,1902,829,1455,4403,4111,,62,145,835,1618,3082,8535,6129,4752,4308,13965
220190,"Ordinary natural water, not containing added sugar, other sweetening matter or flavoured; ice ...",0,0,0,0,0,0,0,0,0,,,0,77,0,0,0,0,0,0,0,0,,22,64,80,114,71,82,124,158,392,1827
220410,Sparkling wine of fresh grapes,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,777,991,265,523,560,468,977,1197,981,6516
220850,Gin and Geneva,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,289,247,338,317,260,393,369,342,221,1498
220900,"Vinegar, fermented vinegar and substitutes for vinegar obtained from acetic acid",0,0,0,0,0,0,0,0,0,,,364,612,580,1112,1101,1512,1585,1240,1538,1301,,983,1238,1467,1185,1711,1881,2388,2927,2939,2320
230240,"Bran, sharps and other residues of cereals, whether or not in the form of pellets, derived ...",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,60,0,0,0,0,,42323,19550,19991,22107,17044,9846,15173,8042,9767,2523
230310,Residues of starch manufacture and similar residues,0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,0,0,62,,24815,23269,15185,9647,13890,33470,56564,61283,61876,65506
230650,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,34530,39756,19105,25179,16928,19839,19676,16422,11527,11020
230700,Wine lees; argol,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,
250410,Natural graphite in powder or in flakes,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,746,1008,946,1103,1326,1275,1292,1492,1257,2136
250860,Mullite,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,2179,1566,1879,1610,1650,1166,1573,2120,2682,912
251110,"Natural barium sulphate """"barytes""""""""",0,0,0,0,0,0,0,0,0,,,578,0,0,2,0,154,749,1195,1916,2111,,909,953,1319,1582,1778,1909,3235,2235,2763,4382
251120,"Natural barium carbonate """"witherite"""", whether or not calcined (excluding barium oxide)""""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,453,0,0,0,,0,13,41,0,152,11,0,0,164,
251511,"Marble and travertine, crude or roughly trimmed",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,58,12,1289,482,1721,1093,2033,1123,411,4779
251612,"Granite, merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular ...",0,0,0,0,0,0,0,0,0,,,6526,755,80,73,0,0,0,0,0,0,,24332,17448,20466,17300,17148,19441,20516,14639,15291,2107
251710,"Pebbles, gravel, broken or crushed stone, for concrete aggregates, for road metalling or for ...",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,6,0,0,0,0,,1698,1004,1169,1390,1040,1287,1684,1574,1043,319
251730,Tarred macadam,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,11,0,0,34,0,0,0,
