Product code,Product label,India's imports from Japan-Value in 2012,India's imports from Japan-Value in 2013,India's imports from Japan-Value in 2014,India's imports from Japan-Value in 2015,India's imports from Japan-Value in 2016,India's imports from Japan-Value in 2017,India's imports from Japan-Value in 2018,India's imports from Japan-Value in 2019,India's imports from Japan-Value in 2020,India's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
370790,"Preparation of chemicals for photographic uses, incl. unmixed products put up in measured portions ...",4896,6376,6674,7215,8110,7497,4815,4099,2301,4694,,2730626,2636017,2637034,2356921,2581946,2687816,2858834,2895876,2827755,3354856,,38096,39072,39881,37581,29949,28592,29497,29953,17178,20248
293339,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyridine ring, ...",3363,3636,4417,3213,9284,8573,4885,5302,6051,4671,,388283,361110,307873,273398,296108,307553,235407,286411,269518,296143,,156591,183333,183203,193242,230542,273430,298180,267489,254101,252172
340290,"Surface-active preparations, washing preparations, incl. auxiliary washing preparations and ...",2730,2973,2728,2494,2670,3605,4273,3826,3566,4646,,143631,128698,142239,131783,162448,176568,182411,180251,185979,216498,,44368,47828,65346,57836,69779,76843,102011,101309,106601,132581
721499,"Bars and rods, of iron or non-alloy steel, only hot-rolled, only hot-drawn or only hot-extruded ...",298,373,506,2298,1359,160,576,277,1269,4578,,419864,349307,367132,333421,310983,353964,389523,337846,197405,358307,,22850,23721,9675,12626,11479,11874,15449,31947,15607,16118
722519,"Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, non-grain-oriented",8928,17046,7513,18412,4304,1995,2409,1265,1617,4567,,426411,365053,399153,313374,266533,288643,318721,228437,180155,331122,,239957,220571,188306,169702,175654,290758,332887,307297,171518,454786
850152,"AC motors, multi-phase, of an output > 750 W but <= 75 kW",23183,19503,1765,5585,4431,3057,3079,5811,2716,4549,,472526,441388,476903,404826,440350,529001,572341,610339,747811,1166709,,103920,113798,124757,129716,101785,98487,130195,112992,85001,147572
853990,"Parts of electric filament or discharge lamps, sealed beam lamp units, ultraviolet or infra-red ...",921,662,714,255,537,1236,2553,2902,2840,4532,,47776,31967,33795,23036,21879,24523,22214,24922,14904,20713,,69921,57864,52788,54370,51770,56063,72006,68173,53457,64502
721069,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",3633,1793,3251,3220,2923,2305,2029,2498,783,4522,,50175,36445,32110,28407,26652,29998,25853,16023,11844,20756,,23447,20708,23301,30442,29193,37419,43146,25676,14995,41471
281122,Silicon dioxide,1794,1609,2670,3134,3566,5119,4464,3276,3489,4515,,264035,214832,211032,220610,242306,255522,256098,268708,267164,334069,,24982,28347,37152,40603,38398,45251,51782,55601,49757,63888
390120,"Polyethylene with a specific gravity of >= 0,94, in primary forms",9966,6096,9322,8541,7456,10812,2504,4078,3249,4471,,332778,294819,258504,193835,177220,190376,200257,203452,188755,227457,,581015,548093,808620,766805,726117,707632,828138,599820,567047,880543
