Product code,Product label,"United States of America's imports from Taipei, Chinese-Value in 2012","United States of America's imports from Taipei, Chinese-Value in 2013","United States of America's imports from Taipei, Chinese-Value in 2014","United States of America's imports from Taipei, Chinese-Value in 2015","United States of America's imports from Taipei, Chinese-Value in 2016","United States of America's imports from Taipei, Chinese-Value in 2017","United States of America's imports from Taipei, Chinese-Value in 2018","United States of America's imports from Taipei, Chinese-Value in 2019","United States of America's imports from Taipei, Chinese-Value in 2020","United States of America's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
401390,"Inner tubes, of rubber (excluding those of a kind used on motor cars, incl. station wagons ...",2263,1453,1566,1492,1545,1688,1394,1548,1771,1662,,9858,8094,7740,5803,5458,4962,4789,3587,3951,4660,,68625,65180,64506,61848,52485,51334,48855,42204,49242,59117
847751,Machinery for moulding or retreading pneumatic tyres or for moulding or otherwise forming inner ...,114,0,134,5222,871,0,2538,9507,969,1662,,29482,22324,10395,41798,26108,23303,16117,26735,30535,13715,,76156,85446,147428,176557,82506,123672,48510,59941,30748,51861
740911,"Plates, sheets and strip, of refined copper, in coils, of a thickness of > 0,15 mm (excluding ...",123,33,132,22,6,28,162,1031,914,1661,,25949,27179,32850,27944,21777,33175,36989,34556,28885,43723,,205826,166476,176292,143072,133780,168610,190650,152765,128401,237211
691010,"Ceramic sinks, washbasins, washbasin pedestals, baths, bidets, water closet pans, flushing ...",113,74,223,99,42,157,163,277,1432,1656,,3079,2172,3117,2818,2254,3194,2189,1766,1331,2481,,533950,557437,574845,630437,582632,628480,740988,836225,902295,1466238
540490,"Strip and the like, e.g. artificial straw, of synthetic textile material, with an apparent ...",682,810,1101,782,1036,1135,1364,898,1321,1655,,1799,2318,1911,1583,1583,1703,2029,2135,2204,2466,,66658,89805,93600,110277,94830,80850,105658,114847,113630,142864
741521,"Washers, """"incl. spring washers and spring lock washers"""", of copper""""",1265,981,1073,1040,766,875,1380,1298,1027,1634,,1655,1789,2502,2539,2417,2813,2815,2394,3642,4608,,12036,10564,11633,9699,7062,7868,11060,10497,7694,11531
731589,"Chain of iron or steel (excluding articulated link chain, skid chain, stud-link chain, welded ...",541,675,716,773,869,1002,873,913,1403,1625,,13366,15288,12947,13080,9995,8679,7840,8281,7435,9193,,21033,18341,21058,21150,20549,22462,25314,26938,35331,34123
190532,Waffles and wafers,568,742,960,1154,1167,1503,1360,1502,1670,1622,,1624,3003,3480,3114,3607,3458,4058,4204,4218,2989,,353880,333685,346011,407869,445931,490048,550538,590618,597570,735977
900850,"Image projectors, and photographic enlargers and reducers (excluding cinematographic and parts)",196,120,211,226,356,1172,528,681,687,1621,,0,106,142,71,365,36,0,28,52,98,,16635,19283,20025,22204,29345,54512,42639,45345,35981,46885
190490,"Cereals (excl. maize [corn]) in grain or flake form or other worked grains, pre-cooked or otherwise ...",1394,1403,1519,1820,2387,2712,3177,2993,2313,1616,,6326,6634,7336,7101,7522,7599,8657,9754,7614,8932,,144402,151679,160878,160031,131773,138374,171561,187223,234386,250422
292250,"Amino-alcohol-phenols, amino-acid-phenols and other amino-compounds with oxygen function (excluding ...",1072,2984,686,554,410,583,872,780,1288,1616,,3583,3468,3383,2918,3040,5540,6490,6834,10657,14794,,625019,192318,219496,213617,273906,334996,942675,702500,459470,846698
