Product code,Product label,Viet Nam's imports from United States of America-Value in 2012,Viet Nam's imports from United States of America-Value in 2013,Viet Nam's imports from United States of America-Value in 2014,Viet Nam's imports from United States of America-Value in 2015,Viet Nam's imports from United States of America-Value in 2016,Viet Nam's imports from United States of America-Value in 2017,Viet Nam's imports from United States of America-Value in 2018,Viet Nam's imports from United States of America-Value in 2019,Viet Nam's imports from United States of America-Value in 2020,Viet Nam's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
760421,"Hollow profiles of aluminium alloys, n.e.s.",26,19,9,2,2,90813,313097,5,3,,,107407,111373,85782,110041,1284317,80605,90413,85234,73836,102031,,7075,7202,15946,298736,475414,277043,569720,246548,151324,191595
760900,"Aluminium tube or pipe fittings (e.g., couplings, elbows, sleeves)",33,18,24,32,13,32,84,62,104,,,131727,159977,179733,179443,179244,181758,180317,172929,129334,139087,,1733,2244,1821,2170,2715,3588,6426,6697,7097,7539
761300,Aluminium containers for compressed or liquefied gas,268,162,560,759,611,377,741,561,254,,,131391,149254,151506,141999,125340,142586,138659,132836,112291,111770,,421,382,875,1025,1109,1191,1425,1575,1365,1667
761410,"Stranded wire, cables, plaited bands and the like, of aluminium, with steel core (excluding ...",0,0,0,0,0,0,0,0,0,,,33607,73842,29911,11876,7752,4926,6104,12896,7586,16036,,6069,14594,604,9828,5729,3827,4834,15303,2571,4590
810199,"Articles of tungsten, n.e.s.",1438,13,1074,36,1154,69,5,6,85,,,25124,28069,33980,27673,31932,45168,61415,68354,48445,51867,,8866,15492,7951,9357,10134,8956,10405,9758,8830,4474
810299,"Articles of molybdenum, n.e.s.",0,101,0,0,0,1,0,30,3,,,21343,20491,14741,6476,8107,7872,4872,9376,5972,8517,,377,898,362,470,802,359,751,503,1403,254
810390,"Articles of tantalum, n.e.s.",2,0,0,0,0,0,1,1,0,,,72284,48327,41871,36974,36455,56992,83202,87245,111297,117477,,25,1,1,24,21,42,37,41,38,20
810520,Cobalt mattes and other intermediate products of cobalt metallurgy; unwrought cobalt; cobalt ...,41,13,11,4,0,16,88,1091,463,,,102945,94280,102048,76828,69208,87708,140993,122047,93809,137857,,310,196,334,134,197,111,697,1691,894,2033
811212,Unwrought beryllium; beryllium powders,0,0,0,0,0,0,0,0,0,,,914,453,95,300,272,85,279,132,223,448,,0,5,5,0,0,0,0,0,0,
811221,Unwrought chromium; chromium powders,13,40,26,2,24,10,0,0,0,,,9695,8448,9538,8889,6994,7735,7202,7215,7198,9305,,66,238,187,79,117,65,146,120,100,567
811292,"Unwrought niobium """"columbium"""", gallium, indium, vanadium and germanium; powders and waste ...""",9,6,10,153,80,33,73,13,55,,,91949,80945,91269,98521,68856,58689,52065,33953,31205,32525,,37,6,10,430,423,159,230,114,62,222
