Product code,Product label,China's imports from India-Value in 2012,China's imports from India-Value in 2013,China's imports from India-Value in 2014,China's imports from India-Value in 2015,China's imports from India-Value in 2016,China's imports from India-Value in 2017,China's imports from India-Value in 2018,China's imports from India-Value in 2019,China's imports from India-Value in 2020,China's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
10594,"Live fowls of the species Gallus domesticus, weighing > 185",0,0,0,0,0,0,0,0,0,0,,0,68,0,0,0,0,0,0,0,6,,0,0,0,0,0,0,0,0,0,0
10614,Live rabbits and hares,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,,994,495,831,619,436,392,367,228,539,0
10641,Live bees,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,6,0,0,1,,214,275,428,386,361,367,377,265,0,6
20230,"Frozen, boneless meat of bovine animals",0,0,0,0,0,0,0,0,0,0,,2961134,4410700,4719043,4029377,3680161,3936898,3339386,3062579,2762444,2936398,,223678,1036688,1007759,1990808,2194791,2703065,4240397,7195690,9003778,9573775
20319,"Fresh or chilled meat of swine (excluding carcases and half-carcases, and hams, shoulders and ...",0,0,0,0,0,0,0,0,0,0,,189,57,0,0,0,67,9,3,0,0,,13,85,3074,109,0,15,50,39,17286,4618
20321,Frozen carcases and half-carcases of swine,0,0,0,0,0,0,0,0,0,0,,0,30,126,0,0,361,1629,1549,930,3877,,213,288,0,750,3320,682,0,2434,7736,6359
20421,Fresh or chilled sheep carcases and half-carcases (excluding lambs),0,0,0,0,0,0,0,0,0,0,,35715,91121,99989,103557,104152,114347,102870,94085,44013,51775,,0,0,0,0,0,486,1115,1443,312,0
20423,Fresh or chilled boneless cuts of sheep,0,0,0,0,0,0,0,0,0,0,,0,147,0,0,4,23,0,7,22,45,,76,5,0,0,14,92,293,498,851,2817
20621,Frozen edible bovine tongues,0,0,0,0,0,0,0,0,0,0,,1330,2415,3847,2269,1167,2757,5242,4576,4577,3864,,0,18,0,4286,3952,4082,5187,1584,1146,2559
20629,Frozen edible bovine offal (excluding tongues and livers),0,0,0,0,0,0,0,0,0,0,,73037,142190,119318,88779,93840,160725,204987,213136,235589,299395,,26244,60933,60343,65091,68003,69500,83595,105522,93337,125687
20680,"Fresh or chilled edible offal of sheep, goats, horses, asses, mules and hinnies",0,0,0,0,0,0,0,0,0,0,,404,238,299,103,76,15,415,230,81,62,,0,0,0,0,0,0,0,0,0,0
20725,"Frozen turkeys of the species domesticus, not cut into pieces",0,0,0,0,0,0,0,0,0,0,,0,0,0,96,0,0,0,0,0,0,,667,1131,926,439,1634,1446,1060,858,367,850
20727,Frozen cuts and edible offal of turkeys of the species domesticus,0,0,0,0,0,0,0,0,0,0,,179,26,0,42,0,51,0,468,957,556,,84597,76653,58774,30955,53605,2488,3896,38675,49635,37966
20744,Fresh or chilled cuts and edible offal of domestic ducks (excluding fatty livers),0,0,0,0,0,0,0,0,0,0,,0,12,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
21011,"Hams, shoulders and cuts thereof of swine, salted, in brine, dried or smoked, with bone in",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,107,66,0,15,16,11,3170,6800,11035
30214,"Fresh or chilled Atlantic salmon """"Salmo salar"""" and Danube salmon """"Hucho hucho""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,,145864,151784,261351,307930,327648,356030,651843,686312,326295,529612
30223,"Fresh or chilled sole """"Solea spp.""""""""",0,0,0,0,0,0,0,0,0,0,,7,42,14,30,60,148,133,101,12,50,,27,5,1,0,0,2,2,44,18,0
30244,"Fresh or chilled mackerel """"Scomber scombrus, Scomber australasicus, Scomber japonicus""""""""",0,0,0,0,0,0,0,0,0,0,,0,783,1731,130,228,515,256,975,1131,1381,,46,14,47,154,207,249,323,402,259,361
30246,"Fresh or chilled cobia """"Rachycentron canadum""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,62,56,38,1,4,,0,0,0,0,0,0,0,0,0,0
30271,"Fresh or chilled tilapia """"Oreochromis spp.""""""""",0,0,0,0,0,0,0,0,0,0,,0,113,23,2,0,152,422,20,3,2,,0,0,0,0,0,0,0,0,0,0
