Product code,Product label,"Korea, Republic of's imports from Japan-Value in 2012","Korea, Republic of's imports from Japan-Value in 2013","Korea, Republic of's imports from Japan-Value in 2014","Korea, Republic of's imports from Japan-Value in 2015","Korea, Republic of's imports from Japan-Value in 2016","Korea, Republic of's imports from Japan-Value in 2017","Korea, Republic of's imports from Japan-Value in 2018","Korea, Republic of's imports from Japan-Value in 2019","Korea, Republic of's imports from Japan-Value in 2020","Korea, Republic of's imports from Japan-Value in 2021",Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
722810,"Bars and rods of high-speed steel (excluding semi-finished products, flat-rolled products and ...",11162,11324,11150,9639,7472,10384,8066,6883,5146,5152,,46885,36819,45217,39601,37625,42391,46310,41730,36206,42262,,42736,34891,31445,26801,24691,30311,29214,32270,18449,19389
290919,"Acyclic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives (excluding ...",8972,7414,7129,5573,5780,7504,5861,5914,5302,5143,,234491,219754,184569,193860,167625,168722,155506,127415,120079,105808,,220786,133795,122012,125740,124127,132459,142051,126130,106141,106216
284390,"Inorganic or organic compounds of precious metals, whether or not chemically defined (excluding ...",4826,2971,2001,1257,1143,460,863,1191,1733,5142,,224594,177086,182810,146254,169655,255355,350207,584123,1395957,2867399,,69580,61479,78575,116410,129716,109218,91376,80111,96960,144011
481151,"Paper and paperboard, surface-coloured, surface-decorated or printed, coated, impregnated or ...",691,737,866,626,871,5133,1295,183,2920,5130,,242188,212954,216014,209639,264061,261672,257458,232431,194863,225575,,105523,100359,99834,106723,102342,107067,107173,103093,98073,102034
401180,"New pneumatic tyres, of rubber, of a kind used on construction, mining or industrial handling ...",0,0,0,0,0,7609,9550,10131,4842,5078,,0,0,0,0,0,1629635,1882674,1967193,1559544,1897973,,0,0,0,0,0,44892,46735,44962,40380,47649
740710,"Bars, rods and profiles, of refined copper, n.e.s.",8792,6831,6112,4999,5006,4082,4980,3430,3284,5065,,56081,47946,49845,45076,49030,61595,62803,59724,35747,86481,,15587,16308,9257,7303,6246,7468,8292,7580,6593,9704
842119,"Centrifuges, incl. centrifugal dryers (excluding isotope separators, cream separators and clothes ...",12935,5457,11952,4392,5676,5110,6031,4526,8005,5057,,151310,69585,82646,60139,69343,82929,87798,76288,79479,79244,,71799,69520,100660,89424,63205,45975,42994,44890,53895,47820
845590,"Parts of metal-rolling mills, n.e.s.",36024,55096,9261,4363,13829,15140,7882,9916,28181,5052,,363232,255061,102385,85779,111602,102903,73363,128671,91591,60537,,109863,120314,22441,62984,34839,26891,32277,31065,82811,31496
284290,"Salts of inorganic acids or peroxoacids (excluding of oxometallic or peroxometallic acids, ...",74405,67256,83444,91937,62528,39269,10637,5643,5902,5050,,45341,44421,45350,35780,39361,44260,42162,43112,41408,48349,,173092,137702,177145,210888,102768,65163,24091,15897,12343,9509
330300,"Perfumes and toilet waters (excluding aftershave lotions, personal deodorants and hair lotions)",239,212,162,168,370,1040,3602,3314,4539,5049,,2589,2173,2026,1405,2472,4423,8848,7222,5993,7255,,108624,119219,140634,143814,160128,174190,175347,178858,202257,245655
750512,"Bars, rods, profiles and wire, of nickel alloys, n.e.s. (excluding electrically insulated products)",8271,6097,16736,9587,15671,11330,10230,12130,11724,5046,,40164,35320,49275,34145,39691,32399,27336,30029,28325,29267,,59912,46977,52884,43383,40073,40876,35916,41753,37423,28344
920120,Grand pianos,4705,3624,4817,4316,3774,3876,3842,4500,4097,4975,,114964,115061,117122,105335,101599,110671,118790,124067,112455,140967,,8379,8121,8570,7362,8355,8107,8813,9980,8303,9231
482390,"Paper, paperboard, cellulose wadding and webs of cellulose fibres, in strips or rolls of a ...",5213,3051,3206,3436,3908,4191,5387,5818,3901,4973,,180210,160718,147372,137561,149944,165945,172171,162510,187267,208562,,24718,22589,23635,22853,23043,27279,34297,36764,39926,64673
380190,"Preparations based on graphite or other carbon in the form of pastes, blocks, plates or other ...",4637,5449,6326,4105,5133,5688,5556,5236,5646,4960,,17713,20284,17788,13722,15855,16255,20868,20475,16997,24692,,12305,13179,16686,9969,10165,12481,13379,15532,13370,12714
731829,"Non-threaded articles, of iron or steel",2405,1667,2028,2230,2975,3212,6879,2983,3586,4957,,183222,157705,150410,125635,134600,142043,146928,134870,112303,149309,,47267,51748,56917,62058,81725,57002,66147,58182,50299,60301
852359,"Semiconductor media, unrecorded, for the recording of sound or of other phenomena (excluding ...",1356,4378,1632,703,2103,3231,566,926,1607,4956,,6494,5119,5685,7396,10550,11131,13126,12318,15005,17147,,60984,59886,48416,53834,79831,99268,88074,54506,40841,69442
392113,"Plates, sheets, film, foil and strip, of cellular polyurethanes, unworked or merely surface-worked ...",13113,15096,12545,11904,9015,6977,7319,7113,5910,4930,,222348,213850,197253,195962,199831,205947,202559,193455,144801,152328,,37047,37536,42883,49573,48881,55008,56414,51523,54693,63972
821191,"Table knives having fixed blades of base metal, incl. handles (excluding butter knives and ...",2963,2485,2309,3084,3456,5135,4923,4559,5298,4922,,986,1117,912,1420,1364,1550,1728,2367,1838,2585,,18610,21347,23350,28124,26531,26650,26199,20440,18296,21687
871499,"Parts and accessories, for bicycles, n.e.s.",12269,10076,9655,10511,8500,5272,4334,3797,4408,4919,,590002,452138,517529,551456,546224,501110,510114,477873,485718,684426,,63649,58326,69340,73868,58576,46042,40067,37418,56551,67293
846781,"Chainsaws for working in the hand, with self-contained non-electric motor",6121,4115,5088,5350,4851,4042,5177,4003,3976,4907,,62137,70428,61513,49036,51449,40065,41843,38466,41768,54154,,17515,18769,16005,12690,13094,12447,12961,10066,11712,15720
901410,Direction finding compasses,15170,9018,11594,15142,11403,6941,6211,8245,4266,4903,,17834,14530,15482,12962,11883,10995,14682,13485,17190,16869,,28907,26030,28112,34487,25858,18619,18027,23019,16809,13850
292529,Imines and their derivatives; salts thereof (excluding chlordimeform [ISO]),6947,4720,4197,3343,5444,3002,3547,4793,4649,4894,,60632,54732,43564,51927,43869,40362,42197,42523,35733,47556,,24239,20085,22779,19758,22540,21496,26408,28261,45123,48757
846799,"Parts of pneumatic tools for working in the hand, hydraulic or with self-contained electric ...",6546,6172,7466,5819,6386,5571,5238,5045,5040,4875,,115240,105467,97196,75249,68650,67985,70858,72226,77471,106278,,29665,30800,38114,45194,35830,35018,33989,32233,34335,42496
721931,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than ...""",680,465,1823,1411,364,109,491,363,1795,4866,,5103,4433,3752,3892,6167,7572,5356,6155,8404,9209,,3933,5968,6703,5247,5067,6112,17991,49793,27445,16203
680690,"Mixtures and articles of heat-insulating, sound-insulating or sound absorbing mineral materials ...",2224,20014,14720,10068,11318,13020,31989,10097,3406,4844,,235318,212572,186387,170519,176196,166552,175650,165089,127179,167128,,19121,41885,44933,40927,41337,45851,60640,43107,29323,32611
380991,"Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs, and other products ...",7232,4411,5319,5823,7437,6870,6234,5968,4352,4844,,179580,113070,107134,99148,122524,130540,132664,116503,109734,135347,,72818,80823,92044,99225,113945,138124,161358,154316,117038,126149
842420,"Spray guns and similar appliances (other than electrical machines, appliances and other devices ...",15773,12584,6276,5321,5261,4545,3979,3169,4432,4834,,48200,46562,46313,36513,40185,46633,49199,41902,30396,41264,,44924,45012,39590,35565,34516,28867,39823,28831,39712,41749
843890,"Parts of machinery for the industrial preparation or manufacture of food or drink, n.e.s.",4543,7419,6474,4590,6418,4269,6438,6859,3281,4820,,25498,26084,23819,23732,29236,30539,35037,39342,32696,32153,,17013,20116,36499,22983,28041,23480,28402,39929,26456,26876
291811,"Lactic acid, its salts and esters (excluding inorganic or organic compounds of mercury)",10989,12166,16017,22110,19350,27278,28132,26982,5964,4813,,9343,8521,9140,8741,9233,12416,8486,8263,10655,12316,,27348,30173,40122,49198,47724,62466,67096,61088,44251,47897
846630,"Dividing heads and other special attachments for machine tools, n.e.s.",4586,3744,5961,6708,5406,6745,6150,6133,4660,4799,,190337,118756,163771,143707,135974,157268,232371,135023,106617,123747,,10835,12076,14398,14934,10744,13009,12177,11062,8408,12126
940190,"Parts of seats, n.e.s.",10886,6947,11016,14521,11617,10507,8303,7905,5767,4798,,1132891,890247,762662,618322,664992,662176,724444,662197,499170,586735,,296557,314218,354046,362826,344884,394134,387773,395135,421286,461511
611011,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of wool, knitted or crocheted ...",1939,2016,2603,2503,3854,2835,2493,2909,3608,4798,,12210,12025,12301,12766,14925,13085,13112,15808,11924,15569,,71944,81053,94233,99930,95757,99202,117037,113990,123195,162354
950640,Articles and equipment for table-tennis,4723,5541,6268,5463,7505,8138,7579,9300,6053,4792,,18268,16748,17281,20048,18048,18041,17945,20890,16832,26167,,13850,14712,17746,18486,18867,19452,18512,17941,12448,11026
391729,"Rigid tubes, pipes and hoses, of plastics (excluding those of polymers of ethylene, propylene ...",1861,1694,1764,2364,2481,2606,4353,4923,4192,4788,,34404,30371,31420,40015,34119,40218,41636,27556,20938,22341,,18983,26171,30915,27340,24959,23465,23135,21439,27845,34621
842482,"Agricultural or horticultural mechanical appliances, whether or not hand-operated, for projecting ...",0,0,0,0,0,3304,2917,2723,4112,4767,,0,0,0,0,0,3852,3075,1902,2649,2782,,0,0,0,0,0,10474,11414,11742,13504,12053
680530,"Natural or artificial abrasive powder or grain, on a base of materials other than woven textile ...",14546,7339,6472,5915,8051,8628,8378,6881,4871,4760,,190549,141004,156611,168143,216930,197909,200826,145824,171546,188335,,28348,19981,20316,17946,20661,22476,23082,22773,25183,28854
540761,"Woven fabrics of yarn containing >= 85% by weight of non-textured polyester filaments, incl. ...",8050,6903,6388,6892,5947,5759,5527,4759,3588,4737,,665571,553179,535261,508553,538576,533846,556387,560908,412476,425027,,84287,85597,92755,72634,58422,53743,45718,55405,42627,45617
283526,"Phosphates of calcium (excluding calcium hydrogenorthophosphate """"dicalcium phosphate"""")""""",914,986,1128,1235,1350,1226,1209,1147,2954,4727,,19625,17136,16190,15892,23836,25802,31422,25867,38828,42609,,9564,8789,7472,8787,11198,11128,12712,14930,16777,22976
722519,"Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, non-grain-oriented",11672,7438,10799,4820,3061,2863,4967,3583,1822,4721,,426411,365053,399153,313374,266533,288643,318721,228437,180155,331122,,34669,32665,56051,37220,34366,41897,50819,37240,34696,78501
290322,Trichloroethylene,4005,4081,5090,5379,4045,3683,3523,2770,2421,4695,,12042,10765,10750,11868,9484,10477,11517,8603,7776,11828,,12695,9201,9895,9154,8749,7239,6529,5274,4751,6044
282739,"Chlorides (excluding ammonium, calcium, magnesium, aluminium, nickel and mercury chloride)",9240,9261,6183,5352,5347,7967,4774,4801,3344,4694,,25848,28506,34244,24289,15033,17682,18560,18388,17192,20680,,25267,30717,24339,26226,25443,30346,33517,40360,42103,60886
391710,"Artificial guts """"sausage casings"""" of hardened protein or cellulose materials""""",5793,3743,3473,2170,2492,3329,4634,4481,4266,4682,,57909,52175,53191,40388,39811,42425,50608,52204,47300,46792,,27563,32621,33513,31555,32724,37910,34119,35816,39009,38930
261800,Granulated slag (slag sand) from the manufacture of iron or steel,15090,15148,11488,10770,10799,11312,13847,18020,4156,4663,,33703,57141,79992,82342,80508,73559,92254,112838,84091,94343,,19435,31813,14720,15091,39725,36428,14880,21271,4759,4704
720429,"Waste and scrap of alloy steel (excluding stainless steel, and waste and scrap, radioactive, ...",8869,6173,3575,5980,4831,5850,2043,7016,1823,4662,,27186,26522,29788,36678,18340,20342,29101,40319,103760,224456,,32604,21184,19064,14425,12020,11434,10762,14916,5742,12576
390591,"Copolymers of vinyl, in primary forms (excluding vinyl chloride-vinyl acetate copolymers and ...",2469,2716,2315,2272,2187,3017,3966,4453,3554,4657,,130476,124377,136154,136932,147330,165640,163398,158778,144956,197228,,7552,11595,11766,11962,12391,16876,19479,22546,22197,25186
30282,"Fresh or chilled, rays and skates """"Rajidae""""""""",2708,2411,3379,5581,6414,6726,7198,6241,5155,4622,,2480,2101,3182,5211,5555,6482,6758,5972,4990,4456,,4256,4467,6120,8388,7812,8548,9119,8067,7370,6121
740919,"Plates, sheets and strip, of refined copper, not in coils, of a thickness of > 0,15 mm (excluding ...",44770,35827,32096,18549,9030,5338,5984,6923,4304,4622,,99874,81677,105767,61950,49056,56254,82062,97818,119328,164053,,89836,87020,74485,43204,20963,18510,17228,13575,9365,13718
850164,"AC generators """"alternators"""", of an output > 750 kVA (excl. photovoltaic generators)""""",69682,240611,147204,73183,26715,26723,23683,5744,11859,4613,,484420,335433,355933,332775,188517,172637,96614,67199,112402,97545,,161732,417016,365932,253116,183471,110978,101911,78032,66204,92765
846221,"Bending, folding, straightening or flattening machines, incl. presses, numerically controlled, ...",7793,6356,8026,12906,7729,8445,8743,8555,4727,4611,,100279,64199,85300,77332,84906,130846,158344,139604,98789,120734,,45944,38627,46842,39725,42394,45405,55239,34137,33576,40000
392490,"Household articles and toilet articles, of plastics (excluding tableware, kitchenware, baths, ...",4832,4635,4084,4818,5242,6524,6437,5095,4517,4611,,36910,29279,34250,44157,54444,62236,67187,59082,52676,52656,,48157,48712,49516,53703,63677,73012,83670,87676,111389,143498
10619,"Live mammals (excluding primates, whales, dolphins and porpoises, manatees and dugongs, seals, ...",5164,4361,3725,3115,3749,3586,3677,3776,3817,4590,,6160,6148,5382,4312,5467,6576,7127,7950,9204,10882,,10244,9225,9823,8910,13112,11101,12753,12619,17195,19473
550510,"Waste of synthetic staple fibres, incl. noils, yarn waste and garnetted stock",4283,3806,4294,4030,4359,5226,5134,5184,4500,4572,,18973,15756,15908,14354,14171,14594,13473,14422,11148,11446,,17273,20320,22475,11929,10142,10203,11541,15544,11361,14535
900150,Spectacle lenses of materials other than glass,3494,4597,5504,4670,4823,4808,4370,4941,4710,4550,,129876,103222,95343,89096,92635,96129,98461,98818,85181,108513,,69803,67199,80126,84505,84622,87307,107749,107254,100891,108492
844331,"Machines which perform two or more of the functions of printing, copying or facsimile transmission, ...",7914,6963,10863,7941,9068,7678,9630,7014,5421,4524,,320196,297336,290400,324459,321455,356077,325717,441575,355010,308723,,348971,338204,377187,388344,333468,331534,325862,325901,337042,383058
848130,"Check """"non-return"""" valves for pipes, boiler shells, tanks, vats or the like""""",4287,3804,3223,4111,2330,3536,4532,3831,3951,4503,,198394,180868,168263,131798,132170,139801,149959,148881,150270,172196,,42883,49475,86747,69413,71307,57383,61384,64895,54036,66732
820590,Anvils; portable forges; hand- or pedal-operated grinding wheels with frameworks; sets of articles ...,1259,1696,876,1048,809,1217,1483,2821,3402,4499,,4219,2767,2935,2650,2862,4284,3702,3423,2706,3492,,5002,8828,6106,8606,6618,7911,8935,12186,17021,16631
281129,"Inorganic oxygen compounds of non-metals (excluding diphosphorus pentaoxide, oxides of boron, ...",7954,4620,4712,4358,2627,1902,2627,2774,4393,4497,,19880,16818,15257,13332,11770,14250,17066,14054,18035,20568,,13152,10292,10329,10988,8440,9812,11704,10374,12571,11371
820340,"Pipe-cutters, bolt croppers, perforating punches and similar hand tools, of base metal",4755,4397,4156,4279,4601,5245,4789,3822,4160,4478,,22075,14726,15904,15589,16764,15595,14202,14699,15567,17220,,8345,8380,8199,8112,8552,9295,9338,7374,8214,10132
846140,"Gear cutting, gear grinding or gear finishing machines, for working metals, metal carbides ...",6694,10826,11325,8179,11340,11350,8255,8588,4475,4470,,242494,142018,139368,93409,105320,108556,136630,162167,87244,114938,,63097,84185,58041,54022,54261,48751,32339,41049,31788,31791
901813,Magnetic resonance imaging apparatus,3359,1566,2218,3776,4474,5524,7141,8415,8019,4465,,224291,185936,187889,189792,181388,156089,198281,160818,136385,130305,,91355,77597,65825,72760,69239,111865,115901,165224,169739,124610
283660,Barium carbonate,2608,1731,1326,773,2383,3683,2172,2792,1937,4463,,3968,2208,1704,1550,3293,4731,3316,3012,2644,5928,,11230,9965,9422,6024,8609,11479,13109,11377,8924,14846
842489,"Mechanical appliances, whether or not hand-operated, for projecting, dispersing or spraying ...",13306,2828,5331,4551,4171,6623,7259,4952,5022,4460,,197405,168956,181457,144377,148551,206590,235491,227121,142282,167906,,42568,50717,72231,77052,84560,77616,62276,71512,114441,115122
400821,"Plates, sheets and strip, of non-cellular rubber",2548,2006,2774,2977,2894,4178,2974,4336,5087,4458,,108693,109112,106445,86201,95200,103680,104853,100458,88222,104612,,21261,21418,23832,24569,25633,29008,30355,34928,35353,35004
390761,"Poly""""ethylene terephthalate"""", in primary forms, having a viscosity number of >= 78 ml/g""""",0,0,0,0,0,1197,2334,2794,2502,4456,,0,0,0,0,0,35877,47685,63724,40465,57838,,0,0,0,0,0,45593,105806,82583,75864,115865
844630,"Weaving machines for weaving fabrics of a width > 30 cm, shuttleless type",10532,15358,17411,6064,10545,4171,10170,7589,2935,4450,,477671,595976,490137,391735,494727,399968,522156,428354,250164,357924,,31059,33524,43877,26526,24933,19302,23228,19249,9034,20389
650610,"Safety headgear, whether or not lined or trimmed",1078,874,1561,1938,2451,2468,2790,2763,4015,4448,,112028,110850,114376,102210,127541,130336,129000,151597,166797,202463,,13507,16027,21912,25255,26969,27375,25547,27360,35514,44141
300120,"Extracts of glands or other organs or of their secretions, for organo-therapeutic uses",5165,3912,3011,3073,4455,3765,3446,3709,3474,4438,,4613,7734,14185,28434,31388,38181,34242,25750,21939,25594,,12930,10749,6200,6613,10817,14990,12859,14742,15754,9392
854233,Electronic integrated circuits as amplifiers,10165,3118,4813,14281,4115,3099,1749,2318,10320,4433,,769849,538957,375074,472990,508773,475162,403542,306824,283186,273056,,86292,87926,91481,123646,124937,214303,259537,222446,277546,408858
841690,"Parts of furnace burners such as mechanical stokers, incl. their mechanical grates, mechanical ...",3606,5744,9267,19385,3604,1206,7911,4744,11781,4431,,22812,20645,20903,20352,28200,17763,25706,24671,12871,12799,,32631,23013,32846,37480,22114,25922,40782,18621,32417,18640
853941,Arc lamps,4460,4509,4937,4840,3063,3013,3631,3226,3121,4404,,40084,33456,34860,18332,16340,20826,23704,24648,18643,20744,,28800,33349,41493,42363,38326,31565,28847,23361,23362,28102
491199,"Printed matter, n.e.s.",5679,5444,5784,7904,9459,10644,11912,8982,2617,4403,,107868,94387,95374,94204,106254,99811,102589,93516,72980,91412,,23983,23700,30608,30463,36236,41364,53773,44582,38776,66663
853120,"Indicator panels with liquid crystal devices """"LCD"""" or light emitting diodes """"LED"""" (excluding ...""",11753,12192,5217,5561,7605,5249,5361,5145,4839,4388,,90710,48766,32351,36258,38819,40763,28688,28194,27875,26413,,983125,1089917,834600,545017,335694,252162,193424,161068,145418,206879
842810,Lifts and skip hoists,5235,3173,7859,4873,4996,3134,5658,8068,7945,4383,,197040,191929,223840,202151,210084,205040,168269,154646,127795,79848,,57548,118593,116974,92804,53586,39238,34367,34142,25657,20156
741129,"Tubes and pipes of copper alloys (excluding copper-zinc base alloys """"brass"""", copper-nickel ...""",9492,4298,3376,3884,5082,4014,3461,2717,3961,4365,,7227,6390,8980,5101,6541,7859,8774,10075,11511,12252,,13255,6778,6689,6158,6908,5789,5851,7201,6603,7032
420299,"Travelling-bags, shopping or tool bags, jewellery boxes, cutlery cases and similar, with outer ...",726,988,1382,1412,1400,2094,2490,2204,2995,4356,,2242,1841,1409,771,955,986,1321,1699,2235,2816,,60723,80099,91936,63049,77577,86848,87748,95208,99303,115374
903033,"Instruments and apparatus for measuring or checking voltage, current, resistance or electrical ...",2845,5675,6112,2195,3260,4736,4783,3483,3647,4339,,71101,54236,53535,46514,47261,56510,60687,66801,59361,80824,,24501,31807,37406,31864,32930,48069,66451,59845,58247,65219
842449,Agricultural or horticultural sprayers (excl. portable),0,0,0,0,0,1934,2997,4870,3864,4329,,0,0,0,0,0,3374,3196,2204,2473,2589,,0,0,0,0,0,3682,4609,6652,7287,7312
710700,"Base metals clad with silver, not further worked than semi-manufactured",4402,3835,4290,3301,5050,4390,3581,3420,3103,4325,,18320,14043,16269,16126,18898,17557,19069,18595,20377,28068,,13779,7409,4599,3792,5745,5019,4190,3823,3420,4937
960321,"Tooth brushes, incl. dental-plate brushes",1891,1895,2068,2404,3915,4390,5923,4941,4134,4307,,10665,9706,14170,18849,27892,29087,34722,39916,41057,42785,,54270,47989,61830,69821,72404,76844,89366,97337,81304,82421
291020,"Methyloxirane """"propylene oxide""""""""",163249,184830,141394,77247,23088,26940,22214,3006,8930,4293,,163749,247251,236827,120834,4753,24,8707,0,3725,313,,332638,322991,374327,229209,160831,153643,154784,91616,81712,92408
292019,"Thiophosphoric esters """"phosphorothioates"""" and their salts; their halogenated, sulphonated, ...""",2368,1792,3301,4693,2506,4844,3195,4301,2945,4276,,9726,10763,13107,15925,11268,13771,19077,25861,30409,36038,,3472,2828,4643,5802,3708,5935,3878,5208,3698,5046
391110,"Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes, in primary ...",7916,6110,6428,6965,7256,8067,7497,6273,4875,4271,,153337,159975,156590,138705,136303,133662,126443,110924,109405,117470,,37184,34848,37480,35990,35528,41229,45485,44441,37700,40103
731816,Nuts of iron or steel,4165,2580,3272,4142,4832,5087,4927,4162,3711,4257,,787932,714574,670215,586765,638325,683754,715337,670060,566055,710916,,133257,136194,127298,119746,107791,113294,133292,125696,114096,129982
846610,"Tool holders, incl. tool holders for any type of tool for working in the hand, and self-opening ...",5960,5039,5723,5417,5940,5255,5725,4627,3590,4240,,281941,212396,243870,224616,194795,213346,241445,201784,168053,214898,,40912,42072,45775,51088,54768,65488,69861,56505,45654,63563
590320,"Textile fabrics impregnated, coated, covered or laminated with polyurethane (excluding wallcoverings ...",4259,4312,3417,2355,3132,4978,4182,4508,4686,4218,,315756,266277,270588,264891,271544,323004,361234,352477,302734,424582,,56343,60446,62870,58579,59547,52313,51005,54508,48992,56348
391590,"Waste, parings and scrap of plastics (excluding that of polymers of ethylene, styrene and vinyl ...",8655,5872,6065,5255,3575,4813,15689,19627,10030,4214,,569040,509096,458826,381230,325917,324787,242876,221694,172312,168139,,18827,14371,15664,13344,9760,14717,43964,41506,26972,30131
591000,"Transmission or conveyor belts or belting, of textile material, whether or not impregnated, ...",4229,5042,6291,5639,5005,6165,5502,5804,4704,4213,,37813,34099,37031,27991,24296,23980,27715,32810,34359,41814,,14984,15597,17473,16345,17470,18055,17636,17444,15848,15995
852380,"Media for the recording of sound or of other phenomena, whether or not recorded, incl. matrices ...",2256,2053,2171,2090,3017,1814,1093,1380,3376,4197,,39422,19560,19106,14943,14160,13989,17321,20609,16989,24264,,14853,15961,22832,15319,15668,40315,44364,17469,28933,34146
903300,"Parts and accessories for machines, appliances, instruments or other apparatus in chapter 90, ...",4455,2882,2244,2580,2048,3091,3094,2935,2710,4182,,154595,125373,90688,74257,82471,90418,95542,81074,63732,75014,,40787,57617,47597,37042,33092,145606,32208,35092,32881,44824
843360,"Machines for cleaning, sorting or grading eggs, fruit or other agricultural produce (excluding ...",4209,3828,2544,3683,2254,2765,6082,6436,5120,4182,,5651,9153,7367,13193,10709,9636,13430,12682,14814,12027,,8356,8976,8384,6171,6752,7389,8684,13120,9822,7425
846022,"Centreless grinding machines for finishing metal, numerically controlled (other than gear finishing ...",0,0,0,0,0,6712,6893,3318,5157,4179,,0,0,0,0,0,57702,58397,55250,50289,49996,,0,0,0,0,0,9587,7593,3854,5385,4615
392043,"Plates, sheets, film, foil and strip, of non-cellular polymers of vinyl chloride, containing ...",9461,11455,15027,22462,42650,16303,13960,10454,7632,4175,,75380,67785,70065,55867,52426,60425,59766,52595,51942,72602,,14694,16217,19434,27789,49683,22563,19669,16604,16432,13574
300590,"Wadding, gauze, bandages and the like, e.g. dressings, adhesive plasters, poultices, impregnated ...",493,370,549,554,1031,1206,1632,1640,2079,4175,,6116,5709,4503,4221,6899,5511,7198,8065,7444,10843,,56531,58801,65334,63381,71950,74934,85002,84040,188178,233012
821300,"Scissors, tailors' shears and similar shears, and blades therefor, of base metal (excluding ...",2660,2588,2525,2606,3206,3452,3871,3976,3771,4154,,23672,21504,21504,21240,24180,26612,24779,26336,24373,29102,,14154,14750,15704,16587,21001,22304,24764,23944,26202,31605
291639,"Aromatic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their ...",5402,5235,4120,4414,4085,3938,4017,3626,3546,4110,,28362,37632,27982,18373,17997,32476,37751,37219,14506,13255,,35109,37136,29412,31797,32842,33369,39356,39164,47667,39740
392321,"Sacks and bags, incl. cones, of polymers of ethylene",3110,2253,2732,1692,1879,2026,2643,2560,3672,4079,,75896,73752,73839,71556,80064,91645,91637,89601,91343,105105,,25537,29393,34644,34446,35406,40345,48868,65540,77245,85688
281910,Chromium trioxide,8187,8411,7157,6480,5454,5694,5675,4985,4214,4061,,10057,11406,9924,9082,8601,8365,8086,7288,6633,7070,,18491,19625,16365,15385,13867,15639,15355,15817,13124,14918
841939,"Dryers (excl. lyophilisation apparatus, freeze drying units, spray dryers, dryers for agricultural ...",13388,14544,6174,10751,11424,10045,12355,14673,11002,4059,,225565,161005,124743,101246,135317,165014,140284,163150,107384,86921,,58675,63954,37956,52925,67369,48022,55301,58765,53717,50044
854710,"Insulating fittings for electrical purposes, of ceramics",2679,2198,1555,1731,3337,3977,3610,2116,1530,4032,,91290,67907,56993,58506,60659,88174,84057,80991,85305,104939,,8066,8339,7303,5789,7946,9634,10889,8921,11641,14390
851829,"Loudspeakers, without enclosure",1694,1634,1704,1513,1439,1248,1110,2125,2741,4030,,13264,12838,19082,15655,27760,16848,15721,39340,37959,36384,,314087,383522,375042,300627,247964,212040,211772,202850,187086,197560
293331,Pyridine and its salts,4004,3901,3755,3648,2862,2527,2973,4518,4325,4019,,16583,13059,10996,5806,10749,4997,5438,8494,6503,10796,,7469,6785,5994,6232,4769,4948,4507,5754,5661,4990
903032,Multimeters with recording device,130,60,49,127,725,658,579,3647,4649,4017,,6562,5892,8179,7940,7956,8547,9937,6781,5529,7614,,4013,4524,6348,9922,9533,25178,20545,14340,14748,17596
190190,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing ...",5325,6618,8469,6512,5299,5091,4801,4196,3335,4001,,28723,30868,46772,36686,38650,39665,47444,49261,43695,59754,,40354,42802,52480,42311,40785,48478,50336,49049,63308,87750
970600,Antiques of > 100 years old,3058,2452,1904,3041,855,2548,4535,2804,1482,3975,,10217,9230,13562,15789,6804,12568,14182,10651,4747,5918,,17242,10889,8646,12332,16364,11080,38339,14552,8241,38939
630629,"Tents of textile materials (excluding of synthetic fibres, and umbrella and play tents)",28,91,54,73,40,172,299,173,1577,3959,,125,69,11,8,10,26,2,25,32,137,,27333,40159,27849,14722,6510,5000,5691,5483,10078,19164
600622,"Dyed cotton fabrics, knitted or crocheted, of a width of > 30 cm (excluding warp knit fabrics ...""",924,988,1296,1557,1671,2129,2255,2710,2267,3959,,31431,26809,27580,25996,29033,28060,26179,27441,20075,24886,,6849,7252,6676,6557,7182,8370,8100,7209,5726,9231
