Product code,Product label,Saudi Arabia's imports from United States of America-Value in 2012,Saudi Arabia's imports from United States of America-Value in 2013,Saudi Arabia's imports from United States of America-Value in 2014,Saudi Arabia's imports from United States of America-Value in 2015,Saudi Arabia's imports from United States of America-Value in 2016,Saudi Arabia's imports from United States of America-Value in 2017,Saudi Arabia's imports from United States of America-Value in 2018,Saudi Arabia's imports from United States of America-Value in 2019,Saudi Arabia's imports from United States of America-Value in 2020,Saudi Arabia's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
291423,Ionones and methylionones,0,0,0,0,0,0,0,0,0,0,,3582,4192,4078,1206,1016,2495,5022,2850,2714,2571,,0,0,0,5,9,0,0,5,7,0
290892,"4,6-Dinitro-o-cresol (DNOC (ISO)) and its salts",0,0,0,0,0,0,0,0,0,0,,10,0,3,0,14,0,5,14,0,0,,0,0,0,0,7,0,0,0,0,0
290911,Diethyl ether,0,0,0,0,0,240,146,0,0,0,,5336,3755,3643,4097,4030,7007,3547,3802,3186,3186,,0,0,0,14,48,258,164,27,0,33
284410,"Natural uranium and its compounds; alloys, dispersions, incl. cermets, ceramic products and ...",0,0,0,0,0,0,0,0,0,0,,579269,245267,396598,854829,483040,365093,253295,101469,214313,210797,,0,0,0,5,8,0,0,0,0,0
284420,"Uranium enriched in U 235 and its compounds: plutonium and its compounds; alloys, dispersions, ...",0,0,0,0,0,0,0,0,0,0,,1004101,702307,385976,470740,103721,200057,132375,90139,184061,130498,,0,0,0,0,0,0,0,10,0,0
290373,Dichlorofluoroethanes,39,0,0,0,0,228,0,0,0,0,,2762,5933,6305,5608,4068,2407,2922,722,7,4,,3605,2523,2721,2324,3555,7441,2396,54,0,0
290549,"Tri- and other polyhydric acyclic alcohols (excluding 2-ethyl-2-""""hydroxymethyl"""" propane-1,3-diol ...""",339,83,0,0,0,0,9,0,0,0,,48101,51986,40533,41527,36569,45943,45279,45682,46129,53955,,1902,2079,12656,3835,2659,2019,2050,2728,2007,2220
370241,"Photographic film """"incl. instant print film"""", sensitised, in rolls, unexposed, without perforations, ...""",0,0,0,0,0,0,0,0,0,0,,6654,21649,28254,9171,5153,5255,958,310,451,1575,,471,0,0,0,0,20,0,0,0,111
370298,"Photographic film, sensitised, in rolls, unexposed, with perforations, for monochrome photography, ...",0,0,0,0,0,0,0,0,0,0,,5826,3206,6415,7539,12482,14454,14155,11695,8561,9466,,0,0,0,80,0,2,0,3,0,1
310210,"Urea, whether or not in aqueous solution (excluding that in pellet or similar forms, or in ...",0,0,0,0,0,0,113,0,0,0,,263853,204188,230915,181394,123689,239642,232131,173987,243261,155764,,635,228,0,57,413,14,218,7,149,250
