Product code,Product label,Germany's imports from United States of America-Value in 2012,Germany's imports from United States of America-Value in 2013,Germany's imports from United States of America-Value in 2014,Germany's imports from United States of America-Value in 2015,Germany's imports from United States of America-Value in 2016,Germany's imports from United States of America-Value in 2017,Germany's imports from United States of America-Value in 2018,Germany's imports from United States of America-Value in 2019,Germany's imports from United States of America-Value in 2020,Germany's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
80251,"Fresh or dried pistachios, in shell",59708,105581,140561,126358,111840,181799,197282,277337,288199,310471,,893049,1053233,945966,714805,1033401,1352624,1437986,1749439,1409709,1656372,,157765,208003,199146,232045,208772,262237,278254,308831,363638,395857
700910,"Rear-view mirrors, whether or not framed, for vehicles",384738,431480,505753,230277,299464,344775,333618,311971,274504,285360,,968935,1060512,1219864,1335757,1414915,1544501,1541675,1529672,1293150,1365315,,653020,769181,892994,581793,706767,835468,830664,753835,629597,630602
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,232148,201620,164468,160255,148924,162300,134723,137322,184424,282275,,5562260,6067381,7463250,8237063,8833245,12505475,12283271,9956587,12973565,18098604,,844346,588900,349257,330877,346135,590062,477052,412420,572819,1024383
847989,"Machines and mechanical appliances, n.e.s.",193294,205480,283071,311864,290650,255696,282814,268955,262604,257710,,3313444,3951424,4247448,4077682,3449591,3672177,3650442,3787243,3267817,3352429,,1662788,1807227,2164793,1924303,2207646,2434856,2912986,2923924,2939610,2932886
711031,"Rhodium, unwrought or in powder form",15730,9965,9466,9233,16709,27967,16807,26808,44084,250238,,229646,184130,191334,179850,129346,201016,455224,875258,3091482,5433618,,218557,139090,181657,143259,114389,209729,487547,897941,2288392,5047940
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",136864,132299,153566,194391,231716,308379,376107,452263,336767,245103,,2763544,2828885,2775235,2669226,2818128,2766113,2724239,2637657,2042790,2127657,,2014547,1957142,2084764,1780362,1780693,2012472,2115817,2005721,1565198,1485147
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",305501,266036,256482,246001,261875,284554,325889,340450,257069,243849,,2358036,2439459,2593782,2604257,2520677,2735924,2881269,2615611,2351015,2344530,,1662236,1762464,2076648,1921558,1940125,1639466,1841496,1822589,1589509,1797277
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",301968,246238,252326,460855,736478,582396,826422,1219428,466611,242837,,20657827,22819936,25406823,21721726,21916493,18724756,17390556,20528260,17047647,20547366,,8869822,8494804,10377373,9689513,10859926,12806360,15507777,16039964,11635693,10001194
901420,Instruments and appliances for aeronautical or space navigation (excluding compasses and radio ...,186164,176212,187840,218082,212420,250541,344925,479020,335949,235973,,133641,242612,180176,195682,245402,261245,358524,362914,252374,187338,,494968,373665,335614,348632,360745,463020,647165,823187,500359,415167
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",223871,206941,245109,250228,261130,241246,228924,204791,206102,234764,,2296384,2262697,2271727,2266296,2226407,2311942,2474322,2509327,2606735,2914193,,850580,825450,954039,876471,921636,1076778,975603,818627,993020,1149398
902110,Orthopaedic or fracture appliances,271535,265902,251834,231653,265683,269930,284097,280090,273627,232878,,1683157,1989549,1989065,1993639,2070229,2108468,2265253,2311169,2131088,2582380,,580387,625856,603065,685095,808721,986607,1196742,1275357,1233566,1468501
850440,Static converters,146780,160066,151845,133982,115367,130260,145748,149486,206530,231796,,3619333,3936061,4013838,4275739,3792855,3999761,4324540,4180497,3953291,4466967,,3281335,3130175,3179091,2905834,3097075,3578715,4021724,4265351,5110295,6500425
711021,"Palladium, unwrought or in powder form",102125,74689,58935,73720,73816,464256,726065,222988,337943,228933,,801951,839360,1234780,923919,558228,1268730,1837889,2607960,4318397,4533829,,899221,873002,992986,859175,868523,1773985,2397732,2980591,3325946,4688941
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",889578,1163956,246975,353794,258957,316010,265711,138691,124988,213276,,71362058,77494233,73182815,47499586,37787038,48220810,55991243,53121693,33730560,42946188,,23761969,26820702,22678918,13970891,12235047,14189323,17461245,17496797,10501298,13236501
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",122889,129708,146168,169842,192486,253972,272609,281535,172937,213100,,3255016,3570863,3915829,3624414,3277853,3313514,3704464,3914166,3592091,4488128,,3127743,3220881,3609506,3196871,3399181,3713789,4391342,4111006,3709324,4660640
880230,Aeroplanes and other powered aircraft of an unladen weight > 2.000 kg but <= 15.000 kg (excl. ...,195660,153969,163809,152110,146753,205717,165400,199779,91302,200887,,186551,105521,174131,237538,294396,737179,328442,599082,358129,314158,,327150,300938,309022,284651,295178,414351,249469,375518,254545,364113
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",209885,214232,261878,230282,230685,254995,252282,239757,199792,198690,,2287603,2327695,2468013,2541122,2733749,3017606,3158880,3090826,2879060,2803422,,1536216,1987472,2261777,1961432,2046728,1903369,1953181,1821686,1964773,2387555
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,249474,211056,175912,170616,164312,180368,174817,172085,154556,198414,,2623482,2643877,2635289,3076470,3365477,4313839,5153948,4782202,5815617,7303564,,600200,542421,529211,436888,443716,535486,595028,561119,555299,737390
711890,Coin of legal tender,0,0,0,125406,143332,279429,343741,222686,338677,197559,,0,0,0,726366,553411,663852,689101,898207,1152903,804698,,0,0,0,1495062,1656082,2044433,1801619,2048809,3514873,3556447
870332,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",1962833,1677960,2022886,2420409,2030784,1890248,1145007,1111814,539985,194859,,3262364,2492757,3047709,3252409,3717052,3040553,2964777,2704548,1261367,941586,,15924786,15391094,16870714,16514710,18129770,19281934,18815793,20659114,16401272,12273049
284390,"Inorganic or organic compounds of precious metals, whether or not chemically defined (excluding ...",6140,13445,9354,12848,8468,13591,25546,36383,54520,191356,,268623,363130,474541,377156,298296,485463,634674,984140,1333629,1702049,,1009067,1075540,1088532,739812,590143,688071,695956,789006,327301,592574
852580,"Television cameras, digital cameras and video camera recorders",149793,152581,162227,115693,127945,131983,132855,192556,171961,190916,,1916737,1772678,1800537,1539328,1696163,1986677,1861683,1841462,1631276,1933603,,2893344,2471957,2244373,1996313,2177759,2380612,2491422,2546207,2648248,2872400
271113,"Butanes, liquefied (excluding of a purity of >= 95% of N-butane or isobutane)",79,35,14996,36806,19352,802,2329,7649,36748,189891,,648109,1025092,1823737,1190421,1138938,1889795,3113899,2699415,3354034,6533844,,192355,244367,215722,155151,119729,122432,163420,175665,140758,388208
880320,"Under-carriages and parts thereof, for aircraft, n.e.s.",127777,168524,192332,196037,179058,335874,358761,428552,226554,187666,,164443,151912,176080,179386,197738,205459,238946,211190,206349,217789,,453985,516628,477737,514155,587979,860386,906104,941246,544689,572883
490199,"Printed books, brochures and similar printed matter (excluding those in single sheets; dictionaries, ...",38002,42088,44957,62514,59214,53404,44511,32982,28737,186361,,2411750,2359291,2287894,2187321,2153282,2147133,2096295,2058956,1759908,1937075,,671447,675012,865757,1114084,1212291,1265585,1444558,1309471,1410216,1770623
847990,"Parts of machines and mechanical appliances, n.e.s.",93049,82295,94799,105274,129831,140189,153887,144085,149439,184344,,1771923,2003150,2579924,2101466,1917400,2510973,2749692,2614615,2458093,2248487,,1363382,1308227,1397637,1295719,1383117,1440613,1747497,1663057,1608679,1874929
900130,Contact lenses,74354,74135,62445,72924,101480,179668,160190,216778,163477,178446,,866711,826612,787707,857062,775927,888809,918915,1029062,900816,1049101,,277632,313643,317927,296961,329350,450968,452544,500455,498084,585409
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",148437,144950,152805,141465,155119,165307,171215,167653,179028,178446,,1623905,1662188,1756022,1795736,1770617,1920498,1907993,1876530,1732660,2260425,,717227,726784,777309,695665,710670,703146,731492,709730,712369,848776
681510,"Articles of graphite or other carbon, incl. carbon fibres, for non-electrical purposes",72137,102615,158334,179171,156322,190031,215561,228778,149353,177251,,895011,1031430,1254489,1265021,1254619,1171035,1260579,1432434,1007589,1079703,,403953,418461,515535,538935,540045,561644,719207,801993,586470,605398
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),183917,210611,223538,208372,210089,239780,245819,204847,149813,175466,,2257177,2404117,2750027,3041465,2847082,2965432,3088869,2790118,2563339,2905924,,1637565,1991066,2118329,1984055,2111831,2451257,2705336,2480030,2406218,3037324
871150,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",147818,154193,176121,143971,183417,150257,182506,148702,138015,168527,,953775,1048069,1108448,1022164,1079827,1065749,1074059,959543,422170,641833,,390719,385382,423699,316012,371160,410314,505832,410809,441681,543697
690919,"Ceramic wares for chemical or other technical uses (excluding of porcelain or china, articles ...",117362,149525,179574,174149,174004,179524,241028,233821,142903,168225,,437960,501022,569176,470474,494998,540736,543399,638655,521377,753711,,468056,655824,680977,695061,666702,672050,761587,690124,516322,707696
901920,"Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic ...",139175,146193,159959,128573,145654,141724,133644,134357,151304,165512,,1120232,1075063,1101648,1039776,1075132,1122258,1124008,1240293,1693130,1435452,,413945,437237,491059,430880,448630,441910,465072,469321,736105,627551
902131,Artificial joints for orthopaedic purposes,216681,244906,291892,279146,257745,198733,168548,163463,152100,164041,,1624899,1684502,1691253,1656330,1792347,1815604,1892593,1902504,1496713,1530241,,700515,838742,905805,797511,885509,815930,771999,716488,631659,737850
843311,"Mowers for lawns, parks or sports grounds, powered, with the cutting device rotating in a horizontal ...",100166,89810,114302,109659,110394,94833,94691,104048,88908,163664,,920546,849305,921140,834632,793541,842951,820189,669101,640692,873661,,616971,662075,684473,679150,852905,848150,1001505,858518,849042,1056068
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",154767,158170,160653,142363,140167,159482,164732,134578,111129,163277,,9004639,9893593,9440600,9092513,9429490,9447618,9764711,9401811,7297749,7306739,,7480812,8519942,9611818,8669806,9679114,9972665,10400403,9327212,8232279,8886809
80232,"Fresh or dried walnuts, shelled",107174,107320,137115,179600,164683,151704,204512,139380,194241,158607,,651402,708532,881239,1018093,753835,859402,858012,754807,831766,869175,,165793,177694,227705,263531,228761,277784,344657,257675,318220,267497
842129,Machinery and apparatus for filtering or purifying liquids (excluding such machinery and apparatus ...,61104,55977,66999,76123,72893,90855,101898,99881,137430,158080,,1174074,1307952,1527864,1480311,1482490,1562528,1671342,1863248,1910886,2418886,,441160,461516,538687,500560,474939,510161,563742,581815,680873,723356
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",162054,156492,178772,171649,160263,166667,167135,139739,109530,156687,,2381134,2283805,2437360,2296613,2169990,2306589,2388030,2116973,1820914,2206297,,3818469,3675550,3932631,3337936,3499906,3685295,4041239,3700733,2925090,3612638
470321,"Semi-bleached or bleached coniferous chemical wood pulp, soda or sulphate (excluding dissolving ...",204462,205964,198124,144868,130124,131949,151032,197414,160513,154861,,3638838,3567951,3770161,3765067,3709376,3887262,4241295,4080453,3688553,4392623,,1131452,1173414,1125875,1008262,893368,884478,982812,916706,739114,846998
