Product code,Product label,"Taipei, Chinese's imports from Saudi Arabia-Value in 2012","Taipei, Chinese's imports from Saudi Arabia-Value in 2013","Taipei, Chinese's imports from Saudi Arabia-Value in 2014","Taipei, Chinese's imports from Saudi Arabia-Value in 2015","Taipei, Chinese's imports from Saudi Arabia-Value in 2016","Taipei, Chinese's imports from Saudi Arabia-Value in 2017","Taipei, Chinese's imports from Saudi Arabia-Value in 2018","Taipei, Chinese's imports from Saudi Arabia-Value in 2019","Taipei, Chinese's imports from Saudi Arabia-Value in 2020","Taipei, Chinese's imports from Saudi Arabia-Value in 2021",Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
290811,"Pentachlorophenol """"ISO""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,1
290960,"Alcohol peroxides, ether peroxides, acetal and hemiacetal peroxides, ketone peroxides and their ...",0,0,0,0,0,0,0,0,0,0,,677,3955,238,562,88,75,87,63,0,0,,14247,15227,14891,15375,16510,17928,19321,19245,17814,20688
291211,"Methanal """"formaldehyde""""""""",0,0,0,0,0,0,0,0,0,0,,13881,27500,27871,23880,21516,7674,6278,2814,1843,1972,,25,33,46,70,47,79,60,95,256,336
291462,"Coenzyme Q10 """"ubidecarenone """"INN""""""""""""",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,276,597,642,1418,2090
291470,"Halogenated, sulphonated, nitrated or nitrosated derivatives of ketones or quinones (excluding ...",0,0,0,0,0,0,0,0,0,0,,213,77,213,100,0,0,0,0,0,0,,8441,8500,14833,10653,8404,0,0,0,0,0
291513,Esters of formic acid,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,46,129,,157,121,102,136,123,123,174,203,319,419
291539,"Esters of acetic acid (excluding ethyl, vinyl, n-butyl and dinoseb [ISO] acetates)",0,0,0,0,0,0,0,0,0,0,,21830,67634,46057,36584,6,0,4,10,0,0,,24648,21793,25194,21123,26393,27421,43157,25061,24562,57753
291615,"Oleic, linoleic or linolenic acids, their salts and esters (excluding inorganic or organic ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,0,0,0,0,,2532,1736,1333,585,902,2178,1516,1682,1305,1815
291720,"Cyclanic, cyclenic or cycloterpenic polycarboxylic acids, their anhydrides, halides, peroxides, ...",0,0,0,0,0,0,0,0,0,0,,0,37,35,141,0,189,3,0,41,0,,6931,11242,9774,8244,7960,10061,10619,13176,7000,10452
291813,Salts and esters of tartaric acid,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,4325,4329,3923,2885,2498,2446,3315,1664,1955,2431
291814,Citric acid,0,0,0,0,0,0,0,0,0,0,,32,189,0,21,51,60,73,10,3,7,,18880,15584,15645,15575,19292,18427,18415,15357,16227,21988
292011,"Parathion """"ISO"""" and parathion-methyl """"ISO"""" """"methyl-parathion""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,0,1,1,1,1,1
290242,M-Xylene,0,0,0,0,0,0,0,0,0,0,,0,77,0,0,0,19,0,34931,0,0,,217,161,1,2,2,2456,2,6514,4,9265
271111,"Natural gas, liquefied",0,0,0,0,0,0,0,0,0,0,,1258797,1559959,1594569,1724026,1055468,1631644,0,0,0,0,,9862571,9795381,9950352,6334058,4920209,6379084,7972160,7585048,5510295,10997299
290312,"Dichloromethane """"methylene chloride""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,46,0,4,0,0,4000,2,,1722,1832,1917,1927,1939,1508,1445,1399,1438,1470
290362,"Hexachlorobenzene (ISO) and DDT (ISO) clofenotane (INN), (1,1,1-trichloro-2,2-bis[p-chloro ...",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0
290374,Chlorodifluoroethanes,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,6,0,1,0,3,0,0,0
290434,Potassium perfluorooctane sulphonate,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,3,0,2,0,0
280450,Boron; tellurium,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,3522,4015,4033,4445,5031,6100,4648,4366,4298,6520
