Product code,Product label,"Viet Nam's imports from Taipei, Chinese-Value in 2012","Viet Nam's imports from Taipei, Chinese-Value in 2013","Viet Nam's imports from Taipei, Chinese-Value in 2014","Viet Nam's imports from Taipei, Chinese-Value in 2015","Viet Nam's imports from Taipei, Chinese-Value in 2016","Viet Nam's imports from Taipei, Chinese-Value in 2017","Viet Nam's imports from Taipei, Chinese-Value in 2018","Viet Nam's imports from Taipei, Chinese-Value in 2019","Viet Nam's imports from Taipei, Chinese-Value in 2020","Viet Nam's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
381700,Mixed alkylbenzenes and mixed alkylnaphthalenes produced by the alkylation of benzene and naphthalene ...,31940,33889,27019,18579,18046,21556,22881,19945,19154,,,141478,134874,131704,106925,98996,112186,106648,109014,112037,135943,,135152,151465,124343,97161,105466,117759,129888,108746,121964,137542
382311,"Stearic acid, industrial",213,277,200,48,68,46,34,92,50,,,3658,2448,2860,2253,1495,1649,1383,1333,1222,1570,,15396,13722,17280,16076,13884,14123,19277,22555,29432,49181
382478,"Mixtures containing perfluorocarbons """"PFCs"""" or hydrofluorocarbons """"HFCs"""", but not containing ...""",0,0,0,0,0,0,97,208,243,,,9891,15149,12231,11751,9385,11067,13047,6570,6814,5801,,808,1515,2186,3273,4744,5058,7624,7369,6297,4432
382482,"Mixtures and preparations containing polychlorinated biphenyls """"PCBs"""", polychlorinated terphenyls ...""",0,0,0,0,0,0,8,0,0,,,2,0,7,0,8,30,36,20,19,21,,0,0,41,85,10,0,21,0,1,
390461,"Polytetrafluoroethylene, in primary forms",37,55,86,132,301,1313,1779,1196,1012,,,2450,2572,2170,1805,2644,2196,2202,1780,1417,1336,,13511,15805,16586,13128,10561,27598,26774,25725,23029,34014
390769,"Poly""""ethylene terephthalate"""", in primary forms, having a viscosity number of < 78 ml/g""""",0,0,0,0,0,0,170354,113966,65760,,,0,0,0,0,0,90238,236361,173312,102783,152105,,0,0,0,0,0,0,574660,483103,299762,393239
390770,"Poly""""lactic acid"""", in primary forms""""",23,52,3,0,0,11,0,152,2,,,280,369,725,753,2521,937,3528,1424,2327,1920,,23,53,3,10,54,19,99,610,2898,1977
390890,"Polyamides, in primary forms (excluding polyamides-6, -11, -12, -6,6, -6,9, -6,10 and -6,12)",26209,7354,9447,9011,6318,7582,11981,8842,8225,,,74197,69967,65080,57728,70325,83856,84739,61012,59355,74421,,100209,80566,90627,87631,77124,88716,84433,76613,70183,96928
390931,"Poly""""methylene phenyl isocyanate"""" """"crude MDI, polymeric MDI"""", in primary forms""""",0,0,0,0,0,0,813,622,1111,,,0,0,0,0,0,5861,5967,8179,11759,10768,,0,0,0,0,0,0,93658,91677,96952,153988
391610,"Monofilament of which any cross-sectional dimension > 1 mm, rods, sticks and profile shapes, ...",45,67,153,108,33,20,40,39,85,,,360,623,667,571,645,686,763,550,385,459,,3882,4251,2473,2554,1952,1658,2042,2133,3816,11555
392062,"Plates, sheets, film, foil and strip, of non-cellular poly""""ethylene terephthalate"""", not ...""",7107,5404,4158,1147,2169,2854,6676,9505,14091,,,433942,466125,523745,472854,434563,413794,469301,450234,530638,651557,,57361,55191,76874,113387,130348,186930,213371,272675,303842,464326
392321,"Sacks and bags, incl. cones, of polymers of ethylene",2701,2513,5089,4351,3574,2989,3451,3886,4039,,,81834,81399,98698,79518,76186,82781,92476,92047,99124,119086,,42466,50293,67460,68175,65724,63724,72258,80133,90033,178903
392340,"Spools, cops, bobbins and similar supports, of plastics",2063,1819,1893,2013,2015,2138,2469,2041,2074,,,17780,17138,16080,14892,13188,16494,17776,17399,16985,17266,,6827,8741,10606,13131,17670,19522,21476,23140,18441,26430
392610,"Office or school supplies, of plastics, n.e.s.",84,55,66,65,186,1001,252,493,169,,,59753,52001,56126,55996,55939,55054,54853,55591,61099,73230,,2559,2019,2769,4695,6042,6625,8042,8825,8948,26374
392640,"Statuettes and other ornamental articles, of plastics",395,497,219,382,798,1187,1762,1432,2016,,,18486,17268,17154,11635,8449,8187,7290,5830,4609,4917,,5122,5898,5752,12008,20357,18929,24368,25091,38107,95942
400299,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip ...""",5251,6747,4870,3702,3724,9291,9835,11500,7226,,,118531,104725,132688,106509,118895,153475,168583,135541,167538,276218,,57623,56097,67243,62904,58906,90873,86904,85747,74476,60575
400599,"Compounded, unvulcanised rubber in primary forms (excluding solutions and dispersions, those ...",1799,1981,1772,1584,2078,1753,2839,2692,4592,,,13928,11283,11481,6778,3548,6623,7639,8615,7301,9859,,35121,25252,20401,30971,32028,47052,48341,42443,50264,15317
400819,"Rods and profile shapes, of cellular rubber",937,1409,989,1292,886,640,350,355,143,,,6004,7206,7674,7368,6815,8335,7752,7642,6865,9457,,9482,12605,16840,22787,23236,27156,25807,24060,21028,2285
400931,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",46,91,69,75,46,49,67,88,104,,,109,109,151,167,166,324,3973,3327,2637,4773,,8004,8569,10865,14379,21316,27912,33443,25636,17542,16117
401034,"Endless transmission belts of trapezoidal cross-section """"V-belts"""", of vulcanised rubber, ...""",55,52,76,71,80,21,40,51,11,,,43,0,379,176,184,0,200,220,207,177,,1949,1474,1972,1876,1930,1619,1819,1640,1492,2024
401036,"Endless synchronous belts, of vulcanised rubber, of an outside circumference > 150 cm but <= ...",2,8,1,4,2,8,16,4,0,,,1,1,1,68,3,4,1,3,7,7,,330,237,269,326,339,502,284,252,337,557
