Product code,Product label,Viet Nam's imports from India-Value in 2012,Viet Nam's imports from India-Value in 2013,Viet Nam's imports from India-Value in 2014,Viet Nam's imports from India-Value in 2015,Viet Nam's imports from India-Value in 2016,Viet Nam's imports from India-Value in 2017,Viet Nam's imports from India-Value in 2018,Viet Nam's imports from India-Value in 2019,Viet Nam's imports from India-Value in 2020,Viet Nam's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
853339,"Wirewound variable electrical resistors, incl. rheostats and potentiometers, for a power handling ...",9,0,15,32,1,4,13,1,6,,,507,286,502,452,473,389,610,393,163,203,,8937,7864,7515,8966,10561,12268,11411,9390,10627,397
853400,Printed circuits,142,67,433,283,34,1464,595,1206,3519,,,130174,155555,151467,131583,127718,129733,127269,136368,110970,124491,,1096933,1454196,1455255,1888961,2311807,3356674,3314284,3554704,4105170,4135823
853620,Automatic circuit breakers for a voltage <= 1.000 V,1492,234,1673,5054,5726,8816,12475,9070,8716,,,56307,77873,108255,118982,114239,131968,156692,155249,147468,217324,,59614,57594,74352,88093,102078,120950,121159,124418,130576,118598
853661,Lamp holders for a voltage <= 1.000 V,14,4,2,6,3,2,2,0,0,,,3767,4715,4207,4315,2091,2224,2393,2438,2034,2938,,5214,8073,5672,6262,7240,9723,13072,15458,19392,10126
853670,"Connectors for optical fibres, optical fibre bundles or cables",1,25,25,8,3,10,41,25,11,,,6141,3807,3414,1458,1265,4146,5664,2004,4403,3151,,12410,17408,21825,37289,26555,39657,33370,41465,46143,32193
853932,Mercury or sodium vapour lamps; metal halide lamps,5,5,4,9,15,18,17,27,136,,,26077,28185,32496,30256,20763,15581,12495,8881,3916,5161,,4369,4445,5474,5551,5427,4707,4524,3314,3696,3763
853941,Arc lamps,0,0,0,0,0,0,0,3,0,,,1502,1010,628,645,436,188,1003,312,25,15,,353,792,808,841,1283,1549,1536,1468,1013,564
853990,"Parts of electric filament or discharge lamps, sealed beam lamp units, ultraviolet or infra-red ...",657,12,34,21,0,17,13,0,0,,,5824,8062,9138,6478,6527,4945,5081,4833,5118,5432,,21727,25166,31233,20274,10872,8786,20544,30867,17928,28611
854089,"Electronic valves and tubes (excluding receiver or amplifier valves and tubes, microwave tubes, ...",0,0,0,0,0,0,0,0,1,,,1939,2566,1770,992,951,288,337,125,281,277,,4349,3595,3532,6037,5637,15491,6010,3676,4296,1924
854129,Transistors with a dissipation rate >= 1 W (excluding photosensitive transistors),0,1,0,14,4,20,29,77,19,,,3425,3575,3819,3313,3496,3565,5891,6686,5628,9618,,92986,113957,119602,135146,180196,255187,371945,408846,353089,211381
