Product code,Product label,Viet Nam's imports from Germany-Value in 2012,Viet Nam's imports from Germany-Value in 2013,Viet Nam's imports from Germany-Value in 2014,Viet Nam's imports from Germany-Value in 2015,Viet Nam's imports from Germany-Value in 2016,Viet Nam's imports from Germany-Value in 2017,Viet Nam's imports from Germany-Value in 2018,Viet Nam's imports from Germany-Value in 2019,Viet Nam's imports from Germany-Value in 2020,Viet Nam's imports from Germany-Value in 2021,Germany's exports to world- ,Germany's exports to world-Value in 2012,Germany's exports to world-Value in 2013,Germany's exports to world-Value in 2014,Germany's exports to world-Value in 2015,Germany's exports to world-Value in 2016,Germany's exports to world-Value in 2017,Germany's exports to world-Value in 2018,Germany's exports to world-Value in 2019,Germany's exports to world-Value in 2020,Germany's exports to world-Value in 2021,Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
380590,Crude dipentene; sulphite turpentine and other crude para-cymene; terpenic oils produced by ...,0,3,0,0,0,0,0,0,0,,,1569,2046,2387,1829,1901,2053,2302,1969,3214,2260,,1413,1617,872,231,306,939,826,897,693,35
380892,"Fungicides, put up in forms or packings for retail sale or as preparations or articles (excl. ...",17989,26956,31803,24969,33811,40934,51885,18004,28932,,,1047337,1120415,1223453,1130943,1154161,1213632,1258545,1142109,1042951,1086079,,220330,254379,263486,266702,286117,354741,334237,256317,242417,254895
380894,"Disinfectants, put up in forms or packings for retail sale or as preparations or articles (excl. ...",462,840,990,860,767,1021,1531,1906,1175,,,287157,322665,336755,292158,307256,347992,386584,396542,659829,497888,,16793,18231,24262,23017,21667,22946,29275,38636,36231,58449
380991,"Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs, and other products ...",1439,2213,2772,2056,2345,3246,4334,4559,5278,,,321433,351634,368421,354529,381250,405859,437269,392829,382231,468099,,71807,74505,91839,96228,88770,90019,109530,110429,118356,116349
381230,Anti-oxidising preparations and other compound stabilisers for rubber or plastics,1990,2090,2499,2157,2805,4581,0,0,0,,,564676,551692,570313,487300,486713,0,0,0,0,0,,65117,70299,77748,79330,92231,108238,0,0,0,
381900,Hydraulic brake fluids and other prepared liquids for hydraulic transmission not containing ...,47,131,232,360,557,390,705,657,587,,,168686,203048,207609,178306,193192,213992,239800,229401,200907,258266,,1971,2832,3847,4596,4291,4558,4351,4803,4268,4930
382488,"Mixtures and preparations containing tetra-, penta-, hexa-, hepta- or octabromodiphenyl ethers",0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,978,395,253,186,188,,0,0,0,0,0,0,5186,1970,430,15
382491,"Mixtures and preparations consisting mainly of """"5-ethyl-2-methyl-2-oxido-1,3,2-dioxaphosphinan-5-yl""""methyl ...""",0,0,0,0,0,0,107,53,6,,,0,0,0,0,0,8889,10217,9695,6439,8345,,0,0,0,0,0,0,1850,1088,945,3729
382590,"Residual products of the chemical or allied industries, n.e.s. (excluding waste)",93,110,99,104,6,71,46,25,37,,,1129,907,503,286,448,574,992,820,755,493,,1720,1563,1223,1224,724,1732,702,500,513,21
382600,"Biodiesel and mixtures thereof, not containing or containing < 70 % by weight of petroleum ...",0,0,0,0,0,0,0,0,0,,,1570120,2008060,1836747,1276757,1413385,1558167,1892545,2117587,2374433,3387688,,1,52,4,2,26,25,185,194,76,533
390130,"Ethylene-vinyl acetate copolymers, in primary forms",104,14,1276,377,11052,13405,311,392,100,,,221220,179726,223926,188961,194240,221821,199761,199696,178528,267572,,108072,124388,160222,169517,219588,243715,252493,309931,254599,473810
