Product code,Product label,"Saudi Arabia's imports from Taipei, Chinese-Value in 2012","Saudi Arabia's imports from Taipei, Chinese-Value in 2013","Saudi Arabia's imports from Taipei, Chinese-Value in 2014","Saudi Arabia's imports from Taipei, Chinese-Value in 2015","Saudi Arabia's imports from Taipei, Chinese-Value in 2016","Saudi Arabia's imports from Taipei, Chinese-Value in 2017","Saudi Arabia's imports from Taipei, Chinese-Value in 2018","Saudi Arabia's imports from Taipei, Chinese-Value in 2019","Saudi Arabia's imports from Taipei, Chinese-Value in 2020","Saudi Arabia's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
870880,"Suspension systems and parts thereof, incl. shock-absorbers, for tractors, motor vehicles for ...",642,947,1438,1855,4299,2554,2139,4806,4057,3968,,77655,73034,84869,168309,173406,184227,204344,216930,226180,293960,,73571,87072,95022,105829,108281,105579,96284,160027,154297,210273
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",1815,630,1162,774,669,926,438,506,887,3966,,147880,138449,129658,132591,138991,134173,333692,253060,219943,228099,,207155,236066,238577,186981,124622,136475,169160,107137,94371,97974
290129,"Hydrocarbons, acyclic, unsaturated (excluding ethylene, propene """"propylene"""", butene """"butylene"""" ...""",2185,6355,3329,8502,4505,10637,1433,2475,6874,3895,,33127,25567,31133,27964,30930,42992,43127,36666,24883,32096,,45108,58744,47251,41721,60868,135692,99439,120232,125835,150438
842121,Machinery and apparatus for filtering or purifying water,5955,5671,6456,7457,8037,7791,5994,5980,7155,3842,,120343,124158,140301,149947,132158,119030,109796,117112,133582,110802,,152963,154443,152137,170222,149275,108528,125979,140428,134447,242355
392490,"Household articles and toilet articles, of plastics (excluding tableware, kitchenware, baths, ...",1464,1457,2262,1690,1073,2490,2191,2667,2049,3830,,159598,165428,178351,162831,151872,144201,134349,127443,145800,140761,,34817,36573,37295,47560,36741,42511,39228,62577,64514,93090
843820,"Machinery for the industrial preparation or manufacture of confectionery, cocoa or chocolate ...",0,0,0,0,0,453,222,118,991,3729,,2889,1308,1144,926,888,1652,1298,1447,1896,1140,,6421,19309,17653,7096,10875,8074,7559,9843,8272,11321
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",3952,5231,6432,7850,9297,5357,3659,2507,3097,3712,,619819,642772,692724,604955,581870,701415,796569,739363,758647,993001,,882309,1179896,1331287,1268953,1127202,1025124,1020546,755727,893886,902324
291719,"Acyclic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their halogenated, ...",0,0,0,105,0,0,7216,4889,4176,3694,,6016,4917,6338,5520,4995,4709,4429,6121,5886,4684,,2731,2234,5537,3477,1728,1561,9931,9463,7541,7814
390421,"Non-plasticised poly""""vinyl chloride"""", in primary forms, mixed with other substances""""",0,0,0,945,0,944,11,0,1572,3618,,162394,191686,176148,174974,128587,3042,3952,2862,4072,2076,,58637,62750,62195,67302,57166,43498,46212,50433,61831,57249
820590,Anvils; portable forges; hand- or pedal-operated grinding wheels with frameworks; sets of articles ...,1643,2184,1693,2824,2196,1381,1581,1736,3643,3567,,73048,69526,81487,51122,61986,58859,63184,46343,33237,30409,,20802,31704,27798,28377,33824,32592,19144,22037,30758,43634
847720,Extruders for working rubber or plastics,823,3296,660,2204,2813,509,262,497,2649,3561,,202074,176359,158427,99652,112702,119533,139832,105987,119267,121232,,42700,64536,63019,51722,47745,24333,21953,24199,27041,34037
392051,"Plates, sheets, film, foil and strip, of non-cellular poly""""methyl methacrylate"""", not reinforced, ...""",37,0,27,360,158,115,288,1197,2239,3444,,286389,255628,280357,221553,210482,197250,303474,201006,154524,145857,,1963,2789,9999,7148,5225,6891,8999,12875,13897,15206
291739,"Aromatic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their ...",78,608,1886,1803,2448,3729,2772,2151,1282,3335,,26058,89119,206790,193013,220192,402100,284416,219076,214231,300303,,28959,13606,23734,25712,29898,22684,24548,17028,12861,20902
853620,Automatic circuit breakers for a voltage <= 1.000 V,1114,3813,0,448,1631,11369,3262,1097,2588,3322,,17642,15040,17252,15716,17206,21647,12951,10515,12343,13915,,137567,180571,138185,152672,106695,87780,72407,72032,85041,79314
390311,"Expansible polystyrene, in primary forms",548,741,709,3805,4283,1123,931,61,4013,3300,,378651,453609,454490,345257,309702,336861,340060,282781,253636,409139,,8557,13588,12358,36024,25646,19166,13440,17854,22846,36477
850153,"AC motors, multi-phase, of an output > 75 kW",150,4123,3655,2226,2412,974,162,404,5307,3209,,167552,172376,140114,120658,87156,90589,98203,100756,83490,88270,,56847,65170,59727,85848,55572,60531,35910,49822,52121,91010
700910,"Rear-view mirrors, whether or not framed, for vehicles",2425,2553,3255,3454,3563,2994,2196,3315,3368,3141,,163423,179717,197996,184715,178139,189120,185969,183627,172530,218133,,8553,9685,8971,10911,9961,7868,6639,8479,8662,9546
540752,"Woven fabrics of yarn containing >= 85% by weight of textured polyester filaments, incl. monofilament ...",2166,1362,999,760,2166,3065,1655,5397,5401,3090,,819274,838091,835798,802274,709357,684809,703155,697122,533740,642803,,69236,59862,60145,54606,77463,95976,115393,222786,111637,96877
870893,"Clutches and parts thereof, for tractors, motor vehicles for the transport of ten or more persons, ...",929,620,437,280,463,341,399,344,1640,3058,,24984,29237,32311,32124,34271,48572,40510,40886,42923,53950,,89916,96257,97310,94489,68213,60375,43032,65054,101897,144527
830241,Base metal mountings and fittings suitable for buildings (excluding locks with keys and hinges),453,1864,1165,754,2162,1386,1081,1027,2253,3029,,91523,97486,87584,97133,98171,104418,117517,128280,123401,163987,,20337,22007,29741,26519,20627,20266,26294,24671,48904,59636
847180,"Units for automatic data-processing machines (excluding processing units, input or output units ...",2021,2590,1485,1475,1797,2721,2558,3892,3619,2898,,281804,307198,354855,374587,390500,421355,534033,1267126,1077497,1614477,,98394,118489,102216,93221,82974,110466,58013,93309,87129,79408
851930,"Turntables """"record-decks""""""""",6945,12549,18530,20987,17585,12101,8634,13205,6402,2791,,668,465,1190,4150,7385,6456,4531,7447,5412,14695,,25975,29032,30865,24735,21371,17011,12588,17928,11620,17040
