Product code,Product label,India's imports from United States of America-Value in 2012,India's imports from United States of America-Value in 2013,India's imports from United States of America-Value in 2014,India's imports from United States of America-Value in 2015,India's imports from United States of America-Value in 2016,India's imports from United States of America-Value in 2017,India's imports from United States of America-Value in 2018,India's imports from United States of America-Value in 2019,India's imports from United States of America-Value in 2020,India's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
381121,Prepared additives for oil lubricants containing petroleum oil or bituminous mineral oil,37609,39412,41564,35294,42938,43660,52981,61019,53235,61874,,2362042,2434537,2295287,2110596,1901017,1896290,2049177,1846762,1778511,1956238,,113567,127664,127800,124576,136564,158886,178689,203464,164822,212124
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,60614,43554,37521,56212,52882,70503,54875,64184,81049,59788,,14818043,15281123,15842133,15699350,15501732,15525762,17741162,16202841,12433380,15620848,,1598935,1529299,1429219,1258877,1120508,1234590,1335224,1338337,1245069,1850164
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",29904,27485,26738,20585,19294,23169,43526,81405,51613,59106,,8743308,8887986,9134140,8773178,8932107,11070705,10838653,9945388,10392774,14021358,,542800,563454,590617,641226,775259,1028867,1381781,2412800,2237431,2431775
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,69407,47127,41083,50057,73176,82951,72923,56466,37374,58666,,1919902,1594914,1650620,1346119,1333025,1490843,1454578,1101781,1021868,1414910,,392134,319821,312261,274412,397002,581640,677031,677265,610375,1014255
870410,Dumpers for off-highway use,4412,25,0,228,4249,239,5643,0,73217,58639,,6241809,3346767,2303009,1362956,835388,1601004,1650693,1865955,1917513,2150185,,22929,24320,12683,14625,27865,28305,50074,22448,105376,81333
381590,"Reaction initiators, reaction accelerators and catalytic preparations, n.e.s. (excluding rubber ...",119836,195981,155571,156934,155432,105081,184285,161744,105324,57710,,762924,765696,833149,877194,928020,915559,945656,800856,715039,783380,,319311,389779,310285,317445,296887,256339,338661,320447,207250,183151
390140,"Ethylene-alpha-olefins copolymers, having a specific gravity of < 0,94 , in primary forms",0,0,0,0,0,302,1141,6968,44794,57344,,0,0,0,0,0,1574976,2662982,3261135,3682122,4438868,,0,0,0,0,0,7952,108802,227448,314840,519564
842129,Machinery and apparatus for filtering or purifying liquids (excluding such machinery and apparatus ...,13936,15948,13293,12800,18568,30821,32025,33233,39385,56419,,1174074,1307952,1527864,1480311,1482490,1562528,1671342,1863248,1910886,2418886,,100315,100733,82744,112659,103971,114392,158776,154031,162624,235155
840890,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""" (excluding ...""",49115,39244,49758,38431,38740,55549,18460,59264,45156,56105,,2978189,2941903,2719414,1967965,1510408,1778450,1942512,1800787,1727937,1751755,,191936,238630,263534,283596,163444,205854,161199,167824,124552,206584
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",111251,110187,167435,121451,64209,62218,86529,67915,65492,56086,,2287603,2327695,2468013,2541122,2733749,3017606,3158880,3090826,2879060,2803422,,403605,335934,447084,437118,370565,414560,518386,538614,434975,471752
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",25205,24349,39834,37585,40001,42111,69265,64706,55891,56010,,4162718,4957256,5437725,5428142,5270421,5643166,5913496,5784436,4824729,5304410,,312121,333421,340641,299015,348682,420665,567431,590591,487415,715652
300212,Antisera and other blood fractions,0,0,0,0,0,22658,38767,45984,53242,54674,,0,0,0,0,0,6316615,6794319,7477146,6862771,7424545,,0,0,0,0,0,77662,118828,160220,416172,190085
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",60013,36540,38652,38482,46259,43728,52679,57324,46478,54441,,3307137,3489549,4008241,4198438,4189586,4388320,4638427,4189721,3712206,4517830,,563658,527561,535942,539884,525590,580041,624511,595925,515484,715560
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",131584,103430,60031,43501,47873,51508,52033,23211,21417,52020,,3984462,3801839,3580562,3964869,3595958,3038576,2695696,2475717,2207332,2065727,,2829269,2678574,2725304,5021119,6376143,11279333,9671630,8168050,6543206,7348509
890800,Vessels and other floating structures for breaking up,0,12809,18363,6388,27753,323,73174,12879,23423,51951,,920,1028,1297,650,435,417,521,722,75,77,,557999,1290544,838716,661006,747286,798741,933106,598462,619231,825339
630900,"Worn clothing and clothing accessories, blankets and travelling rugs, household linen and articles ...",65878,73920,69260,62281,48343,52935,52863,62009,46041,51817,,635827,688298,708658,705808,576017,632006,674896,682301,613266,830964,,106785,121494,122269,113450,87119,99122,93636,98930,72168,81896
854590,"Articles of graphite or other carbon, for electrical purposes (excluding electrodes and carbon ...",2325,2593,3197,7534,10421,14849,49092,53218,39116,51504,,39781,36134,44479,51709,63235,80787,129574,105016,94967,91023,,11306,11082,10127,13165,15490,20948,69425,68778,50037,66476
850440,Static converters,44237,48493,41685,33624,29430,36924,53168,55523,45766,51489,,3619333,3936061,4013838,4275739,3792855,3999761,4324540,4180497,3953291,4466967,,715316,759076,754667,857308,888393,1147820,1111870,1110998,1074591,1543172
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",452900,753613,1102892,1003608,1392998,956925,160740,62940,45493,51163,,4927387,4778115,4871853,5053698,5482108,4865541,4806774,5472775,4890890,4683787,,1160361,1228646,1525604,1474312,2012951,1369117,428865,280185,148790,234638
852580,"Television cameras, digital cameras and video camera recorders",15070,11491,14933,15109,12681,12141,25364,23926,27760,51135,,1916737,1772678,1800537,1539328,1696163,1986677,1861683,1841462,1631276,1933603,,584542,514576,533376,708808,620721,903858,1562320,2083423,1840909,1764570
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",41799,48438,41823,43756,38550,47342,46281,55836,41568,50790,,5375239,5689667,5932826,5997885,6263770,6320617,7075493,7059110,6246826,7250523,,185814,201367,209519,177466,180225,234638,280724,311030,204935,267801
710210,"Diamonds, unsorted",227,76,0,1,5109,4646,17124,1894,66508,50675,,16535,8402,2182,15905,24974,9997,24610,8780,7909,425,,41111,11335,1303,14907,47266,32850,74865,184272,181977,362632
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",56037,58689,59793,55742,61222,60814,60844,49801,47877,50537,,1760741,1749511,1730090,1670761,1731718,1770469,2011255,2004562,2013113,2345723,,206503,210665,237479,240363,258962,261213,306926,294703,277492,332510
860400,"Railway or tramway maintenance or service vehicles, whether or not self-propelled, e.g., workshops, ...",0,675,13423,14892,581,362,733,4872,2580,49520,,202647,213348,225190,196162,145591,183930,120519,96584,133166,184443,,36550,40201,79668,42898,41676,74875,60748,63936,102408,153569
