Product code,Product label,Singapore's imports from Australia-Value in 2012,Singapore's imports from Australia-Value in 2013,Singapore's imports from Australia-Value in 2014,Singapore's imports from Australia-Value in 2015,Singapore's imports from Australia-Value in 2016,Singapore's imports from Australia-Value in 2017,Singapore's imports from Australia-Value in 2018,Singapore's imports from Australia-Value in 2019,Singapore's imports from Australia-Value in 2020,Singapore's imports from Australia-Value in 2021,Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
401199,"Pneumatic tyres, new, of rubber (excluding having a """"herring-bone"""" or similar tread and ...""",3124,1261,773,1287,70,4,0,0,0,0,,1169,4450,1910,1605,733,0,0,0,0,0,,167566,88384,47230,44990,37490,43342,0,0,0,0
401511,"Surgical gloves, of vulcanised rubber (excluding fingerstalls)",0,1,0,18,0,1,10,0,0,0,,729,347,1289,320,493,2823,4447,4408,5130,5765,,1537,1653,3295,4889,2225,2472,1320,1995,15996,8785
401035,"Endless synchronous belts, of vulcanised rubber, of an outside circumference > 60 cm but <= ...",0,0,0,0,0,0,2,0,0,0,,49,49,123,51,64,324,136,91,419,1263,,2030,1728,2112,1081,976,877,961,930,766,881
401120,"New pneumatic tyres, of rubber, of a kind used for buses and lorries (excluding typres with ...",0,0,0,0,6,2,1,0,1,0,,5419,3258,3401,3934,4541,4421,3111,2006,2369,742,,87069,64622,50675,37142,42204,45604,44082,43854,32738,44528
391231,"Carboxymethylcellulose and its salts, in primary forms",19,0,161,8,0,0,0,2,0,0,,64,300,914,242,190,126,134,716,1245,602,,8717,6092,7222,9677,6583,5278,7977,8085,3628,3124
392063,"Plates, sheets, film, foil and strip, of non-cellular unsaturated polyesters, not reinforced, ...""",0,6,0,0,2,0,0,0,0,0,,5,94,205,19,46,38,23,29,125,62,,3813,3721,2295,3310,3774,4044,2656,2299,2432,2632
392114,"Plates, sheets, film, foil and strip, of regenerated cellular cellulose, unworked or merely ...",0,0,0,0,1,36,0,0,0,0,,10,74,25,17,59,100,36,18,418,520,,1540,750,3039,1102,715,824,1378,547,274,330
400110,"Natural rubber latex, whether or not prevulcanised",0,0,0,8,12,0,0,0,0,0,,3518,3496,3139,2927,917,34,537,618,442,733,,1147,388,413,434,544,854,356,132,212,1603
400241,"Chloroprene latex """"chlorobutadiene rubber, CR""""""""",0,0,0,0,0,0,0,0,0,0,,3,0,3,17,0,4,0,0,0,0,,0,0,8,35,180,77,64,99,57,196
400400,"Waste, parings and scrap of soft rubber and powders and granules obtained therefrom",0,0,0,11,0,0,0,0,0,0,,7254,7416,6853,3189,3035,1236,2396,2716,1983,2868,,0,0,471,413,260,108,476,570,380,521
