Product code,Product label,"Germany's imports from Korea, Republic of-Value in 2012","Germany's imports from Korea, Republic of-Value in 2013","Germany's imports from Korea, Republic of-Value in 2014","Germany's imports from Korea, Republic of-Value in 2015","Germany's imports from Korea, Republic of-Value in 2016","Germany's imports from Korea, Republic of-Value in 2017","Germany's imports from Korea, Republic of-Value in 2018","Germany's imports from Korea, Republic of-Value in 2019","Germany's imports from Korea, Republic of-Value in 2020","Germany's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
250850,"Andalusite, kyanite and sillimanite",0,0,0,0,0,0,0,0,0,0,,0,118,26,0,0,15,42,1,9,0,,27128,24669,33495,27087,20852,19732,27508,25888,24993,25985
250900,Chalk,38,13,59,0,0,0,0,0,1,0,,41,23,24,13,11,12,13,19,4,21,,14470,18442,16045,11867,12178,17635,14800,14674,15577,14316
251512,"Marble and travertine, merely cut, by sawing or otherwise, into blocks or slabs of a square ...",0,0,0,0,0,0,0,0,0,0,,182,9,94,17,1,121,2,69,56,1,,6247,4371,5071,2591,1597,2459,3122,2910,3860,2813
251690,"Porphyry, basalt and other monumental or building stone, whether or not roughly trimmed or ...",0,0,4,0,0,0,0,0,0,0,,27,52,48,8,7,2,2,10,0,10,,7210,6946,7009,5182,6143,5953,6054,4486,5038,5787
252321,"White portland cement, whether or not artificially coloured",0,0,0,0,0,0,0,0,0,0,,842,636,755,691,594,340,372,438,482,407,,16276,21442,24192,19733,19925,19772,20172,21003,21274,22629
252510,Crude mica and mica rifted into sheets or splittings,0,0,0,0,0,0,0,0,0,0,,40,0,3,15,5,2,11,10,3,5,,5214,4863,4558,5251,3285,3357,3254,4583,2384,4659
260112,Agglomerated iron ores and concentrates (excluding roasted iron pyrites),0,0,0,0,0,0,0,0,0,0,,1682,891,20,16,8,9,17,5,0,0,,1708321,1972353,1978849,1245887,1192690,1630377,1787534,1476813,1351188,2732870
160562,"Sea urchins, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,0,,3,9,0,5,1,0,19,0,0,0,,2,0,1,0,0,0,31,6,0,0
170113,"Raw cane sugar, in solid form, not containing added flavouring or colouring matter, obtained ...",0,0,0,0,0,1,0,0,0,0,,0,0,0,18,40,34,36,1,4,0,,4395,4739,4798,4393,4598,5232,6290,6186,4800,5539
170250,Chemically pure fructose in solid form,0,0,0,0,0,0,0,0,0,0,,4,24,0,0,1,1,16,4,107,43,,48000,57624,42809,28501,18890,19618,19312,15863,17958,21792
