Product code,Product label,United States of America's imports from Japan-Value in 2012,United States of America's imports from Japan-Value in 2013,United States of America's imports from Japan-Value in 2014,United States of America's imports from Japan-Value in 2015,United States of America's imports from Japan-Value in 2016,United States of America's imports from Japan-Value in 2017,United States of America's imports from Japan-Value in 2018,United States of America's imports from Japan-Value in 2019,United States of America's imports from Japan-Value in 2020,United States of America's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
850131,"DC motors of an output > 37,5 W but <= 750 W and DC generators of an output <= 750 W (excl. ...",266370,224133,176270,156089,120989,145415,197189,252498,304855,422876,,694835,660852,693009,569730,652984,743265,790125,803855,808585,1038376,,1718698,1748973,1847689,1943190,2008689,2341411,2222323,2225066,2151365,2687224
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",226885,232621,230011,323704,385531,407248,410355,418418,396450,414596,,619166,591606,613398,644402,754267,890582,975634,1066728,921053,938664,,2973953,3213514,3385175,3933251,4692793,5018063,5342525,6195258,5562266,6727084
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",287287,252105,272984,270705,272857,343944,376856,377310,327387,409588,,1961484,1761910,1728542,1603437,1699088,1845083,1993181,1991418,1938278,2167010,,5675487,5906734,6269066,6677328,6707960,7387174,8219633,8721334,9164364,11202232
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",365059,357442,338408,330174,331829,370515,382142,397202,331470,408359,,1880549,1744325,1793243,1703795,1923727,2007127,2254335,2410488,2298719,2856208,,1564933,1547838,1643245,1657710,1652315,1775436,1900268,1992722,1985196,2398980
850750,Nickel-metal hydride accumulators (excluding spent),273991,312918,250428,199123,193700,171744,134885,154682,306903,400960,,702566,683673,575932,541136,675895,741655,893643,1073125,884843,1000283,,398992,426895,356073,291240,270327,251498,211229,224142,372112,476412
841330,"Fuel, lubricating or cooling medium pumps for internal combustion piston engine",305954,340748,288565,244140,244035,281099,305088,305343,318341,390243,,1209297,1106216,1117687,949523,924647,907735,831353,889335,941432,1059851,,2277082,2275206,2546174,2573871,2411992,2513070,2726134,2583055,2229814,2725240
820730,"Interchangeable tools for pressing, stamping or punching",422165,391754,274684,285730,371402,382016,385590,388875,364722,386055,,1599302,1425752,1229549,1198288,1052757,1117916,1290339,1161166,932092,943356,,936427,1121339,989224,1060654,1058765,1237000,1474286,1136697,1149821,1239366
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",355088,307026,305606,278234,277898,305269,365326,395195,291126,382311,,2545160,2262152,2166942,1905795,2021189,2226098,2368784,2058031,1765776,2269728,,2750139,2397415,2670405,2775650,2696875,3110397,3348634,3521447,2791905,3319441
841911,Instantaneous gas water heaters (excluding boilers or water heaters for central heating),144173,163779,184500,196202,219950,252264,277038,260473,295848,361555,,264783,283048,293850,302341,319708,363339,398047,383103,427771,516971,,224799,275235,289908,307920,344804,402671,459362,487787,573421,777432
870192,"Tractors, of an engine power > 18 kW but <= 37 kW (excl. those of heading 8709, pedestrian-controlled ...",0,0,0,0,0,151364,190911,201522,240459,358942,,0,0,0,0,0,298653,325887,286984,387961,514642,,0,0,0,0,0,392831,427875,523077,621940,1055454
901380,"Liquid crystal devices, n.e.s. and other optical appliances and instruments not elsewhere specified ...",131853,122584,132075,117105,96016,90692,101208,190827,253689,350764,,6423272,5381490,6484510,5112263,4091021,4879435,3522084,2758141,2616823,2552686,,1510113,1388703,1435658,1547192,1709444,2077416,2315338,2154821,2266744,2634372
