Product code,Product label,Saudi Arabia's imports from Germany-Value in 2012,Saudi Arabia's imports from Germany-Value in 2013,Saudi Arabia's imports from Germany-Value in 2014,Saudi Arabia's imports from Germany-Value in 2015,Saudi Arabia's imports from Germany-Value in 2016,Saudi Arabia's imports from Germany-Value in 2017,Saudi Arabia's imports from Germany-Value in 2018,Saudi Arabia's imports from Germany-Value in 2019,Saudi Arabia's imports from Germany-Value in 2020,Saudi Arabia's imports from Germany-Value in 2021,Germany's exports to world- ,Germany's exports to world-Value in 2012,Germany's exports to world-Value in 2013,Germany's exports to world-Value in 2014,Germany's exports to world-Value in 2015,Germany's exports to world-Value in 2016,Germany's exports to world-Value in 2017,Germany's exports to world-Value in 2018,Germany's exports to world-Value in 2019,Germany's exports to world-Value in 2020,Germany's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
151419,"Low erucic acid rape or colza oil """"fixed oil which has an erucic acid content of < 2%"""" and ...""",0,0,0,0,0,0,0,0,0,0,,460160,519376,417674,318191,345004,351959,371572,372075,560631,903142,,460,499,1093,506,957,1196,7572,679,571,1880
151491,"High erucic acid rape or colza oil """"fixed oil which has an erucic acid content of >= 2%"""" ...""",0,0,0,0,0,0,0,0,0,0,,10054,15428,29534,34007,36428,36679,24472,45213,85726,59539,,0,0,110,951,1044,2863,3693,3270,3619,5060
110319,Groats and meal of cereals (excluding wheat and maize),0,0,0,0,0,0,3,0,0,0,,1453,2426,3581,3710,3372,4611,3528,2524,3816,3346,,512,1202,887,763,894,1010,2701,5180,8232,37115
110320,Cereal pellets,0,0,0,0,0,0,0,0,0,0,,2912,3130,1718,933,1239,1332,2805,1820,4356,6268,,0,0,59,106,9,2,0,17,116,0
100191,"Seed of wheat and meslin, for sowing (excluding durum)",0,0,0,0,0,0,0,0,0,0,,24937,22344,28968,14974,14821,16030,17686,12837,19916,16199,,142,57,0,0,0,0,195,0,0,0
100290,Rye (excluding seed for sowing),0,0,0,0,0,0,0,0,0,0,,59029,126649,55796,35707,30886,31358,28992,52227,50760,79250,,0,0,0,1,6,6,0,0,0,0
81120,"Frozen raspberries, blackberries, mulberries, loganberries, black-, white- or red currants ...",0,0,0,0,0,0,0,0,0,0,,29493,35031,37093,43712,40303,41011,33774,37181,49950,69889,,28,59,269,488,941,760,854,1100,1588,2745
81400,"Peel of citrus fruit or melons, incl. watermelons, fresh, frozen, dried or provisionally preserved ...",0,0,0,0,0,0,0,0,0,0,,3218,3264,3589,3221,3249,3941,4599,4757,5385,6297,,0,0,0,28,37,9,4,3,22,31
90300,Mate,0,0,0,0,0,0,13,9,0,0,,2035,2902,3297,3918,3741,3819,2838,2478,5131,4226,,70,319,295,328,1049,646,868,1016,1432,1147
90619,"Cinnamon and cinnamon-tree flowers (excluding cinnamon """"Cinnamomum zeylanicum Blume"""" and ...""",0,0,0,0,65,0,0,0,0,0,,1068,1750,1796,1354,1570,2369,2223,1959,3993,3164,,1535,1187,1670,3707,1205,1862,1288,1859,1790,667
80111,Desiccated coconuts,0,0,0,0,0,0,0,0,0,0,,13663,14401,16356,19845,21136,24726,20938,18360,20890,25973,,4266,4569,7539,7628,6109,10370,12370,6683,9202,10606
80252,"Fresh or dried pistachios, shelled",0,0,0,0,0,0,0,0,0,0,,34663,30681,57655,55491,56633,52551,76844,54849,66820,76269,,3886,3038,5479,7636,5678,9715,14565,23733,24931,64957
80262,"Fresh or dried macadamia nuts, shelled",0,0,0,0,0,0,0,0,0,0,,13097,14678,18685,16981,18804,19344,16149,18218,24384,15304,,793,879,1406,2661,3150,2071,2880,4803,5845,3128
40711,"Fertilised eggs for incubation, of domestic fowls",0,0,0,0,0,0,1084,916,71,0,,97195,126861,132886,116631,115050,122463,136311,132175,135026,145132,,12984,36313,4567,6815,3406,24176,53491,50672,93186,135218
40790,"Birds' eggs, in shell, preserved or cooked",0,0,31,0,0,0,0,0,0,0,,201,190,565,533,943,2616,5366,5183,4540,6958,,43,95,437,797,681,673,2989,933,2423,264
50290,Badger and other brush making hair and waste thereof,0,0,0,0,0,0,0,0,0,0,,2210,2054,2161,1914,2096,2431,2441,2071,1262,2108,,0,0,0,0,0,15,19,71,0,0
51191,"Products of fish or crustaceans, molluscs or other aquatic invertebrates; dead fish, crustaceans, ...",0,0,0,0,0,0,0,0,0,0,,16313,41623,56043,48748,45718,45092,48817,44716,50291,48648,,0,0,0,90,17,315,116,219,232,366
60311,"Fresh cut roses and buds, of a kind suitable for bouquets or for ornamental purposes",0,36,0,0,0,0,0,0,0,0,,38182,39284,39050,35156,32127,30798,26674,26877,17981,21294,,12343,21912,33571,41798,45684,54258,58968,66843,60434,91167
60313,"Fresh cut orchids and buds, of a kind suitable for bouquets or for ornamental purposes",0,0,0,0,0,0,0,0,0,0,,379,451,384,466,495,457,459,275,139,174,,0,0,0,1,3,0,0,0,0,6
70519,Fresh or chilled lettuce (excluding cabbage lettuce),0,0,0,0,0,0,0,0,0,0,,48294,45806,38982,42171,35950,40346,52253,52445,48376,64613,,0,0,82,354,650,523,1164,113,154,254
70820,"Fresh or chilled beans """"Vigna spp., Phaseolus spp."""", shelled or unshelled""""",0,0,0,0,0,0,0,0,0,0,,19718,19580,21933,21719,20607,22966,18863,19716,20067,15027,,1831,1214,1298,2336,2342,2045,3039,2154,1419,1720
