Product code,Product label,"Russian Federation's imports from Korea, Republic of-Value in 2012","Russian Federation's imports from Korea, Republic of-Value in 2013","Russian Federation's imports from Korea, Republic of-Value in 2014","Russian Federation's imports from Korea, Republic of-Value in 2015","Russian Federation's imports from Korea, Republic of-Value in 2016","Russian Federation's imports from Korea, Republic of-Value in 2017","Russian Federation's imports from Korea, Republic of-Value in 2018","Russian Federation's imports from Korea, Republic of-Value in 2019","Russian Federation's imports from Korea, Republic of-Value in 2020","Russian Federation's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",Russian Federation's imports from world- ,Russian Federation's imports from world-Value in 2012,Russian Federation's imports from world-Value in 2013,Russian Federation's imports from world-Value in 2014,Russian Federation's imports from world-Value in 2015,Russian Federation's imports from world-Value in 2016,Russian Federation's imports from world-Value in 2017,Russian Federation's imports from world-Value in 2018,Russian Federation's imports from world-Value in 2019,Russian Federation's imports from world-Value in 2020,Russian Federation's imports from world-Value in 2021
691410,"Ceramic articles of porcelain or china, n.e.s.",20,0,0,2,1,0,0,0,0,42,,1994,2507,2182,1680,1624,2071,3268,3037,2986,3078,,419,466,436,539,259,359,386,404,328,398
940599,"Parts of lamps and lighting fittings, illuminated signs and nameplates and the like, n.e.s.",275,109,128,27,23,66,39,29,44,42,,210009,402792,372875,262565,221181,151532,84318,50359,19386,16973,,33871,32923,35773,19190,15648,16680,22971,25986,26091,32085
722540,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further ...",11026,0,0,4,0,40946,74981,0,11,42,,5688,44472,11985,10877,3894,35742,37436,58910,50813,37739,,405850,315028,249725,177476,113197,435804,368989,305156,164269,245663
843860,"Machinery for the industrial preparation of fruits, nuts or vegetables (excluding cooking and ...",17,14,22,12,4,4,56,8,8,42,,716,637,456,1394,751,918,2354,2658,1290,1156,,21626,28576,22911,16511,23365,30820,19944,29431,28236,30669
482040,"Manifold business forms and interleaved carbon sets, of paper or paperboard",8,14,32,37,33,30,46,40,29,41,,185,91,146,148,74,44,48,33,41,25,,20394,17918,9397,475,400,1046,841,763,454,591
620293,"Women's or girls' anoraks, windcheaters, wind jackets and similar articles, of man-made fibres ...",540,343,1423,449,29,54,68,44,60,41,,7737,11693,9966,9757,9297,8294,13234,13026,19497,26606,,252191,309947,321777,202398,212593,268796,314096,295216,259587,320135
730792,"Threaded elbows, bends and sleeves, of stainless steel (excluding cast or stainless products)",26,22,32,32,29,50,52,45,34,41,,30036,35906,43814,47120,42261,51457,60203,51047,32711,52069,,5465,7225,5611,3129,3802,4967,5263,5622,5325,5492
843061,"Tamping or compacting machinery, not self-propelled (excluding hand-operated tools)",150,191,79,34,0,0,66,125,53,41,,1615,1944,1622,1953,1437,1634,1639,1830,1573,1837,,410007,101496,55592,15470,1497,1381,11791,19840,14111,19580
820411,"Hand-operated spanners and wrenches, incl. torque meter wrenches, of base metal, non-adjustable",97,119,64,21,19,24,103,22,80,41,,2134,2610,1957,2210,2430,2849,2778,2627,1827,1704,,63285,64161,56626,32762,36592,46086,52094,51455,45050,58772
940179,"Seats, with metal frames (excluding upholstered, swivel seats with variable height adjustments ...",268,14,59,20,5,1,11,6,5,41,,4557,7641,8519,10753,7934,7061,6081,6906,4733,5842,,63319,66357,69378,48062,38438,40200,48846,53181,55193,74901
846012,"Flat-surface grinding machines for finishing metal, numerically controlled",0,0,0,0,0,129,0,228,0,40,,0,0,0,0,0,1498,3963,7190,5415,2634,,0,0,0,0,0,6576,6282,6710,6006,8568
300450,"Medicaments containing provitamins, vitamins, incl. natural concentrates and derivatives thereof ...""",0,62,93,72,94,52,43,16,70,40,,12288,13196,16204,19994,20389,25006,27790,25199,23636,29241,,260309,291617,287778,203818,191652,299251,278500,323405,230279,327630
846799,"Parts of pneumatic tools for working in the hand, hydraulic or with self-contained electric ...",57,58,49,142,49,13,7,17,22,40,,9235,11774,9635,12062,16139,16235,17852,20500,20349,17914,,19567,25141,21254,17150,17848,19863,19733,18089,18979,28301
950430,"Games with screens, flipper and other games, operated by coins, banknotes, bank cards, tokens ...",1365,909,578,95,136,110,85,1,152,40,,37661,19023,18633,19944,27339,30187,30780,36846,14515,20795,,27749,26066,20002,13617,16849,3684,5322,3371,2344,2823
