Product code,Product label,"Japan's imports from Korea, Republic of-Value in 2012","Japan's imports from Korea, Republic of-Value in 2013","Japan's imports from Korea, Republic of-Value in 2014","Japan's imports from Korea, Republic of-Value in 2015","Japan's imports from Korea, Republic of-Value in 2016","Japan's imports from Korea, Republic of-Value in 2017","Japan's imports from Korea, Republic of-Value in 2018","Japan's imports from Korea, Republic of-Value in 2019","Japan's imports from Korea, Republic of-Value in 2020","Japan's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
621112,Women's or girls' swimwear (excluding knitted or crocheted),0,12,12,20,61,50,11,12,7,0,,1224,1333,1155,385,365,308,724,744,873,712,,2034,2734,2786,2738,2980,2517,2494,2795,1907,1546
630120,"Blankets and travelling rugs of wool or fine animal hair (excluding electric, table covers, ...",0,6,0,0,0,0,0,0,0,0,,155,71,33,62,58,106,123,47,116,531,,7558,9639,6628,5409,4297,4373,5192,4275,3433,4862
620349,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of textile materials (excluding ...",15,13,5,0,0,16,4,15,0,0,,651,483,401,1140,839,565,1855,1427,1327,2457,,31911,34414,35623,26590,34885,37988,42864,45149,42901,45565
630319,"Curtains, incl. drapes, and interior blinds, curtain or bed valances, knitted or crocheted ...",0,0,0,0,0,0,0,0,0,0,,656,269,1535,137,256,289,305,466,570,379,,186,160,151,42,42,123,45,29,59,72
620829,Women's or girls' nightdresses and pyjamas of textile materials (excluding cotton and man-made ...,0,0,0,3,0,0,0,0,0,0,,1,12,742,930,703,1330,1421,1409,1800,2219,,1474,1312,1245,1148,1603,1960,1703,1346,1741,1701
620891,"Women's or girls' singlets and other vests, briefs, panties, n?glig?s, bathrobes, dressing ...",0,0,0,4,25,76,4,0,8,0,,1291,1355,1467,528,1228,564,625,395,294,258,,30917,33112,27794,15351,13984,11597,9331,10270,6748,8167
620119,"Men's or boys' overcoats, raincoats, car coats, capes, cloaks and similar articles, of textile ...",0,0,0,4,0,0,0,0,0,0,,541,308,627,641,549,306,254,191,180,151,,1237,1202,1432,1894,1543,917,1706,1532,988,923
611249,"Women's or girls' swimwear of textile materials, knitted or crocheted (excluding synthetic ...",0,4,11,0,8,0,6,0,4,0,,201,101,410,397,183,507,174,380,67,13,,139,226,210,123,161,173,222,207,95,124
610722,"Men's or boys' nightshirts and pyjamas of man-made fibres, knitted or crocheted (excluding ...",0,0,0,0,3,0,0,0,0,0,,92,310,131,88,29,27,21,106,61,209,,80096,78899,77169,70303,63135,68911,76686,64680,56035,71868
690790,"Unglazed ceramic flags and paving, hearth or wall tiles; unglazed ceramic mosaic cubes and ...",175,42,543,706,101,0,0,0,0,0,,81,53,188,140,151,0,0,0,0,0,,88780,104130,100992,92808,95390,0,0,0,0,0
690890,"Glazed ceramic flags and paving, hearth or wall tiles; glazed ceramic mosaic cubes and the ...",91,163,79,74,289,0,0,0,0,0,,1069,1143,1066,1308,2185,0,0,0,0,0,,125890,133447,138110,126536,152554,0,0,0,0,0
