Product code,Product label,Singapore's imports from Japan-Value in 2012,Singapore's imports from Japan-Value in 2013,Singapore's imports from Japan-Value in 2014,Singapore's imports from Japan-Value in 2015,Singapore's imports from Japan-Value in 2016,Singapore's imports from Japan-Value in 2017,Singapore's imports from Japan-Value in 2018,Singapore's imports from Japan-Value in 2019,Singapore's imports from Japan-Value in 2020,Singapore's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
902190,"Articles and appliances, which are worn or carried, or implanted in the body, to compensate ...",427,787,867,1963,893,1148,3076,1205,2108,1404,,2851,3148,2518,2137,10041,17003,16735,18190,15520,16309,,257460,376016,273870,218252,252693,296641,329414,352861,341122,688820
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",1663,1340,1655,702,1120,1430,1259,916,931,1402,,18118224,16197600,15644451,13820476,16094029,18040484,18957882,16986979,14280563,17073295,,32125,64191,67714,20559,22125,22773,32615,37899,24796,40449
80810,Fresh apples,371,410,700,983,870,725,1125,1383,1522,1398,,41490,73370,81608,110673,122583,97612,126555,132975,100273,147790,,66180,74083,77876,73293,68537,61415,61014,65151,65577,58040
392069,"Plates, sheets, film, foil and strip, of non-cellular polyesters, not reinforced, laminated, ...",1947,1212,1089,1249,1985,1919,2933,2400,1314,1396,,113806,94462,68426,61832,68358,73683,81733,80978,100233,111076,,29255,26495,28564,26344,21069,32438,24613,24752,19579,19563
850213,"Generating sets with compression-ignition internal combustion piston engine """"diesel or semi-diesel ...""",7602,6934,6419,6266,7048,3307,5167,3508,2409,1365,,447983,237866,291216,259817,267465,236697,248861,286910,234937,241490,,209235,227251,222217,222791,156917,96891,168321,186345,106242,101399
903089,"Instruments and apparatus for measuring or checking electrical quantities, without recording ...",3685,4345,2466,4702,3413,1661,6680,5642,1173,1360,,772688,569047,426422,272341,271395,295248,282344,259898,212352,258173,,35145,40702,28601,26393,27299,27744,32035,37576,32520,32936
30781,"Live, fresh or chilled, even in shell, abalone """"Haliotis spp.""""""""",233,220,296,317,321,422,565,598,696,1357,,260,399,219,333,303,198,272,201,264,869,,1380,875,1020,968,856,957,1345,1451,1245,2161
290389,"Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons (excluding 1,2,3,4,5,6-Hexachlorocyclohexane ...""",570,674,237,523,602,995,1193,812,1620,1353,,30963,24633,25336,24608,25715,32987,36026,32608,36533,41950,,711,770,240,539,712,1241,1410,864,1644,1498
160554,"Cuttlefish and squid, prepared or preserved (excluding smoked)",595,633,709,720,896,875,931,862,1004,1351,,8974,8271,9099,8662,9330,10351,13163,12200,11681,15704,,9399,9559,8419,7696,9491,10089,14645,16626,9465,10552
400942,"Tubes, pipes and hoses, of vulcanised rubber (excluding hard rubber), reinforced or otherwise ...",2015,1790,1118,1092,1730,1068,4058,1117,382,1349,,107445,79300,102433,97429,84759,100659,109020,93093,80816,101957,,29570,25427,29968,34861,17140,20357,28019,20002,20981,27174
200819,"Nuts and other seeds, incl. mixtures, prepared or preserved (excluding prepared or preserved ...",652,605,515,612,612,530,794,1373,1055,1344,,13358,13234,13626,15536,20754,20434,22667,26177,31167,35915,,46169,52514,55113,69625,123307,140013,102290,43622,40758,47996
300220,Vaccines for human medicine,261,61,45,38,49,50,256,66,65,1340,,40844,14803,17679,11801,15561,11317,17315,57041,37329,217594,,2800,2713,5942,19329,34841,33758,44475,72507,86804,511065
842919,"Self-propelled bulldozers and angledozers, on wheels",7245,3384,2657,1846,758,2024,6571,3144,755,1329,,55579,24529,25914,13703,16723,22907,21534,26523,14201,33810,,23078,18775,12911,5966,8561,5445,10569,9308,3068,1803
210120,"Extracts, essences and concentrates, of tea or mate, and preparations with a basis of these ...",1086,1235,968,1083,1149,1109,1049,1212,1275,1320,,7602,7690,7583,7777,8439,10732,16563,14679,22573,20519,,11824,16586,18576,12994,15753,15871,17797,21171,18597,21873
790111,"Unwrought zinc, not alloyed, containing by weight >= 99,99% of zinc",3980,3955,2650,2075,712,2096,176,646,12901,1305,,174537,136911,99655,187376,134843,154066,155417,162091,281948,238388,,15418,21103,46786,37476,31796,27273,12808,36954,241600,212729
392071,"Plates, sheets, film, foil and strip, of non-cellular regenerated cellulose, not reinforced, ...",2945,1230,99,22,11,51,1448,1268,549,1300,,36426,30902,31987,25988,28891,33119,34158,27301,33426,35476,,4511,3584,1423,927,802,1450,4133,2283,832,1841
80521,Fresh or dried mandarins incl. tangerines and satsumas (excl. clementines),0,0,0,0,0,0,348,930,907,1294,,0,0,0,0,0,4084,3857,4443,4860,7669,,0,0,0,0,0,0,5998,25630,21869,32664
420221,"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ...",1418,881,1498,630,1503,1583,1231,694,2174,1291,,2028,2265,2290,1533,1050,1570,1565,1420,2523,4718,,342951,453804,429833,432421,516928,625504,678414,683877,446026,545244
291823,"Esters of salicylic acid and their salts (excluding o-acetylsalicylic acid, its salts and esters)",702,455,540,419,418,522,1324,1162,806,1291,,6602,7184,8022,6080,6956,7558,8579,9211,11284,13084,,12053,15016,12961,12264,12522,12889,15709,17030,16013,19204
721921,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, ...",106,3060,6347,3399,573,1029,308,471,328,1290,,183096,154402,133960,124540,119692,123245,102394,98382,117189,116841,,7788,12733,23247,11396,7662,9156,6269,6585,6241,6056
630710,"Floorcloths, dishcloths, dusters and similar cleaning cloths, of all types of textile materials",7335,7664,8570,5397,5739,4680,5059,1834,1424,1290,,17909,13954,11490,11562,14663,13457,12350,11891,11028,13233,,14923,15347,17753,14628,15225,13913,16638,11982,12076,13759
390950,"Polyurethanes, in primary forms",1366,2301,2347,3608,2560,3192,2611,1870,1347,1271,,239855,208258,201660,188068,203967,220733,241342,232115,229921,283577,,83379,86671,98478,81283,55377,59096,65864,55500,47691,56322
851830,"Headphones and earphones, whether or not combined with microphone, and sets consisting of a ...",1114,1555,1214,1367,1017,1459,1166,1493,1828,1270,,22027,20086,18642,16328,19759,16935,13573,17190,12101,22199,,88421,82426,90699,95281,90511,123902,187048,344042,319521,450759
920120,Grand pianos,1879,1289,1305,782,730,1003,593,1081,965,1266,,114964,115061,117122,105335,101599,110671,118790,124067,112455,140967,,3995,3670,4411,3808,3168,4314,4097,5760,5036,6698
290541,"2-Ethyl-2-""""hydroxymethyl"""" propane-1,3-diol """"trimethylolpropane""""""""",76,303,54,251,223,2576,2658,947,1007,1265,,6674,5848,3670,5832,4683,9229,9143,7061,6631,3590,,2764,4404,3086,3156,2451,5897,6013,4018,4684,9325
841319,"Pumps for liquids, fitted or designed to be fitted with a measuring device (excluding pumps ...",17028,4184,1668,5513,1923,1664,1321,1990,3472,1262,,19783,25363,15210,14036,17337,14465,15730,16487,18048,20812,,60216,54055,41572,54113,66883,31363,32277,35381,29392,28165
848049,"Moulds for metal or metal carbides (excluding moulds of graphite or other carbons, ceramic ...",1553,743,1722,574,855,824,481,1472,1436,1255,,187458,176882,175613,121416,128809,154593,139927,144102,81845,83270,,18698,48265,26731,8795,8128,9139,10164,8014,6618,8976
230990,Preparations of a kind used in animal feeding (excluding dog or cat food put up for retail ...,2111,1878,1541,1321,1275,1424,1194,1078,1262,1254,,78961,58893,67648,68334,64009,59898,62645,61822,73008,76004,,62022,53357,49521,47293,54329,51972,54891,48252,76501,111455
292121,Ethylenediamine and its salts,1474,538,883,388,280,260,55,81,26,1252,,41578,23112,30571,20858,12750,19314,10922,5779,9166,23944,,9403,12848,9593,13945,6315,7509,19636,10038,4150,7668
320910,"Paints and varnishes, incl. enamels and lacquers, based on acrylic or vinyl polymers, dispersed ...",1035,1089,1446,1178,880,561,680,508,408,1249,,100083,80314,82826,73258,74279,71188,78783,79977,80058,78946,,12856,17207,19870,16444,13379,13016,13248,11538,9672,14830
