Product code,Product label,Australia's imports from Russian Federation-Value in 2012,Australia's imports from Russian Federation-Value in 2013,Australia's imports from Russian Federation-Value in 2014,Australia's imports from Russian Federation-Value in 2015,Australia's imports from Russian Federation-Value in 2016,Australia's imports from Russian Federation-Value in 2017,Australia's imports from Russian Federation-Value in 2018,Australia's imports from Russian Federation-Value in 2019,Australia's imports from Russian Federation-Value in 2020,Australia's imports from Russian Federation-Value in 2021,Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
702000,"Articles of glass, n.e.s.",0,0,45,26,0,0,0,0,0,173,,7845,8038,6256,3599,3727,4946,5978,6475,7710,10461,,17223,23874,31052,24238,17833,17042,18719,14369,13739,17754
292390,Quaternary ammonium salts and hydroxides (excluding choline and its salts),0,0,0,0,0,0,0,120,507,172,,266,436,320,182,646,610,614,669,1082,889,,14201,17500,18940,12883,13099,12215,12773,15125,13954,17285
160432,Caviar substitutes prepared from fish eggs,0,2,0,0,56,8,91,58,40,164,,24376,17005,9299,5176,7120,8812,11334,12546,13280,26533,,590,564,767,713,915,908,1124,1706,1607,2326
821220,"Safety razor blades of base metal, incl. razor blade blanks in strips",0,27,8,50,2,166,30,56,101,164,,33386,37710,38865,26802,29608,32233,30188,30690,29087,32337,,17847,20566,17352,16781,18810,20369,32004,27682,26182,28093
854590,"Articles of graphite or other carbon, for electrical purposes (excluding electrodes and carbon ...",0,0,0,0,0,0,0,0,0,153,,5231,1602,333,1219,238,366,1026,739,396,535,,2537,2922,3253,2960,11632,13340,15189,24730,20979,31245
441840,Wooden shuttering for concrete constructional work (excluding plywood boarding),0,0,0,0,0,0,21,0,0,151,,118,265,837,1164,358,319,1018,779,718,753,,710,7,63,676,474,6004,1473,314,200,666
284690,"Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium or of mixtures ...",0,0,0,0,0,0,0,65,0,151,,37142,17425,21303,13290,8407,10289,15068,14496,14372,20813,,281,529,516,573,383,686,890,1058,840,832
690721,"Ceramic flags and paving, hearth or wall tiles, of a water absorption coefficient by weight ...",0,0,0,0,0,0,1,17,92,145,,0,0,0,0,461,34122,42679,44367,55447,77057,,0,0,0,0,0,225136,241273,208419,202682,226253
842410,"Fire extinguishers, whether or not charged",123,107,29,79,185,156,60,233,126,144,,10691,13693,10813,9086,17297,14407,14541,19670,39405,26284,,29156,30561,29874,30176,28467,34660,33231,31245,32234,37225
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",4,6,48,34,34,36,3,29,13,139,,146792,160839,189301,106356,109266,159848,125873,163569,134602,180323,,732814,658707,572171,520313,469408,452920,453951,442165,387207,509404
920600,"Percussion musical instruments, e.g. drums, xylophones, cymbals, castanets, maracas",0,0,0,0,0,0,0,21,72,131,,75,23,37,72,114,196,1952,2221,4611,4729,,11414,12050,10313,10815,10388,9780,8842,10117,9807,12547
720510,"Granules, of pig iron, spiegeleisen, iron or steel (excluding granules of ferro-alloys, turnings ...",0,0,3,0,0,29,75,0,11,129,,6936,8803,6260,5843,4541,5292,9233,8316,8733,12815,,6512,4468,4102,3305,2416,2508,2876,2515,2747,3316
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",0,9,8,3,0,8,13,8,41,127,,193925,231500,216347,165473,216763,231029,255151,255216,181169,272681,,621085,664346,696161,619337,566386,558987,633708,588046,593315,728831
811229,"Articles of chromium, n.e.s.",0,0,0,0,0,0,0,36,32,124,,7916,5879,8145,8185,9315,6912,6307,3662,3655,4138,,2567,1842,1923,1578,826,2021,3646,3692,1795,1699
