Product code,Product label,"United States of America's imports from Korea, Republic of-Value in 2012","United States of America's imports from Korea, Republic of-Value in 2013","United States of America's imports from Korea, Republic of-Value in 2014","United States of America's imports from Korea, Republic of-Value in 2015","United States of America's imports from Korea, Republic of-Value in 2016","United States of America's imports from Korea, Republic of-Value in 2017","United States of America's imports from Korea, Republic of-Value in 2018","United States of America's imports from Korea, Republic of-Value in 2019","United States of America's imports from Korea, Republic of-Value in 2020","United States of America's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
852352,"Cards incorporating one or more electronic integrated circuits """"smart cards""""""""",1607,1756,20534,7778,1330,5453,5136,3682,23692,161960,,22208,33475,65614,27832,26728,29144,34028,42369,26137,38436,,348678,371691,450874,522075,457096,593500,509439,570322,481900,797720
842121,Machinery and apparatus for filtering or purifying water,33026,35993,46737,44640,57101,60070,98898,100267,106772,160073,,257816,328355,378393,456196,495316,436373,561752,699968,696223,823151,,1005091,999732,1069006,1126764,1111028,1160393,1254103,1352120,1563923,1645724
550320,"Staple fibres of polyesters, not carded, combed or otherwise processed for spinning",184967,177539,184747,175631,163932,164113,168836,177540,135725,159750,,1034941,1048989,992579,848134,789778,935236,1131089,881483,742368,875376,,656661,606311,632829,647211,593167,558541,645923,574253,433996,584885
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",14492,19400,19068,21276,25935,30427,38203,39567,63231,157554,,262647,162077,177376,191322,202834,219222,156027,165649,191223,340348,,4854946,5233169,5555897,5897064,6999673,7455219,7063724,7289230,6349778,11852296
840890,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""" (excluding ...""",13920,37141,136365,189718,163681,149261,199146,213987,125031,154915,,232245,277113,389844,399846,404017,399100,490205,485095,396894,450698,,2851710,2326348,2673149,2427420,2027068,2465404,3204690,3032938,1920727,2588198
854460,"Electric conductors, for a voltage > 1.000 V, insulated, n.e.s.",23324,19076,48162,61899,58665,95561,69587,125296,139385,154435,,751346,652252,924803,623394,512492,589470,710466,543640,594628,682593,,394701,339998,463413,521278,420385,494834,569690,699942,740725,853237
720851,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, not in coils, simply ...",128166,45924,201697,205275,222761,109607,133468,142311,41398,153223,,2082970,1467912,1840437,1368737,1161627,1571645,1565607,1633557,1483342,1767813,,676090,437469,973478,767745,526917,310446,262039,245379,98776,291548
731815,"Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excl. ...",134258,147918,136670,162827,134821,117804,121615,126277,120991,152135,,400672,423451,463762,476200,526050,506607,519346,510458,445507,517028,,2287888,2180154,2286228,2368471,2039700,2184929,2594834,2506039,2124923,2686647
390690,"Acrylic polymers, in primary forms (excluding poly""""methyl methacrylate"""")""""",28302,30041,35722,38185,41029,48178,68121,63579,99872,148123,,764513,870300,941670,825936,884942,1122828,1319273,1376755,1366885,1727810,,744805,719561,890379,831930,800328,920698,1030495,985379,1004313,1282514
390210,"Polypropylene, in primary forms",44857,47270,52265,56073,80220,54174,84197,75254,54382,144113,,1625108,1909446,2067064,1815847,1676346,2065274,2394340,2148725,1934103,2824435,,205594,212059,260321,309582,439133,329523,488065,440541,294677,789203
390740,"Polycarbonates, in primary forms",16718,25578,24791,27631,34789,70345,70016,59205,56359,143964,,1177209,1290492,1342616,1386987,1368123,1572327,1778793,1386634,1453770,2346756,,231605,216332,231178,264189,260440,412835,320203,372405,286338,557493
760711,"Aluminium foil, not backed, rolled but not further worked, of a thickness of <= 0,2 mm (excluding ...",7886,6134,5013,7430,7966,22414,109001,103725,114135,142348,,198391,177073,156636,151162,141517,170753,229993,220421,259870,352790,,464996,481930,567681,600110,598375,673652,826561,817511,720318,916541
845811,"Horizontal lathes, incl. turning centres, for removing metal, numerically controlled",242757,176259,163871,157470,102784,124416,214875,198900,119055,141864,,591265,571259,595081,470997,398772,497617,729884,584140,403182,606042,,1087850,904761,904058,865664,624036,694959,931449,950766,599579,598316
841221,"Hydraulic power engines and motors, linear acting """"cylinders""""""""",53883,70755,86863,87622,70708,94815,160721,148166,85329,141123,,213264,215212,259399,209652,201558,268231,331067,291164,204758,316808,,1022493,1076206,1159647,1190252,1155188,1257723,1489178,1514696,1164039,1383164
850423,"Liquid dielectric transformers, having a power handling capacity > 10.000 kVA",281424,186911,172758,227107,281114,233191,154489,134623,117416,140404,,971434,802838,807894,799896,770185,656013,376002,406328,356409,285548,,973052,1069456,1015475,1065174,1063780,859303,871301,969575,1138039,1069578
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",90511,97454,82927,87352,78528,81404,115173,132441,110727,136844,,1444558,1276695,1372296,1464900,1542442,1559537,1712212,1736164,1466954,1836637,,3332808,3290013,3638341,3719703,3683325,4023953,4671314,4708247,4263538,5445736
853400,Printed circuits,100153,103210,86945,85321,100127,99635,108812,93226,100993,134461,,4278649,5181854,4698052,4335263,4385224,5524185,4995358,4797820,5031472,5789358,,1969838,1992807,2046227,2121113,2148839,2078076,2204573,1923032,1807094,2435269
721049,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",186057,175486,211958,214387,130001,122026,105172,108326,96860,131374,,2330835,2300627,2603172,2135154,2208324,2617305,2856305,2624904,1956300,2693177,,1343031,1346466,2156672,1943140,1594175,2038715,1829184,1358289,1048913,2433531
852852,Monitors capable of directly connecting to and designed for use with an automatic data processing ...,0,0,0,0,0,210295,152978,161436,118130,130959,,0,0,0,0,0,540297,564558,388701,210424,339872,,0,0,0,0,0,5496265,5651546,6124508,5849909,7833725
780110,"Unwrought lead, refined",13751,6881,82910,106177,204007,315791,274706,172405,98817,127883,,293727,315241,463054,402045,606554,659255,688679,573551,510227,534747,,351051,684476,927348,788788,818131,1220402,1017903,822909,589073,1098875
290124,"Buta-1,3-diene and isoprene",205513,16104,55624,0,623,36192,45682,49987,59664,127637,,677951,337172,279241,141218,172826,301973,282015,171902,104784,219263,,874768,600635,588019,363232,338098,342550,440782,274144,217693,558582
190230,"Pasta, cooked or otherwise prepared (excluding stuffed)",24120,33226,34731,42301,53026,62061,72145,83546,117162,126478,,252919,256996,250210,262995,339307,443074,477080,528621,686126,769774,,136267,153935,153873,174147,195641,238075,262265,273770,374377,372468
