Product code,Product label,"Taipei, Chinese's imports from Singapore-Value in 2012","Taipei, Chinese's imports from Singapore-Value in 2013","Taipei, Chinese's imports from Singapore-Value in 2014","Taipei, Chinese's imports from Singapore-Value in 2015","Taipei, Chinese's imports from Singapore-Value in 2016","Taipei, Chinese's imports from Singapore-Value in 2017","Taipei, Chinese's imports from Singapore-Value in 2018","Taipei, Chinese's imports from Singapore-Value in 2019","Taipei, Chinese's imports from Singapore-Value in 2020","Taipei, Chinese's imports from Singapore-Value in 2021",Singapore's exports to world- ,Singapore's exports to world-Value in 2012,Singapore's exports to world-Value in 2013,Singapore's exports to world-Value in 2014,Singapore's exports to world-Value in 2015,Singapore's exports to world-Value in 2016,Singapore's exports to world-Value in 2017,Singapore's exports to world-Value in 2018,Singapore's exports to world-Value in 2019,Singapore's exports to world-Value in 2020,Singapore's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
999999,Commodities not elsewhere specified,43264,18957,22454,24552,18910,18757,18742,21086,35190,27143,,33425321,33134541,32228728,19839221,15954456,21238978,26466439,21528516,20297849,24576928,,2137731,3152091,4097793,4552289,3273929,3698539,3509151,3723829,3768943,4306975
390140,"Ethylene-alpha-olefins copolymers, having a specific gravity of < 0,94 , in primary forms",0,0,0,0,0,2371,20843,24518,17896,25957,,0,0,0,0,0,0,1522626,2492969,2156549,2698206,,0,0,0,0,0,3300,22885,27188,29805,45751
903090,Parts and accessories for instruments and apparatus for measuring or checking electrical quantities ...,18432,23170,28115,30225,25394,18843,35814,19840,25685,25484,,399439,455096,482369,508232,440110,538469,508777,556516,680033,660384,,577290,637429,744014,901109,1017849,1098679,1355096,1264550,1644104,1858594
390230,"Propylene copolymers, in primary forms",19326,25828,50593,49296,37721,35637,38966,29180,19943,23711,,1728390,1797739,2083093,1732982,1634407,1766729,1858475,1663804,1392013,1885435,,57910,52219,72842,67157,57521,58577,60838,55462,52215,64655
290121,Ethylene,0,0,5604,3174,12981,51444,25950,16279,14726,22999,,90666,191637,384744,279225,205369,458300,317945,426064,223270,318778,,435974,332158,192346,236378,315600,527715,463879,325480,282132,373672
190110,"Food preparations for infant use, put up for retail sale, of flour, groats, meal, starch or ...",10935,10982,5546,6573,7139,5713,5556,6972,17401,22000,,406115,409729,368029,295997,224780,201005,233014,225001,291162,240457,,69627,86361,67932,68711,70729,66470,73719,96657,106985,102933
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",2103,2581,3461,3971,4410,5692,8127,4971,6861,20976,,436045,427363,318502,234186,254355,358398,605066,507219,592285,778632,,382959,377491,391776,366541,545678,631315,930938,793066,1083012,1591232
330210,"Mixtures of odoriferous substances and mixtures, incl. alcoholic solutions, with a basis of ...",17866,17556,16261,16736,15475,16613,17473,18765,18890,20387,,1191340,668323,404269,400124,402874,526692,745327,874307,906798,1031771,,67552,64836,62336,58489,59596,60832,60811,66499,67467,70038
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",21886,15544,18405,16855,16214,12440,11353,7006,10791,19356,,630220,613107,803492,796154,601721,681188,800265,741482,772284,1148716,,155235,144614,155405,132190,140223,166046,186903,212780,239118,302085
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",971,1442,2192,2715,3918,4926,8100,11058,16224,18678,,493690,614305,795963,882156,1084522,1349477,1466013,1486820,1375164,1888105,,194803,196899,192971,198299,208635,225983,233182,250997,270182,385778
