Product code,Product label,"Korea, Republic of's imports from Australia-Value in 2012","Korea, Republic of's imports from Australia-Value in 2013","Korea, Republic of's imports from Australia-Value in 2014","Korea, Republic of's imports from Australia-Value in 2015","Korea, Republic of's imports from Australia-Value in 2016","Korea, Republic of's imports from Australia-Value in 2017","Korea, Republic of's imports from Australia-Value in 2018","Korea, Republic of's imports from Australia-Value in 2019","Korea, Republic of's imports from Australia-Value in 2020","Korea, Republic of's imports from Australia-Value in 2021",Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
490300,"Children's picture, drawing or colouring books",130,115,85,18,11,14,0,0,0,1,,2894,2046,2817,1923,2102,3798,13083,3254,2137,1536,,23005,25330,29326,23345,24921,24635,26158,37813,38384,42481
560749,"Twine, cordage, ropes and cables of polyethylene or polypropylene, whether or not plaited or ...",0,50,0,3,0,0,0,0,0,1,,457,417,412,538,407,1042,867,792,679,5958,,6546,7670,11099,10572,10897,11845,17677,19090,19384,23597
851130,Distributors and ignition coils of a kind used for spark-ignition or compression-ignition internal ...,113,39,0,0,0,0,0,0,0,1,,518,652,1198,406,738,827,1227,999,1417,1965,,10258,14414,19038,23104,25682,19342,20226,16998,29223,40880
850780,"Electric accumulators (excl. spent, and lead-acid, nickel-cadmium, nickel-metal hydride and ...",118,149,55,42,121,13,2,0,0,1,,9857,8175,13326,11010,5257,4525,3125,1968,2368,3492,,102361,105828,102172,171728,142547,22240,22528,28048,20194,12580
860791,"Parts of railway or tramway locomotives, n.e.s.",0,0,0,0,0,0,0,0,0,1,,7241,4523,2061,2671,4398,4960,5125,4389,2681,2216,,14499,19799,13065,9143,11398,9343,13252,16220,25612,23363
846692,"Parts and accessories for machine tools for working wood, cork, bone, hard rubber, hard plastics ...",4,10,0,10,1,3,4,0,0,1,,1415,1323,791,1159,618,2347,3097,2991,3999,5517,,17168,14800,12137,11125,11821,10858,10992,10605,10680,12456
850519,"Permanent magnets and articles intended to become permanent magnets after magnetization, of ...",0,0,1,0,0,0,1,1,0,1,,500,434,389,426,261,187,307,618,1192,656,,163806,126157,120242,111064,63204,74270,72157,65240,51997,74091
841899,"Parts of refrigerating or freezing equipment and heat pumps, n.e.s.",24,11,17,31,6,1,1,16,25,1,,11495,10350,12291,12174,8577,8802,8185,14950,7784,9042,,53252,51467,52682,53629,70279,77372,95349,132059,128722,141856
841920,"Medical, surgical or laboratory sterilizers",0,0,0,0,0,5,0,0,0,1,,3085,2243,17467,7376,21969,22280,20004,20806,17413,15260,,17194,13528,16290,17321,18347,12783,11455,14877,19304,16117
820530,"Planes, chisels, gouges and similar cutting tools for working wood",0,0,0,4,0,0,2,2,0,1,,146,287,235,123,160,222,443,345,196,409,,1393,1488,1781,1784,1861,2033,1960,1703,1770,2139
732010,"Leaf-springs and leaves therefor, of iron or steel (excluding clock and watch springs and shock ...",0,0,1,0,0,0,0,0,0,1,,1481,1347,1095,851,1282,1424,2353,1717,1355,2865,,6672,6606,10244,11488,11077,10085,12827,15981,17919,20175
761510,"Table, kitchen or other household articles and parts thereof, and pot scourers and scouring ...",8,0,3,2,1,13,7,1,0,1,,2860,2409,1952,970,1152,1063,1262,887,2194,3818,,47235,49781,54193,62361,69190,80973,102866,95575,104921,124871
81350,Mixtures of nuts or dried fruits,0,1,1,1,2,1,0,0,0,1,,2301,1643,1514,1861,2427,1942,8458,7920,7649,8238,,252,194,344,268,221,295,239,130,233,255
320820,"Paints and varnishes, incl. enamels and lacquers, based on acrylic or vinyl polymers, dispersed ...",12,1,3,52,2,0,142,30,132,1,,15958,13657,11125,9175,9108,7315,9688,10130,10232,16552,,107808,119519,141112,142610,146693,142451,159431,151399,157676,173387
292130,"Cyclanic, cyclenic or cycloterpenic mono- or polyamines, and their derivatives; salts thereof",0,0,0,0,0,0,0,0,1,1,,98,64,45,23,47,34,40,36,28,129,,14202,14368,20121,22034,19740,26864,29383,25766,31110,37945
292390,Quaternary ammonium salts and hydroxides (excluding choline and its salts),0,0,1,1,2,3,1,0,0,1,,152,113,105,240,101,280,288,219,1132,1677,,110338,110837,121380,117833,110643,120123,142366,133285,121343,139742
420340,"Clothing accessories of leather or composition leather (excluding gloves, mittens and mitts, ...",0,0,0,0,0,1,1,2,1,1,,21721,15377,18796,13883,7820,3728,5543,4075,1970,2010,,574,536,484,686,866,1023,1135,1514,1717,1882
441911,"Bread boards, chopping boards and similar boards, of bamboo",0,0,0,0,0,61,70,7,2,1,,0,0,0,0,0,698,1328,685,500,1021,,0,0,0,0,0,911,1635,1569,1471,1761
442010,"Statuettes and other ornaments, of wood (excluding wood marquetry and inlaid wood)",3,0,0,0,0,5,0,1,8,1,,125,161,151,171,126,182,461,214,171,517,,2159,2199,2373,3184,3264,3760,4230,4059,3883,4145
442199,"Articles of wood, n.e.s.",0,0,0,0,0,6,27,6,1,1,,0,0,0,0,0,1992,1657,2112,2347,4160,,0,0,0,0,0,40289,44530,45483,48284,58845
200893,"Cranberries """"Vaccinium macrocarpon, Vaccinium oxycoccos, Vaccinium vitis-idaea"""", prepared ...""",0,0,0,0,0,0,0,0,0,1,,285,54,7,84,249,188,449,175,182,185,,1054,4750,9802,11339,9669,10565,10643,10767,11924,15031
250840,"Clays (excluding fireclay, bentonite, kaolin and other kaolinic clays and expanded clay)",3,4,1,0,0,2,0,0,1,1,,450,541,186,455,398,231,307,433,1469,544,,4823,4248,5323,5520,3091,3682,4822,3088,4349,5726
283990,"Silicates, incl. commercial alkali metal silicates (excluding sodium silicates)",0,6,0,0,0,0,0,9,0,1,,505,779,131,253,66,123,100,137,153,709,,8645,9298,11154,11858,11288,9519,9618,9502,8717,9602
282690,"Fluorosilicates, fluoroaluminates and other complex fluorine salts (excluding sodium hexafluoroaluminate ...""",0,0,0,0,0,0,0,2,1,1,,6,3,15,0,1,4,12,13,27,26,,17505,17204,10933,9730,27289,16551,26944,38253,42000,137945
90111,Coffee (excluding roasted and decaffeinated),26,0,0,19,28,0,2,4,1,1,,2552,2642,4048,5082,4947,5477,5673,4746,5726,5531,,382461,314050,425782,433933,421151,486565,441824,426633,454170,543051
30633,"Crabs, whether in shell or not, live, fresh or chilled",0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,3036,3529,4039,6058,8760,,0,0,0,0,0,299721,363678,409843,410734,457049
30489,"Frozen fish fillets, n.e.s.",0,0,0,1,137,306,152,783,0,1,,2622,535,743,3465,2601,5110,5657,8561,9471,14513,,30440,32623,34629,39185,36207,39552,43704,44144,39692,44945
40490,"Products consisting of natural milk constituents, whether or not sweetened, n.e.s.",140,0,0,79,0,0,0,0,0,1,,2225,795,1929,1101,1198,1354,4830,1030,4421,4352,,65014,97719,120329,65534,63358,84250,87750,97068,127984,148062
30783,"Frozen, even in shell, abalone """"Haliotis spp.""""""""",0,0,0,0,0,0,9,0,0,1,,0,0,0,0,0,22470,26610,27821,25522,38477,,0,0,0,0,0,6,10,33,212,714
510990,"Yarn containing predominantly, but < 85% wool or fine animal hair by weight, put up for retail ...",0,0,0,0,0,0,0,1,0,1,,236,166,127,400,48,0,16,0,25,57,,3309,2219,1806,1652,952,1308,1497,1223,1401,1695
382410,Prepared binders for foundry moulds or cores,0,0,0,0,0,1,0,0,0,1,,1336,1173,1060,1482,852,1368,1232,783,596,966,,2131,2736,2265,2592,2867,3810,2842,2333,3411,5652
620620,"Women's or girls' blouses, shirts and shirt-blouses of wool or fine animal hair (excluding ...",0,0,0,3,1,0,4,0,0,1,,128,30,41,16,75,49,37,81,92,89,,1025,1648,1759,1626,2246,1833,1624,1480,1629,1760
610520,"Men's or boys' shirts of man-made fibres, knitted or crocheted (excluding nightshirts, T-shirts, ...",1,0,5,16,0,5,4,6,0,1,,416,414,633,354,297,613,450,382,314,766,,26234,29374,39765,44760,70904,94276,107509,102579,103428,98982
