Product code,Product label,Saudi Arabia's imports from India-Value in 2012,Saudi Arabia's imports from India-Value in 2013,Saudi Arabia's imports from India-Value in 2014,Saudi Arabia's imports from India-Value in 2015,Saudi Arabia's imports from India-Value in 2016,Saudi Arabia's imports from India-Value in 2017,Saudi Arabia's imports from India-Value in 2018,Saudi Arabia's imports from India-Value in 2019,Saudi Arabia's imports from India-Value in 2020,Saudi Arabia's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
382100,"Prepared culture media for the development or maintenance of micro-organisms incl. viruses ...""",0,0,0,104,0,47,33,10,6,48,,12242,14111,12477,11766,11396,12502,14460,13499,25209,23192,,2167,2534,4371,11061,7883,8545,10355,9857,5837,11800
350790,"Enzymes and prepared enzymes, n.e.s. (excluding rennet and concentrates thereof)",0,0,51,0,0,147,50,51,53,48,,41642,43751,42966,42181,45471,49551,42747,41625,50189,68555,,19579,22109,20950,19240,18183,20342,15382,17626,13384,19288
390519,"Poly""""vinyl acetate"""", in primary forms (excluding in aqueous dispersion)""""",0,33,0,0,0,0,11,110,10,48,,14295,16521,13707,13816,10358,7718,8236,7212,4571,13344,,9024,11386,7936,10399,4650,8580,8664,3457,2298,1412
282590,"Bases, inorganic, and metal oxides, hydroxides and peroxides, n.e.s.",83,0,0,0,0,0,231,101,3,48,,5028,5557,5722,7086,10207,9489,10267,6555,5557,9539,,5790,7366,10124,10435,6426,5956,4908,2250,5457,8899
60390,"Dried, dyed, bleached, impregnated or otherwise prepared cut flowers and buds, of a kind suitable ...",0,0,62,128,0,91,99,64,26,47,,26711,36537,38433,25259,17771,13270,9111,8602,6509,11887,,1218,2760,2443,1727,949,887,1128,910,862,483
30319,"Frozen salmonidae (excluding trout and Pacific, Atlantic and Danube salmon)",269,372,818,33,93,66,159,537,102,47,,7628,45368,33956,26325,14111,6260,6271,1838,2028,1730,,35712,34925,26623,2569,4293,7925,6701,9978,28200,15776
844010,"Bookbinding machinery, incl. book-sewing machines (excluding machinery of heading 8441, general-purpose ...",274,202,0,41,67,50,25,99,127,47,,6243,8308,8452,7079,11842,13034,14422,12715,9923,6946,,6104,7049,5449,3642,3164,5078,5241,3071,3031,4519
940381,"Furniture of bamboo or rattan (excluding seats and medical, surgical, dental or veterinary ...",0,0,0,0,0,0,0,0,60,47,,692,374,677,181,191,37,0,0,0,0,,486,518,526,857,1172,215,316,489,1733,1074
293949,"Alkaloids of ephedra and their derivatives; salts thereof (excl. ephedrine, pseudoephedrine ...""",0,0,29,106,126,116,135,97,229,47,,964,1045,1377,655,793,2110,371,222,671,911,,0,0,29,217,170,283,176,282,334,239
730520,"Casing of a kind used in drilling for oil or gas, having circular cross-sections and an external ...",0,0,0,230,289,0,0,0,70,47,,219,192,71,57,29,6,9,2,99,290,,3741,5387,10768,3678,11978,4351,5499,3850,5281,3870
