Product code,Product label,Saudi Arabia's imports from Australia-Value in 2012,Saudi Arabia's imports from Australia-Value in 2013,Saudi Arabia's imports from Australia-Value in 2014,Saudi Arabia's imports from Australia-Value in 2015,Saudi Arabia's imports from Australia-Value in 2016,Saudi Arabia's imports from Australia-Value in 2017,Saudi Arabia's imports from Australia-Value in 2018,Saudi Arabia's imports from Australia-Value in 2019,Saudi Arabia's imports from Australia-Value in 2020,Saudi Arabia's imports from Australia-Value in 2021,Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
854519,"Electrodes of graphite or other carbon, for electrical purposes (excluding those used for furnaces)",0,0,0,0,0,47,5,0,0,0,,1342,601,651,334,418,550,412,454,469,470,,6207,9816,2674,6014,4565,9578,11469,15650,14873,8511
860310,"Self-propelled railway or tramway coaches, vans and trucks, powered from an external source ...",0,0,0,0,0,0,0,0,0,0,,0,0,1244,3,410,22,7,35,8,0,,0,3583,4482,11,4761,14140,100673,271458,87244,3514
860630,Railway or tramway self-discharging goods vans and wagons (excluding tank wagons and the like ...,0,0,0,1127,0,0,0,0,0,0,,264,165,493,1035,0,0,0,0,0,0,,0,926,30539,1142,2,1290,1576,0,12130,5101
860692,"Railway or tramway goods vans and wagons, open, with non-removable sides of a height > 60 cm ...",0,0,0,0,0,0,0,0,0,0,,0,0,14,148,0,0,0,0,0,0,,689,9254,0,52097,22487,0,3,0,37,0
870290,"Motor vehicles for the transport of >= 10 persons, incl. driver, not with compression-ignition ...""",0,0,0,0,0,0,0,0,0,0,,50,423,827,947,1834,206,1815,1281,307,261,,286032,312756,394445,383255,176812,163446,106068,215300,77931,80496
900130,Contact lenses,0,0,0,0,0,0,0,24,0,0,,14556,9576,10173,11190,12882,14514,20940,30693,31047,37149,,22067,26745,24377,29961,24523,28286,29969,30432,19962,30476
900510,Binoculars,60,305,335,0,0,0,0,0,0,0,,1045,4891,4578,1493,4059,1042,1525,1122,1022,2615,,3946,68183,35969,61903,3385,4424,7007,24552,3300,2693
901010,Apparatus and equipment for automatically developing photographic or cinematographic film or ...,0,30,0,0,0,0,0,0,0,0,,2608,3099,4845,4850,2324,2984,1445,1048,1024,1480,,1039,1098,822,500,208,336,467,224,811,495
901380,"Liquid crystal devices, n.e.s. and other optical appliances and instruments not elsewhere specified ...",0,107,0,0,0,0,156,0,0,0,,5443,6926,13662,9346,11829,7215,9913,19629,13144,14503,,5790,8192,15845,4933,4295,32707,27155,20107,4225,12348
901410,Direction finding compasses,0,0,0,0,0,0,0,0,0,0,,999,891,956,719,999,1688,1914,3481,3586,10136,,509,576,593,2052,1437,539,738,2839,527,1064
