Product code,Product label,Singapore's imports from China-Value in 2012,Singapore's imports from China-Value in 2013,Singapore's imports from China-Value in 2014,Singapore's imports from China-Value in 2015,Singapore's imports from China-Value in 2016,Singapore's imports from China-Value in 2017,Singapore's imports from China-Value in 2018,Singapore's imports from China-Value in 2019,Singapore's imports from China-Value in 2020,Singapore's imports from China-Value in 2021,China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",121510,129015,111014,124551,128689,199453,188863,208164,201141,204713,,7741569,9386622,10733540,10296608,10631943,10852859,12028108,13978499,17537513,20793443,,703542,713575,669980,638833,671422,814241,855507,933778,876946,1015717
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",114206,123571,117286,112968,112383,142162,145763,262491,161162,202902,,7223812,8389753,10583329,9962815,10239145,10748180,10804906,10380145,11459565,13288557,,274888,285626,275860,306975,373990,379468,406604,505714,494097,633183
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",60554,83562,86716,106592,122042,92709,89404,112336,138685,200991,,3853060,4537319,5152446,5692145,5829079,6422524,7901988,8317032,7717204,8719845,,569206,677830,690970,730168,721403,729213,938227,1122284,1062679,1372680
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",211961,182580,114706,87465,89289,91661,169434,207340,174665,191761,,2958522,3009119,3147855,3037504,3102294,3398292,3732805,3760551,3554395,4354729,,618776,722653,639981,580580,603018,599540,645755,728855,624895,769851
854390,"Parts of electrical machines and apparatus, having individual functions, n.e.s. in chapter ...",158212,136777,188015,214520,234766,267829,170925,192522,111990,184968,,604277,849889,1360338,1266825,1573883,2364025,2962672,3812027,4102064,4255726,,1285716,1150454,1126206,1168453,1136041,1161612,1037901,1034137,986896,1321379
850760,Lithium-ion accumulators (excluding spent),19606,39510,25467,31365,32540,53195,112687,79602,102353,176820,,4464821,4707565,5475430,6493855,6814605,8035482,10821769,13031189,15941002,24963112,,57961,179216,153567,139910,128827,107240,194200,179619,226845,281634
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",80540,146045,60677,38292,36079,52657,124045,67054,97431,167910,,1912450,4743828,4134589,6193995,2900609,2465935,3179767,2257125,3868696,5082514,,311770,346482,264890,228045,262220,290543,564486,427861,534104,774067
740610,"Copper powders, of non-lamellar structure (excluding grains of copper)",29,72,231,0,287,430,444,524,445,164692,,49644,36668,36713,28559,24411,27607,29979,27622,25143,38987,,10340,8955,8653,5721,5336,6467,7649,4835,3959,170499
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),93229,66196,76315,78096,69224,65766,80038,83816,114389,161337,,1647723,1919298,2096278,2113165,2030215,2142812,2285082,2394967,2797690,3270634,,307991,282093,301089,259114,248092,272411,306790,315800,364461,498434
852859,"Monitors, not incorporating television reception apparatus (excluding with cathode ray tube ...",36669,34485,65782,42204,45253,91037,118903,113483,101831,155972,,4430820,5585418,7103636,7471870,8642170,5840526,4633399,5168215,4551795,4670042,,113158,102010,141250,107481,129946,173294,227278,419239,382836,400959
852580,"Television cameras, digital cameras and video camera recorders",253406,207139,141200,117549,105257,136529,120032,138435,136311,154172,,12737641,15798153,11685040,11763605,9478875,9068147,10663587,9746299,10823861,11960916,,1302958,1121103,954246,753061,619294,746818,726467,657970,536540,703569
847989,"Machines and mechanical appliances, n.e.s.",28654,24549,29886,17145,28875,37183,40195,35957,75387,153051,,1337829,1455000,2018115,2087395,2593726,2852789,3558331,4244747,4846439,5219037,,759158,585962,539417,481101,467032,520374,628941,737023,712519,1007466
854449,"Electric conductors, for a voltage <= 1.000 V, insulated, not fitted with connectors, n.e.s.",82736,79074,87450,82098,98249,102250,98283,109596,112463,151039,,3650036,4074218,4330884,4287186,3954193,4416388,4790558,4610404,4238638,5225896,,349506,404234,373461,288861,287166,278911,315846,326784,310436,456454
850450,Inductors (excluding inductors for discharge lamps or tubes),107638,105958,101829,97300,106489,117862,117569,99337,110510,145957,,2369382,3288910,3254863,2888664,2624270,2661130,2901203,2897949,2773106,3660486,,375479,407247,325871,288887,286060,261105,326456,318259,300750,379920
841191,"Parts of turbojets or turbopropellers, n.e.s.",32343,42535,51602,42371,44252,57729,159257,129683,90871,141236,,1028289,1248349,1560223,1562301,1771100,1925835,2139792,2629812,1509547,1425124,,4466914,5756528,5373006,4765011,5516715,6299087,8962304,11083992,7352779,7481911
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",42672,44788,43724,27369,88135,32237,38601,63719,104735,129235,,7596082,7907194,6943312,7436946,7269948,8252622,9933134,11149256,13017151,16941781,,328537,334787,287261,239294,257205,264535,396621,448033,420106,732376
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",153254,134106,188658,203188,126337,127537,160426,157784,71810,123691,,22209234,28034769,47589877,17828050,12627994,10457276,12785686,12756495,7269713,10328552,,4032176,3835532,3663660,3109129,3125516,2564618,2791383,2986029,2112550,3044173
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",122976,124777,168688,209862,192029,413019,390695,414194,262588,121616,,1014272,1113147,1257197,1305354,1198858,1322822,1635280,1833293,1171919,1036525,,5235287,5022570,4217285,4381924,5060008,5920649,7069759,7515708,4815695,4599831
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",34078,52159,42931,52460,46812,58475,68649,88112,75090,120564,,4997600,5504037,5814012,5927523,5342813,5769067,6748713,6928980,7817290,10545923,,295882,414307,387389,407512,362986,347635,421721,493505,431237,458127
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",104337,106237,107712,84092,94651,70411,98751,79783,92869,117783,,8888454,9592473,10517991,10056454,9323523,9952676,11316574,11118347,11321173,13077664,,705981,704108,810674,678342,682914,588932,702353,750230,829260,911871
843143,"Parts for boring or sinking machinery of subheading 8430.41 or 8430.49, n.e.s.",158419,142576,186089,147338,73290,89731,126677,143205,76230,117700,,1828123,1963844,2027534,1266382,879695,1068032,1296477,1374848,903892,914873,,3609924,3051055,2955201,2456388,1280727,1055388,829264,952647,727405,644649
900190,"Lenses, prisms, mirrors and other optical elements, of any material, unmounted (excluding such ...",70359,76851,75399,74724,58116,131042,103845,61633,93678,114674,,1862838,1878562,2047535,2131091,1653179,1809920,1975435,2056212,2057642,2607728,,179763,176234,238594,181421,165524,256547,230020,185325,216035,260655
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",86517,124304,76253,103729,120118,101693,137903,100815,87685,112797,,3165429,3167006,3768226,3194536,3027450,3817871,4765701,4716730,4117092,5948796,,1436204,1399445,1019884,892421,943311,1102710,743680,604928,421621,523517
844332,"Machines which only perform one of the functions of printing, copying or facsimile transmission, ...",159714,142808,129345,97046,107344,122170,129276,97480,91344,112670,,4939165,4851938,4530086,3877629,3449936,3386649,3252753,3041841,2533385,2743955,,551848,370718,391816,299210,288332,322407,389526,365380,298486,359597
950450,Video game consoles and machines (excluding operated by any means of payment),207220,153965,119826,104237,86103,89627,105891,118803,78424,111860,,7253069,6099963,5854739,8399952,9670460,11920953,11043000,9131034,9981580,13522404,,258037,222023,201498,148968,112718,114735,128891,143820,107501,155956
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",94728,118818,153060,129648,90362,64440,71395,70854,90832,111488,,8631521,8394164,8389879,9209780,8145766,8352154,8993637,10804878,10737893,11672708,,415262,459603,493058,422125,689984,378466,304099,431124,569046,474902
847990,"Parts of machines and mechanical appliances, n.e.s.",91644,109001,110615,84482,82419,84735,88096,171466,106985,110591,,536220,517462,636818,681888,659245,851227,1016104,1303105,1448725,1555741,,1163247,1213267,1108630,962742,905282,987185,877797,965347,870378,999715
847590,"Parts of machines for assembling electric or electronic lamps, tubes or valves or flashbulbs, ...",4007,7258,4466,13253,3274,215,583,1217,17083,109043,,21105,49666,93878,46884,79676,56496,98244,58687,47173,78775,,35020,34181,23447,28523,82051,101992,137038,164764,365037,614000
220890,"Ethyl alcohol of an alcoholic strength of < 80% vol, not denatured; spirits and other spirituous ...",41846,39800,36171,34894,37217,29918,67480,65145,68239,105930,,374238,279815,353694,475346,491543,492491,681545,698306,487843,485517,,60059,59585,53676,52218,54419,48084,85250,86073,87082,127060
381121,Prepared additives for oil lubricants containing petroleum oil or bituminous mineral oil,11184,7712,9640,25521,110433,131412,160569,114151,94473,105491,,19691,32647,63074,86954,138667,195922,195769,235655,238800,249256,,636008,767492,780936,707453,723197,775299,715116,561414,524858,608031
847149,"Data-processing machines, automatic, presented in the form of systems """"comprising at least ...""",128303,138183,132029,154193,151037,134379,142957,143433,83034,104814,,3886197,4964861,4439511,4105674,3527777,5155403,6087845,5126847,5141272,4708174,,328500,366979,303446,266714,251410,280143,281294,341228,294731,437810
847180,"Units for automatic data-processing machines (excluding processing units, input or output units ...",129597,115864,100277,128993,111483,115259,123234,92907,83660,103337,,4828383,4759168,4839917,4460400,4293589,5073460,6164928,5457612,6458197,7833031,,489784,483558,397298,357344,376583,527782,483287,421024,429655,449183
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,14188,18814,16879,22854,49962,140649,119218,104324,151217,99781,,147436,181663,233925,251430,375720,296100,354358,532575,690950,572345,,603204,618570,776729,775939,1673399,1398241,1738269,1309198,1832903,2868121
210690,"Food preparations, n.e.s.",36747,42832,43706,28868,26577,30960,46540,64032,77618,99115,,895935,1017101,1084649,1083912,1174307,1243794,1533543,1758847,1963451,2085147,,349771,452092,445813,440019,375695,364467,490716,609801,648132,750724
950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...""",83980,83278,92647,87737,91734,115623,111603,95766,70385,98208,,11450207,12378883,14134788,15666830,18494884,24261407,25467875,31342495,33485634,42015657,,158250,171569,187829,193128,189649,216071,223424,205792,153994,181875
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",12523,18570,22467,28491,31607,34315,60652,55520,64229,97618,,336076,388862,482274,532806,539414,559870,668854,1197421,991010,889248,,690653,759920,701463,606149,649133,612823,713707,677289,658509,791761
903190,"Parts and accessories for instruments, appliances and machines for measuring and checking, ...",13754,16610,14993,15632,40183,27822,44130,43071,50506,96231,,282376,358019,461367,519045,576585,662590,803210,701067,928526,923901,,449497,363549,283850,267931,441725,356670,333823,281746,323620,495981
760612,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm, square or rectangular ...",42639,52479,43773,48210,38143,46695,63929,66352,57695,95446,,1830338,2183359,2676004,3017486,2768057,3947771,4775233,4639440,4357233,6652844,,106310,134037,110553,114987,86825,122311,157446,113733,105909,186151
854121,Transistors with a dissipation rate < 1 W (excluding photosensitive transistors),42773,47818,47801,57006,39069,49753,51843,38482,35267,90850,,1552849,1892410,2158770,1462800,1207320,1139819,1138632,1082697,1135336,1367591,,197220,134906,118484,104806,405716,585824,603833,518475,354298,199161
761090,"Structures and parts of structures, of aluminium, n.e.s., and plates, rods, profiles, tubes ...",37916,57929,75893,85339,83639,63261,65094,77004,59703,90726,,1421748,1633948,2054732,2341057,2141814,2377353,2681781,2816759,2880326,3403480,,77975,108951,142351,125597,128196,95747,99232,111479,89780,139624
845229,"Sewing machines, industrial type (excluding automatic units)",62858,99385,119099,106578,102429,75261,100702,78736,34848,90723,,364824,428525,422782,373205,362554,339203,402137,368686,312324,405421,,165586,212211,269821,254188,271291,212581,268893,226241,99807,203215
847141,"Data-processing machines, automatic, comprising in the same housing at least a central processing ...",119225,184495,110252,114634,81076,62515,69376,83434,65539,90454,,4377850,4208729,3929256,2747799,2000406,1994444,2431804,2504558,2603626,3140525,,233582,276527,209460,198556,152308,213159,214356,250763,234382,327923
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",19217,14387,15705,19357,20338,25288,30269,25347,31711,88901,,1451878,1644127,1968675,1899008,2031017,2893655,2682392,2228655,2202109,2449112,,230210,200295,166404,226998,245638,279682,336820,321035,324269,440262
240220,"Cigarettes, containing tobacco",148375,142391,175469,209476,234725,235636,215583,246986,110011,87776,,449920,488921,513745,572650,634751,575756,721043,705911,257003,133492,,622017,642787,678250,696726,760671,785017,838456,787352,523423,570953
852852,Monitors capable of directly connecting to and designed for use with an automatic data processing ...,0,0,0,0,0,0,128206,116587,76595,85392,,0,0,0,0,0,6602508,8972933,9095985,10075026,13088408,,0,0,0,0,0,0,161834,152392,98010,115641
847329,"Parts and accessories of non-electronic calculators for accounting machines, cash registers ...",7270,9154,12163,14299,23786,35564,17342,19363,21426,81204,,225219,218604,239281,286488,288374,364685,401213,418925,389979,450587,,19615,26369,25201,50391,89022,78858,64162,53551,28470,91442
901920,"Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic ...",12684,9415,37612,52842,38837,37917,43209,42866,89114,80520,,430287,478195,493344,537997,482587,589922,702393,763696,2893281,1471589,,61816,85008,107061,215466,257681,294851,311356,289524,418015,304127
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,0,44850,39018,45798,78844,,0,0,0,0,0,2905595,3538922,3451548,3654255,4966804,,0,0,0,0,0,0,356613,346270,342538,409348
847190,"Magnetic or optical readers, machines for transcribing data onto data media in coded form and ...",29924,27534,35246,63598,66755,55984,74118,65418,78008,78355,,487884,486096,522218,579047,633155,579393,590820,582104,499807,572980,,274928,258500,259179,256376,259963,254980,329031,310950,345335,292137
291712,"Adipic acid, its salts and esters",10341,59325,63740,40117,62164,87581,84029,59455,44930,77538,,78379,190265,254635,209262,282212,449960,516818,373050,286256,551187,,90939,117151,108229,77594,69634,101808,99844,67456,53758,92897
848210,Ball bearings,61856,56484,71071,53317,62359,57554,62127,62685,56263,77532,,2034960,2259762,2416531,2342278,2393412,2557194,2842117,2650082,2506742,3213913,,668111,563215,564750,506845,487964,488607,479876,451623,324780,366922
761699,"Articles of aluminium, n.e.s.",86246,84313,79809,63376,57833,45525,45233,50984,58094,77337,,2406901,2653768,2952151,2894655,2748207,2820025,3221520,3169550,3411107,4220350,,373731,360643,339734,303797,316084,263644,363385,302024,319877,385519
