Product code,Product label,Singapore's imports from Viet Nam-Value in 2012,Singapore's imports from Viet Nam-Value in 2013,Singapore's imports from Viet Nam-Value in 2014,Singapore's imports from Viet Nam-Value in 2015,Singapore's imports from Viet Nam-Value in 2016,Singapore's imports from Viet Nam-Value in 2017,Singapore's imports from Viet Nam-Value in 2018,Singapore's imports from Viet Nam-Value in 2019,Singapore's imports from Viet Nam-Value in 2020,Singapore's imports from Viet Nam-Value in 2021,Viet Nam's exports to world- ,Viet Nam's exports to world-Value in 2012,Viet Nam's exports to world-Value in 2013,Viet Nam's exports to world-Value in 2014,Viet Nam's exports to world-Value in 2015,Viet Nam's exports to world-Value in 2016,Viet Nam's exports to world-Value in 2017,Viet Nam's exports to world-Value in 2018,Viet Nam's exports to world-Value in 2019,Viet Nam's exports to world-Value in 2020,Viet Nam's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
640399,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...",3649,6247,15766,19901,15326,15113,17567,26055,15573,16972,,1448934,2494405,2741165,2952812,2815966,2971870,3303147,3664990,3382124,4922094,,66984,76496,103120,101424,106789,118538,149273,181062,114620,140156
850440,Static converters,807,377,879,1606,1768,10783,12287,11608,14249,16722,,32006,95515,149927,356884,511639,537759,566389,820351,1185593,2117644,,881366,856497,814701,895629,939902,1013836,1003992,951792,956162,1117216
841112,Turbojets of a thrust > 25 kN,0,0,0,0,0,0,15401,32092,34467,16482,,0,0,0,0,1,0,0,0,0,300649,,275126,237821,462152,136903,213973,314994,2922759,4635153,5170250,4795793
848640,Machines and apparatus specified in Note?9 C to chapter 84,0,10,455,158,864,0,355,1076,3368,16257,,61,1116,16007,14283,29114,33336,24266,16823,23025,211366,,188953,169799,180764,213333,256124,414612,482870,346148,496157,819263
70960,Fresh or chilled fruits of the genus Capsicum or Pimenta,11162,11939,10922,11464,13297,13798,12219,15530,15768,15984,,27879,34456,38675,42166,61554,73040,87489,48030,53495,24323,,26814,28315,26446,26135,27111,29262,25854,29644,30406,31323
845230,Sewing machine needles,1524,4991,8744,8737,9088,10338,12303,13790,16145,15695,,17475,24568,30871,38185,36458,34785,30517,27647,25743,50164,,19014,19722,22136,21755,21658,23687,27517,25355,24931,27498
854390,"Parts of electrical machines and apparatus, having individual functions, n.e.s. in chapter ...",5213,8133,12091,10201,7233,12225,11661,4375,7823,14907,,24752,24537,13556,3986,35760,3057,36221,57027,91918,89336,,1285716,1150454,1126206,1168453,1136041,1161612,1037901,1034137,986896,1321379
420292,"Travelling-bags, insulated food or beverage bags, toilet bags, rucksacks, shopping-bags, map-cases, ...",2976,3204,4188,5741,11476,16591,13441,16416,16710,14819,,528165,647245,1043043,1149970,1285819,1160254,1319435,1431620,1290469,2141853,,59906,60536,73521,70448,97343,126973,138643,145274,148718,146502
640299,Footwear with outer soles and uppers of rubber or plastics (excluding covering the ankle or ...,4465,10217,13313,7492,4663,7357,9551,16402,14165,14785,,1185242,1205564,1547538,1657350,1658648,1716139,1889767,2308692,2176232,3564093,,42488,51722,53985,50325,49319,56218,64395,86081,68644,83242
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",9916,7103,7698,8375,10655,18182,16877,13293,13010,14376,,146007,179220,193582,157052,209496,279400,380219,373951,378850,414084,,1469493,1353525,1439711,1309489,1200707,1305879,1384861,1157085,1049046,1333739
220300,Beer made from malt,7831,35614,25063,48747,30940,23549,17833,14042,10803,13785,,82111,71206,64467,69072,58308,67942,66741,76926,71845,69350,,144984,199823,178602,178580,147794,150077,139542,146074,112690,113666
841181,Gas turbines of a power <= 5.000 kW (excluding turbojets and turbopropellers),0,0,0,0,2669,11708,11737,8007,10794,13551,,0,1,132,129,129,4,1180,133,971,13551,,67689,145401,131849,125452,311124,167563,241752,757931,358070,279686
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",1044,884,247,1575,4610,6965,12098,8636,10466,13546,,95075,93819,130558,195000,287157,390205,509215,1087127,1527410,2433154,,274888,285626,275860,306975,373990,379468,406604,505714,494097,633183
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",13765,17668,19779,14118,13395,17263,17971,14262,7912,12920,,1505834,1988909,2481753,1731416,1820293,2204604,1973110,1961743,1942353,2062075,,43256,62597,69579,51657,58192,68049,70136,74528,65021,87318
611020,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of cotton, knitted or crocheted ...",962,1368,1372,1417,3909,5978,5540,6859,7743,12502,,929238,1114763,1137552,1123399,1123636,1210243,1551356,1922061,1814401,2841275,,98837,92056,107511,116755,119525,138387,132354,108151,72034,95826
321000,"Paints and varnishes, incl. enamels, lacquers and distempers (excluding those based on synthetic ...",265,395,1062,861,553,202,97,57,3101,12488,,803,665,716,2264,1750,1580,1774,1917,5893,18103,,14712,13162,18274,19894,16940,13982,12456,12227,11094,23772
902140,Hearing aids (excluding parts and accessories),12019,9088,2630,2120,4428,7719,13695,15615,12010,12387,,45571,46707,49538,53764,55295,74438,95608,169961,155996,860999,,159293,150662,112856,88896,129781,115582,135915,134742,116852,130284
340220,"Surface-active preparations, washing preparations, auxiliary washing preparations and cleaning ...",6054,6860,7112,4976,4773,4599,5648,6292,9908,12322,,116887,103132,94872,96968,105493,112249,105314,122499,161661,214471,,78260,84772,81232,68754,70518,71812,75111,83446,111709,111422
960390,Mops and leather dusters; prepared knots and tufts for broom or brush making; squeegees of ...,146,145,245,382,730,516,730,281,254,11896,,3048,4164,6139,6838,9414,10243,14753,10109,8442,43711,,16996,17736,20071,24423,32452,43653,41018,31145,26542,38680
843143,"Parts for boring or sinking machinery of subheading 8430.41 or 8430.49, n.e.s.",37124,32828,41969,35756,18617,11259,30865,23941,23656,11638,,24063,31685,30108,20393,15752,13477,25469,29120,17006,25149,,3609924,3051055,2955201,2456388,1280727,1055388,829264,952647,727405,644649
151800,"Animal or vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, ...",0,0,0,0,95,533,383,2592,9065,11065,,8512,7352,3561,7843,3700,8411,6157,18525,40018,73932,,5931,3974,16332,26636,83873,112767,126224,379461,588471,1046857
621210,"Brassieres of all types of textile materials, whether or not elasticated, incl. knitted or ...",1668,1801,3408,5125,4833,6618,11059,12005,6961,10970,,137767,154428,183058,213233,363179,561480,690134,820477,721248,1132250,,38568,41135,43809,45309,45950,52869,51916,42900,29268,38040
620342,"Men's or boys' trousers, bib and brace overalls, breeches and shorts, of cotton (excluding ...",4221,3682,4734,7604,3261,7038,7414,12871,9391,10604,,495843,589240,619227,603436,658759,665475,727989,764007,604495,911005,,62996,58598,80907,73014,70130,76871,86220,90018,79848,83083
251710,"Pebbles, gravel, broken or crushed stone, for concrete aggregates, for road metalling or for ...",1086,1220,11275,5358,4207,3510,8446,60622,30978,10499,,6276,9202,1763,729,1282,1639,694,2982,766,20001,,182347,315530,305350,252037,182931,195878,218903,243355,145650,188873
160521,"Shrimps and prawns, prepared or preserved, not in airtight containers (excluding smoked)",9722,15131,17782,19867,19958,15476,13958,15035,10547,10042,,374771,589144,791827,709501,733870,656514,434969,356845,382655,1251187,,33392,50617,49442,43721,45992,39732,35364,32527,24284,26222
441299,"Laminated wood with both outer plies of coniferous wood (excl. of bamboo, with an outer ply ...",1413,2698,3863,3362,3777,4987,9028,6317,4427,9978,,52387,49319,48602,45137,57495,64277,199767,156694,131841,140698,,52411,56060,63470,61386,59861,47620,49525,37221,26243,35558
870810,"Bumpers and parts thereof for tractors, motor vehicles for the transport of ten or more persons, ...",7759,7217,6939,4703,6185,7285,8786,8424,6438,9968,,3364,2406,1890,2607,3704,4836,6326,4609,10177,26953,,319807,303653,258823,205296,168717,140756,94865,71804,65083,107921
841869,Refrigerating or freezing equipment (excluding refrigerating and freezing furniture),3500,3866,3665,5170,4394,5808,5637,5409,11029,9396,,2499,3168,3632,17029,10125,35911,34876,41211,40510,64006,,104833,111647,123584,133863,113786,133638,159216,122434,116567,158796
160420,Prepared or preserved fish (excluding whole or in pieces),11102,12726,15110,14874,12262,12432,12924,10008,9838,8888,,22412,33457,45330,47690,47511,52965,97512,99012,99261,59839,,78686,73247,70488,72929,69962,68760,70201,70119,72716,86315
910219,"Wrist-watches, whether or not incorporating a stop-watch facility, electrically operated, with ...",2,0,0,0,0,7,0,1082,7537,8644,,1,7749,82,25,31,47,24,334,807,14861,,4739,6060,5573,7685,4651,4808,5941,4419,10306,14653
610990,"T-shirts, singlets and other vests of textile materials, knitted or crocheted (excluding cotton)",2434,4416,3743,5485,6493,6495,8478,7893,7476,8642,,400673,539016,705758,803556,893999,1006157,1190022,1178020,1035429,880378,,59015,68085,76678,89864,98448,99237,98695,91182,60519,70346
252329,"Portland cement (excluding white, whether or not artificially coloured)",4,1081,21098,8071,959,1,0,10688,1291,8099,,119387,263205,286647,224341,226692,190482,378412,482287,580238,894217,,330338,341483,351373,337647,239624,184144,191993,212350,145364,231205
851690,"Parts of electric water heaters, immersion heaters, space-heating apparatus and soil-heating ...",17,76,109,183,31,179,116,2391,13681,8012,,1616,2074,3505,6958,36409,69499,74216,78026,101813,128854,,74462,42405,34012,26513,31590,43267,61957,56510,70388,49807
320890,"Paints and varnishes based, incl. enamels and lacquers, on synthetic polymers or chemically ...",118,260,42,142,223,3405,3480,2217,5425,7619,,12789,17071,19035,23786,13778,21577,24021,38311,44539,46645,,182816,196918,192432,176076,140256,151758,161006,172954,139357,166785
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),181,553,690,884,1557,2272,2208,2605,4136,7502,,25348,34490,44439,62083,74043,85238,116331,285593,417209,423936,,307991,282093,301089,259114,248092,272411,306790,315800,364461,498434
620520,"Men's or boys' shirts of cotton (excluding knitted or crocheted, nightshirts, singlets and ...",2825,4205,3099,4270,5265,8702,8276,8345,7058,7479,,330169,442998,563243,590874,623384,655973,730842,721440,514661,644468,,53592,56851,65378,55864,48145,55333,52325,50514,37967,38819
852859,"Monitors, not incorporating television reception apparatus (excluding with cathode ray tube ...",308,155,3517,1240,5262,9933,9551,9448,6032,7372,,651,4954,23295,39757,140538,256742,677142,1185184,1500458,379248,,113158,102010,141250,107481,129946,173294,227278,419239,382836,400959
851829,"Loudspeakers, without enclosure",8058,8162,8538,6188,3725,6988,5564,3537,4213,7361,,256128,284373,458970,482990,558091,685614,778495,801412,857683,887477,,109773,124247,136543,106594,127105,107094,96056,30731,51383,58803
30559,"Dried fish, even salted but not smoked (excluding fillets, offal and cod)",3507,3860,4089,4059,4410,7165,7351,4917,5399,7245,,55986,54013,54426,23330,56700,100869,105867,115186,161466,105132,,14649,16646,14614,14541,15408,17447,16612,11677,11849,14170
640319,"Sports footwear, with outer soles of rubber, plastics, leather or composition leather and uppers ...",3150,5030,8583,6151,9412,10999,8189,10123,8816,7168,,1197554,267525,305154,356342,225965,229706,280861,280583,149284,127850,,22867,22930,28359,29286,27748,33751,22847,19989,16461,15365
850720,Lead acid accumulators (excluding spent and starter batteries),2017,1453,1349,6069,6840,12423,7923,12502,9601,6770,,312087,348723,433029,399594,413398,491690,621269,693858,747407,821922,,84077,75604,82039,84253,76311,98133,76062,83236,78675,82789
630532,"Flexible intermediate bulk containers, for the packing of goods, of synthetic or man-made textile ...",1559,1647,1780,1957,2207,4029,4348,4870,5674,6767,,96477,124666,167323,85004,173363,204366,240901,261614,308300,367000,,9282,8282,9596,10061,10173,13867,13331,13264,12140,16053
847160,"Input or output units for automatic data-processing machines, whether or not containing storage ...",1097,20,838,1687,369,2792,2844,3273,4536,6694,,41746,68072,55619,13984,35979,40344,27967,39467,100485,885725,,243209,220931,181335,240082,275211,264661,306558,242895,258876,323423
910229,"Wrist-watches, whether or not incorporating a stop-watch facility, with hand winding only (excluding ...",29,72,22,13,2239,4307,7847,7534,6707,6667,,15,8,65,79,62,6,31,78,304,7284,,82267,84370,85553,397472,473183,411506,392982,396636,277649,429854
853400,Printed circuits,607,4209,4533,1957,6629,6061,7559,11728,7594,6570,,272144,344284,443344,533718,535173,639625,756251,1064644,1093481,1462489,,822763,750782,726454,636744,587696,597727,673543,638617,835161,985036
821210,Non-electric razors of base metal,164,51,94,25,1334,1753,1168,2022,2869,6567,,34374,41575,50899,40818,57638,82928,109051,131942,139364,172998,,11835,9325,10926,12588,17955,17534,17560,19398,23505,26564
853340,"Electrical variable resistors, incl. rheostats and potentiometers (excluding wirewound variable ...",202,115,5,40,11,202,553,323,344,6398,,13609,20679,20391,17514,18153,24360,26504,23868,21650,48026,,90232,66003,53155,49074,45817,64309,92091,81451,86900,143127
