Product code,Product label,"Korea, Republic of's imports from India-Value in 2012","Korea, Republic of's imports from India-Value in 2013","Korea, Republic of's imports from India-Value in 2014","Korea, Republic of's imports from India-Value in 2015","Korea, Republic of's imports from India-Value in 2016","Korea, Republic of's imports from India-Value in 2017","Korea, Republic of's imports from India-Value in 2018","Korea, Republic of's imports from India-Value in 2019","Korea, Republic of's imports from India-Value in 2020","Korea, Republic of's imports from India-Value in 2021",India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
40891,"Dried birds' eggs, not in shell, whether or not sweetened (excluding egg yolks)",0,0,0,0,0,66,0,12,0,0,,31050,39170,28901,26473,19650,13266,15720,14762,12648,12587,,235,173,247,318,299,4903,3517,3315,3504,4672
50800,"Coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder ...",4,30,16,0,24,12,11,7,15,0,,2352,3285,3569,2753,2960,3114,2892,3317,4709,5116,,3608,3457,4163,4272,4131,3456,5130,5419,4729,4772
60420,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses ...",0,0,0,0,0,0,0,0,0,0,,0,43,50,170,215,172,29,50,42,26,,210,226,486,367,319,1429,1982,2047,1745,2581
70190,Fresh or chilled potatoes (excluding seed),0,0,0,0,0,0,0,0,0,0,,18330,33572,108874,49572,59226,57901,56669,76026,70754,70568,,18220,17786,12272,21217,18146,20507,23743,17267,15481,17797
70529,Fresh or chilled chicory (excluding witloof chicory),0,0,0,0,0,0,0,0,0,0,,128,54,0,1,18,0,0,1,0,0,,735,1303,1803,2279,2530,2846,2818,2897,2928,3803
70610,Fresh or chilled carrots and turnips,0,0,0,0,0,0,0,0,0,0,,139,159,197,163,239,301,258,253,396,747,,44012,54453,42382,42777,43967,41786,48595,38646,38346,42529
70810,"Fresh or chilled peas """"Pisum sativum"""", shelled or unshelled""""",0,0,0,0,0,0,0,0,0,0,,1280,1156,8135,2313,685,590,162,394,288,141,,0,1,0,0,0,0,0,0,0,0
71021,"Shelled or unshelled peas """"Pisum sativum"""", uncooked or cooked by steaming or by boiling ...""",0,0,0,0,0,0,0,0,0,0,,4087,9260,12734,3550,3249,6723,4705,9266,8772,7434,,180,238,259,334,402,337,491,374,357,428
71090,"Mixtures of vegetables, uncooked or cooked by steaming or by boiling in water, frozen",0,0,0,0,0,0,0,0,0,0,,1425,3102,3582,3803,3054,3236,3056,2960,8699,5871,,2466,2885,2816,3220,3577,5020,5346,7062,8334,9568
152190,"Beeswax, other insect waxes and spermaceti, whether or not refined or coloured",1,1,0,0,0,0,0,0,0,0,,778,1563,1524,1112,1883,1616,1552,1738,1924,1672,,2091,1612,2226,2289,2333,2673,3087,2382,3102,3698
160100,"Sausages and similar products, of meat, meat offal, blood or insects; food preparations based ...",0,0,0,0,0,0,0,0,0,0,,872,593,630,2026,298,992,971,1288,414,476,,24952,26700,30939,31031,36082,38007,36944,39766,39341,45194
160241,"Hams of swine and cuts thereof, prepared or preserved",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,8,34,4,,3448,4108,5322,6725,8012,7169,7779,6259,6468,5004
160510,"Crab, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,0,,15065,12057,15257,8600,3105,13294,27095,26677,25092,66624,,1761,1645,1820,1591,2860,3712,3024,4051,1846,780
190110,"Food preparations for infant use, put up for retail sale, of flour, groats, meal, starch or ...",0,0,0,0,0,0,0,0,0,0,,14040,30454,34324,43895,41955,40859,38862,43715,43193,33648,,46696,47569,54951,65888,73260,75771,84414,89190,90642,105292
190510,Crispbread,0,0,0,0,0,0,0,0,0,0,,146,111,143,120,141,65,309,169,191,145,,0,552,15,223,54,67,35,20,71,49
200390,"Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid (excluding ...""",0,0,0,0,0,0,0,0,0,0,,595,182,11,5,8,22,7,10,7,5,,6557,6294,7164,7916,8485,8752,10040,11041,10488,11516
200591,"Bamboo shoots, prepared or preserved otherwise than by vinegar or acetic acid (excluding frozen)",0,0,0,0,0,0,0,0,0,0,,9,1,0,0,0,0,9,2,4,2,,4335,3615,3913,4525,4685,4384,5536,5475,6519,7073
200710,"Homogenised preparations of jams, jellies, marmalades, fruit or nut pur?es and nut pastes, ...",0,0,0,0,0,0,0,0,0,0,,369,301,1121,402,45,324,455,761,1339,1497,,361,541,753,774,530,793,848,664,397,222
200981,"Cranberry """"Vaccinium macrocarpon, Vaccinium oxycoccos, Vaccinium vitis-idaea"""" juice, unfermented, ...""",0,0,0,0,0,0,0,0,0,0,,0,15,18,3,1,0,0,24,3,3,,327,1092,564,421,437,513,602,790,662,839
