Product code,Product label,Germany's imports from China-Value in 2012,Germany's imports from China-Value in 2013,Germany's imports from China-Value in 2014,Germany's imports from China-Value in 2015,Germany's imports from China-Value in 2016,Germany's imports from China-Value in 2017,Germany's imports from China-Value in 2018,Germany's imports from China-Value in 2019,Germany's imports from China-Value in 2020,Germany's imports from China-Value in 2021,China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
80221,"Fresh or dried hazelnuts or filberts """"Corylus spp."""", in shell""""",0,0,0,0,0,0,0,0,0,0,,91,297,19,13,26,79,79,325,41,365,,7754,8021,9494,5833,9070,7734,7065,4683,6218,7931
80280,"Fresh or dried areca nuts, whether or not shelled or peeled",37,14,0,0,0,0,0,0,0,0,,45,29,75,83,82,65,101,64,226,4880,,122,40,15,17,8,15,17,26,36,32
80310,Fresh or dried plantains,2,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,1225,1991,0,0,,2014,3040,1573,1969,2416,2398,5475,11285,10469,8542
80520,"Fresh or dried mandarins incl. tangerines and satsumas, clementines, wilkings and similar citrus ...",497,156,21,19,80,0,0,0,0,0,,747612,893326,918804,980726,916103,2,0,0,0,0,,427836,456628,461811,423889,427432,0,0,0,0,0
80112,"Fresh coconuts in the inner shell """"endocarp""""""""",0,0,0,0,1,0,0,0,0,0,,0,2,0,0,0,7,25,26,20,18,,334,375,1148,576,969,1472,1976,1566,2132,2801
90112,Decaffeinated coffee (excluding roasted),0,0,0,0,0,0,0,0,0,0,,0,0,0,8,7,9,48,45,31,0,,2041,8084,1797,1261,2077,7863,17435,21156,18601,18854
90122,"Roasted, decaffeinated coffee",0,0,7,0,0,0,0,0,0,0,,517,139,166,71,5142,176,257,634,2492,1386,,27002,25806,26283,24468,21054,115417,54651,21158,30556,29760
90190,Coffee husks and skins; coffee substitutes containing coffee in any proportion,0,0,0,0,0,0,1,0,0,0,,0,19,0,0,11,39,108,24,41,46,,260,306,416,488,501,1599,1757,1554,1472,921
70521,Fresh or chilled witloof chicory,0,0,0,1,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,,20050,20548,17375,16214,14355,16337,18215,16046,12775,14822
70992,Fresh or chilled olives,0,0,0,0,0,0,0,0,0,0,,0,0,3,0,0,0,0,0,0,0,,1780,1525,2094,4487,5817,4462,3206,2501,3612,3170
50610,Ossein and bones treated with acid,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,464,815,553,237,8,234,704,256,1943,2583
60210,Unrooted cuttings and slips,11,76,70,62,53,0,0,0,0,0,,9233,8821,8418,7752,7159,6581,8130,11411,11832,12907,,45024,46667,49579,44923,46275,41353,49895,43814,40572,44337
30759,"Octopus """"Octopus spp."""", smoked, frozen, dried, salted or in brine""""",79,11,38,58,6,0,0,0,0,0,,302997,318853,366405,301859,277096,28442,10685,3050,2337,5419,,12159,7691,9988,9380,10426,144,109,78,95,193
30760,"Snails, live, fresh, chilled, frozen, salted, dried or in brine, even smoked, with or without ...",0,0,0,0,0,0,0,0,0,0,,1701,1007,692,250,101,127,40,16,21,8,,573,489,561,530,541,487,597,604,748,969
30772,"Frozen, even in shell, clams, cockles and ark shells """"families Arcidae, Arcticidae, Cardiidae, ...""",0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,29972,29402,30395,22912,21129,,0,0,0,0,0,864,940,1016,411,432
30779,"Smoked, frozen, dried, salted or in brine, even in shell, clams, cockles and ark shells """"families ...""",0,5,0,0,0,0,0,0,0,0,,19421,25830,36277,35039,36243,2712,1710,1236,1026,2215,,527,779,863,639,970,9,26,39,54,52
30781,"Live, fresh or chilled, even in shell, abalone """"Haliotis spp.""""""""",0,0,0,0,0,0,0,0,0,0,,10710,16958,33535,38073,29676,31992,39712,43017,56362,58401,,0,0,2,5,2,7,0,6,7,4
30830,"Live, fresh, chilled, frozen, dried, salted or in brine, even smoked, jellyfish """"Rhopilema ...""",0,10,0,0,0,0,0,37,0,0,,35850,41832,31031,34131,68670,52351,40925,35528,28611,22221,,6,12,5,4,4,3,1,38,0,5
40390,"Buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream, ...",0,0,0,0,0,0,0,0,0,0,,263,434,571,485,1184,3662,5263,5203,5069,5318,,39635,51848,41917,37735,39429,50551,45916,58507,67308,73429
40520,"Dairy spreads of a fat content, by weight, of >= 39% but < 80%",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,12504,7485,6399,5704,7842,17613,17561,13322,9233,18000
40729,"Fresh birds' eggs, in shell (excluding of domestic fowls, and fertilised for incubation)",0,0,0,0,0,0,0,0,0,0,,37,94,565,723,611,441,1478,1297,1320,1464,,256,455,2926,1038,1040,796,841,1174,1405,2413
30692,"Lobsters """"Homarus spp."""", whether in shell or not, dried, salted, smoked or in brine, incl. ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,1
30635,"Cold-water shrimps and prawns """"Pandalus spp., Crangon crangon"""", whether in shell or not, ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,1,0,0,0,,0,0,0,0,0,12068,14554,8228,8912,8636
30484,"Frozen fillets of swordfish """"Xiphias gladius""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,663,784,1138,444,885,717,567,1067,,392,473,523,821,741,684,772,1026,359,520
