Product code,Product label,China's imports from Australia-Value in 2012,China's imports from Australia-Value in 2013,China's imports from Australia-Value in 2014,China's imports from Australia-Value in 2015,China's imports from Australia-Value in 2016,China's imports from Australia-Value in 2017,China's imports from Australia-Value in 2018,China's imports from Australia-Value in 2019,China's imports from Australia-Value in 2020,China's imports from Australia-Value in 2021,Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
520100,"Cotton, neither carded nor combed",1914979,1758598,1079949,471017,379307,496595,901864,818234,225178,72204,,2723425,2511612,1810804,819538,1175908,1580300,1809247,1099575,310408,1500804,,11804012,8440549,4990039,2564094,1561008,2185781,3165657,3567225,3562312,3798245
151590,"Fixed vegetable fats and oils and their fractions, whether or not refined, but not chemically ...",623,775,482,3282,3705,9669,29282,48383,64541,69995,,2868,4418,3594,2836,2846,4276,3373,4023,7133,5924,,17047,17169,17994,24189,26808,38933,69166,93495,123004,146840
100490,Oats (excluding seed for sowing),28215,30594,37838,47888,61045,88674,64676,58106,55217,69084,,45356,3411,3866,3711,2609,4221,4075,4267,43851,126678,,28376,30594,37846,49774,62811,88816,65005,64644,63115,82558
190190,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing ...",170546,132660,158147,22438,16064,48483,21847,43876,71882,68073,,402831,460470,307190,246069,288024,329678,284461,350395,363141,299466,,452296,512609,529228,357509,366918,383242,468496,475059,636523,620581
250510,"Silica sands and quartz sands, whether or not coloured",1573,2010,6155,10685,14966,13167,39536,50042,60926,67782,,83717,4307,0,70362,74309,87279,100522,96827,50987,0,,91915,55375,38697,35857,39134,43962,82395,100773,138339,160860
121490,"Swedes, mangolds, fodder roots, hay, lucerne """"alfalfa"""", clover, sainfoin, forage kale, lupines, ...""",6204,15809,40653,52801,73073,86227,79726,86368,115854,66062,,566372,380077,284586,327143,307621,343665,339362,366254,389166,522731,,180372,296332,383010,521552,523061,515178,526126,546195,606920,668518
810520,Cobalt mattes and other intermediate products of cobalt metallurgy; unwrought cobalt; cobalt ...,23292,21743,21835,32142,14192,48661,8244,6223,56251,63904,,147270,135657,147118,156855,81951,169773,212955,116208,152079,129220,,487217,622248,627428,890261,956099,2170018,3695586,1992464,2430149,4149926
71331,"Dried, shelled beans of species """"Vigna mungo [L.] Hepper or Vigna radiata [L.] Wilczek"""", ...""",4722,90,482,16214,13763,8318,31437,4726,35454,60329,,83049,65192,34645,132286,158453,101456,94629,27107,65509,129735,,27165,12615,15622,42698,30464,26416,71913,87176,183329,235222
480411,"Unbleached kraftliner, uncoated, in rolls of a width > 36 cm",59357,73350,79841,71048,79704,70008,83304,67455,68912,58327,,51184,57616,61575,45093,33412,43102,12744,11143,16754,18017,,309774,338069,365325,334826,358996,425557,705351,484276,600253,443182
440121,Coniferous wood in chips or particles (excluding those of a kind used principally for dying ...,41762,35370,15301,3600,47697,19570,29487,17311,34531,58015,,93912,80953,83354,90669,17299,48045,99455,85294,79671,128976,,59057,71311,34963,20960,64133,40039,54659,27892,48746,150667
150420,"Fats and oils of fish and their fractions, whether or not refined (excluding liver oils and ...",198,420,589,7183,9727,21624,37141,52695,49412,57711,,5058,7024,8332,10657,7225,5962,3282,4861,4667,9191,,78183,118044,95535,100789,98547,143294,183099,203781,240761,276310
261710,Antimony ores and concentrates,51206,69461,52725,56576,51134,44898,35683,25440,47010,50422,,56694,64503,58742,69821,51133,43883,35464,29234,51296,104676,,220041,187166,164983,107120,104257,143772,213263,143008,116539,121356
750110,Nickel mattes,257521,274268,238202,123571,67671,47842,0,0,25360,49815,,0,0,0,0,0,0,0,0,0,0,,259459,275096,239367,124904,97435,154037,168507,139183,99524,138858
150210,"Tallow of bovine animals, sheep or goats (excluding oil and oleostearin)",88494,61349,53998,35004,18796,40913,37580,32303,47279,49310,,340995,367211,364394,264399,299871,288035,262754,234277,296713,473978,,175141,110202,116780,91290,48326,72455,60882,62754,65226,72079
20430,Frozen lamb carcases and half-carcases,0,2801,3421,197,0,0,68,3416,8091,47629,,62070,56618,43919,36536,28764,36388,33816,47150,30969,85551,,115,27417,65241,9743,555,607,2872,28983,50530,196294
902190,"Articles and appliances, which are worn or carried, or implanted in the body, to compensate ...",56821,21865,34818,60679,55999,50155,45643,40564,36252,46883,,308650,339415,394874,377320,499821,595197,640390,147240,85064,117972,,859094,1072791,1096455,1229556,1141270,1310697,1440290,1667227,1378717,1119490
220421,"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...",207556,226287,247510,439787,543044,681976,716482,813656,672599,45954,,1470366,1341690,1258672,1275392,1349991,1634003,1684267,1661766,1633763,1211388,,1376201,1381934,1366156,1879673,2196696,2551765,2573299,2202867,1655358,1308405
151411,"Low erucic acid rape or colza oil """"fixed oil which has an erucic acid content of < 2%"""", ...""",24727,22693,21715,37879,24876,37508,10913,41779,67815,44363,,91380,97009,78774,63316,47933,70261,43576,68166,91997,119948,,1449797,1854553,772574,649118,511749,617034,1048801,1305457,1559733,2095960
