Product code,Product label,United States of America's imports from India-Value in 2012,United States of America's imports from India-Value in 2013,United States of America's imports from India-Value in 2014,United States of America's imports from India-Value in 2015,United States of America's imports from India-Value in 2016,United States of America's imports from India-Value in 2017,United States of America's imports from India-Value in 2018,United States of America's imports from India-Value in 2019,United States of America's imports from India-Value in 2020,United States of America's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
440290,"Wood charcoal, whether or not agglomerated (excl. of bamboo or shell or nut, charcoal used ...",41,0,0,53,12,129,29,131,88,88,,12382,12056,15400,7520,9908,13737,20410,28410,32263,45188,,36521,43889,50676,61663,58553,62500,64663,65009,96551,119512
381090,"Fluxes and other auxiliary preparations for soldering, brazing or welding; preparations of ...",167,389,459,491,223,311,161,208,116,87,,2279,3926,3969,4081,3056,2823,3358,3390,4974,5385,,50909,48063,46988,48896,38090,43875,48614,45120,34078,41881
950450,Video game consoles and machines (excluding operated by any means of payment),5,205,0,31,5,10,14,191,62,87,,0,296,2,105,125,1317,659,1430,483,920,,4977060,5035759,4689239,4827607,3706113,4709078,5537819,3981751,6327514,9924937
731290,"Plaited bands, slings and the like, of iron or steel (excluding electrically insulated products)",371,593,500,693,282,516,510,357,93,87,,10966,5422,5088,3599,2847,8013,9093,9312,5412,13351,,24103,21056,18528,22082,15754,21885,20637,24019,18618,27872
845420,"Ingot moulds and ladles, of a kind used in metallurgy or in metal foundries",11,16,68,217,237,131,173,153,58,87,,12132,11606,10015,7508,5299,6358,7649,7551,5398,7460,,16743,9941,12351,10836,12487,9842,13342,9441,11490,12933
870710,Bodies for motor cars and other motor vehicles principally designed for the transport of persons,0,18,82,28,59,263,2292,2976,1056,87,,560,854,2324,1651,849,4496,7982,9800,5205,11115,,31406,23554,29736,26733,26636,31524,32390,29857,32630,32715
520291,Garnetted stock of cotton,0,0,0,0,0,0,12,0,18,87,,67,4,15,2,180,558,887,1077,2176,4138,,1410,724,1422,787,1507,1676,1271,805,1107,946
530620,"Multiple """"folded"""" or cabled flax yarn""""",15,11,22,24,37,30,15,67,29,86,,1316,1112,808,160,120,121,283,126,224,302,,2116,1831,1963,1583,1542,1344,1532,1579,1283,1380
401320,"Inner tubes, of rubber, of a kind used for bicycles",52,35,206,23,654,229,52,3,15,86,,45496,45628,39835,31609,27303,28236,25121,24444,21454,30969,,49769,38137,44433,36094,29827,30186,29186,23512,34685,41807
290513,"Butan-1-ol """"n-butyl alcohol""""""""",1980,3516,2300,489,0,0,3,48,111,85,,7941,10159,2418,229,1809,491,1356,512,376,2166,,8085,14329,59212,8726,3386,8464,8554,9473,9551,22609
330620,"Yarn used to clean between the teeth """"dental floss"""", in individual retail packages""""",0,38,0,0,19,0,105,40,20,85,,74,158,98,28,218,107,58,74,62,56,,83011,86784,90322,108268,103687,101297,112792,109709,125096,153123
811300,"Cermets and articles thereof, n.e.s.; waste and scrap of cermets (excluding ash and residues ...",3277,4213,4110,110,162,925,582,1010,128,85,,1414,3139,1686,235,727,228,318,317,309,113,,82849,66125,77775,39674,45829,66402,102555,82216,68041,83019
210420,"Food preparations consisting of finely homogenised mixtures of two or more basic ingredients, ...",39,73,61,65,5,29,8,0,35,85,,2002,991,1168,869,933,799,952,1628,313,202,,22582,7080,4955,3781,6695,13285,35788,45579,47569,47646
