Code,Product label,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
340220,"Surface-active preparations, washing preparations, auxiliary washing preparations and cleaning ...",180076,197841,204022,170664,149505,158355,183173,204625,275863,292394
230400,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",313469,330949,318760,258706,251590,287356,312691,308941,328383,290027
390120,"Polyethylene with a specific gravity of >= 0,94, in primary forms",296103,309587,250602,188785,171485,228731,350610,230084,209408,282011
871200,"Bicycles and other cycles, incl. delivery tricycles, not motorised",242870,263650,242049,225135,190203,196106,207486,196913,230716,279822
844331,"Machines which perform two or more of the functions of printing, copying or facsimile transmission, ...",472563,426401,389779,350328,307120,297757,305987,266342,238885,277316
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,211404,238153,210891,232148,275400
640419,Footwear with outer soles of rubber or plastics and uppers of textile materials (excluding ...,178205,209517,188546,191281,201502,225982,240123,245781,217486,275229
731815,"Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excl. ...",229383,218779,219847,203988,179038,228091,247482,244466,224520,274489
845011,"Fully-automatic household or laundry-type washing machines, of a dry linen capacity <= 6 kg",298426,295589,274720,280982,267234,285575,253716,251417,289174,273672
851679,"Electro-thermic appliances, for domestic use (excluding hairdressing appliances and hand dryers, ...",207669,204697,204108,197810,201027,191312,194633,204317,270793,268424
901920,"Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic ...",117215,125639,173475,180741,172151,188162,191730,185979,332251,268072
271312,"Petroleum coke, calcined",323706,263860,216516,206053,163507,177598,287262,207032,159549,264592
220410,Sparkling wine of fresh grapes,181769,192681,191514,191339,179696,212385,222929,207312,185970,264472
220210,"Waters, incl. mineral and aerated, with added sugar, sweetener or flavour, for direct consumption ...",201766,197046,217722,186081,188238,206222,216136,209842,208685,263448
710813,"Gold, incl. gold plated with platinum, in semi-manufactured forms, for non-monetary purposes",1652741,1055002,788968,351409,1549353,1335559,1672353,28977,324238,261972
391810,"Floor coverings, whether or not self-adhesive, in rolls or in the form of tiles, and wall ...""",102454,104368,116817,125704,129598,156150,184366,183037,208637,260781
847420,Crushing or grinding machines for solid mineral substances,252377,182311,127579,41429,47498,79422,123142,128902,113348,260545
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",547299,371472,446423,300719,341776,312871,288988,269029,235776,259560
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",268451,189913,181199,168126,157333,140462,191867,195185,184028,258628
870830,"Brakes and servo-brakes and their parts, for tractors, motor vehicles for the transport of ...",238167,218290,215448,201230,201460,219053,218565,223409,214775,255547
640299,Footwear with outer soles and uppers of rubber or plastics (excluding covering the ankle or ...,235338,231203,232055,256456,249809,236112,256483,236638,183915,255541
843041,Self-propelled boring or sinking machinery for boring earth or extracting minerals or ores ...,330851,254925,115153,135311,110925,171018,218901,255399,195554,254440
392410,"Tableware and kitchenware, of plastics",231203,242875,249563,228864,205269,218246,226112,229328,217069,249799
940171,"Upholstered seats, with metal frames (excluding seats for aircraft or motor vehicles, swivel ...",156306,165630,166299,159521,168273,200467,235540,203913,202541,249725
850710,"Lead-acid accumulators of a kind used for starting piston engine """"starter batteries"""" (excluding ...""",187766,186559,206564,202031,200322,218047,237269,232922,241544,249010
890392,"Motor boats and motor yachts, for pleasure or sports (other than outboard motor boats)",254062,200204,168761,96105,135925,154015,168385,162093,120924,247810
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",171005,164677,187005,177621,184667,200042,201593,188252,189861,246253
180690,"Chocolate and other preparations containing cocoa, in containers or immediate packings of <= ...",268461,293872,298586,278763,264198,284800,274303,242460,223699,245160
871150,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",292913,274426,254647,233669,253568,236142,192050,169036,144521,245073
870510,Crane lorries (excluding breakdown lorries),0,0,0,26145,81006,128716,249694,251890,158856,243944
681099,"Articles of cement, concrete or artificial stone, whether or not reinforced (excluding prefabricated ...",142547,155715,190106,215154,248895,261689,284370,242108,214612,242190
851822,"Multiple loudspeakers, mounted in the same enclosure",122122,143384,155344,177464,175704,203052,250470,205050,212680,241385
710691,"Silver, incl. silver plated with gold or platinum, unwrought (excluding silver in powder form)",71133,77265,67364,38540,35759,25917,19609,32476,359278,241059
840820,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""", for ...""",302709,309622,286283,193415,182999,201158,228644,213112,169151,239296
901819,"Electro-diagnostic apparatus, incl. apparatus for functional exploratory examination or for ...",140067,140633,166822,165836,172251,191272,203357,179761,237681,234930
761090,"Structures and parts of structures, of aluminium, n.e.s., and plates, rods, profiles, tubes ...",173128,164820,210524,222759,185474,206384,287179,256160,223331,232972
761010,"Doors, windows and their frames and thresholds for door, of aluminium (excluding door furniture)",63555,69438,76328,96381,103087,170080,243783,255377,203891,232337
900490,"Spectacles, goggles and the like, corrective, protective or other (excluding spectacles for ...",161583,190018,224863,192860,167737,187723,212673,208102,265706,231957
871610,"Trailers and semi-trailers of the caravan type, for housing or camping",35734,44702,45366,44672,49702,64694,85654,100362,108071,231844
950699,Articles and equipment for sport and outdoor games n.e.s; swimming and paddling pools,155535,155143,158061,155931,144967,150302,149929,154701,167516,231015
851220,Electrical lighting or visual signalling equipment for motor vehicles (excluding lamps of heading ...,201484,186848,187133,175613,174791,184017,194655,185467,177082,228653
220300,Beer made from malt,253769,311264,327600,326480,325005,288830,316275,331750,259308,228562
852859,"Monitors, not incorporating television reception apparatus (excluding with cathode ray tube ...",141155,172174,164887,183416,201195,239743,224514,205275,160517,227995
930690,"Bombs, grenades, torpedos, mines, missiles, and other ammunition and projectiles, and parts ...",247661,254806,217968,153499,248864,165966,182926,206450,90104,226441
690721,"Ceramic flags and paving, hearth or wall tiles, of a water absorption coefficient by weight ...",0,0,0,0,0,225136,241273,208419,202682,226253
843139,"Parts of machinery of heading 8428, n.e.s.",278078,472252,302318,188657,147760,172758,173627,202055,164919,222427
841370,"Centrifugal pumps, power-driven (excluding those of subheading 8413.11 and 8413.19, fuel, lubricating ...",216205,331180,218839,184198,162772,171896,217782,201362,182756,222413
732111,"Appliances for baking, frying, grilling and cooking and plate warmers, for domestic use, of ...",216017,184117,187404,169577,158699,173398,179309,147843,160428,222150
847149,"Data-processing machines, automatic, presented in the form of systems """"comprising at least ...""",581568,478871,366199,372773,364097,364631,356627,153714,220859,218610
854460,"Electric conductors, for a voltage > 1.000 V, insulated, n.e.s.",58211,117487,110813,116732,89594,143909,206785,176192,145348,218493
300290,"Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses",97506,87006,84474,93014,115884,139780,150678,147794,161358,217702
842211,Dishwashing machines of the household type,177721,175720,174811,170137,176250,184841,188102,171919,199407,217517
843143,"Parts for boring or sinking machinery of subheading 8430.41 or 8430.49, n.e.s.",316718,242430,217534,147998,113169,128769,165376,190561,191869,216834
841510,"Window or wall air conditioning machines, self-contained or """"split-system""""""""",304780,314778,352447,345195,316795,414145,325552,278939,258670,215487
842129,Machinery and apparatus for filtering or purifying liquids (excluding such machinery and apparatus ...,214245,227649,407105,206828,184131,186614,204694,206086,225665,215334
260700,Lead ores and concentrates,348740,57074,76002,163784,217202,217882,175518,29392,162439,214653
170490,"Sugar confectionery not containing cocoa, incl. white chocolate (excl. chewing gum)",184186,202649,192152,178915,175389,183818,188404,182986,173682,214468
841981,"Machinery, plant and equipment for making hot drinks or for cooking or heating food (excluding ...",157434,168434,163419,184806,158333,168615,182234,169263,152953,214160
