Code,Product label,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021
850450,Inductors (excluding inductors for discharge lamps or tubes),121981,174243,177974,197742,226936,285002,294941,298236,341289,820773
630790,"Made-up articles of textile materials, incl. dress patterns, n.e.s.",258742,339419,475214,553920,526194,483546,546053,670926,1916873,818840
741110,Tubes and pipes of refined copper,91444,123566,171340,199975,291245,463690,585104,712370,751591,800579
850110,"Motors of an output <= 37,5 W",600827,576224,588543,670788,615110,642320,593354,542132,466283,796356
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",14708,18474,20499,29136,73829,165831,210419,249338,274310,792751
940340,Wooden furniture for kitchens (excluding seats),128795,150953,168108,173159,181438,204626,287974,380470,694371,768650
340600,Candles and the like,168367,166064,161767,155388,181000,184580,234394,270094,347206,767916
391810,"Floor coverings, whether or not self-adhesive, in rolls or in the form of tiles, and wall ...""",16532,12270,4615,9518,9074,15445,17541,46765,215689,765478
850811,"Vacuum cleaners, incl. dry cleaners and wet vacuum cleaners, with self-contained electric motor, ...",18418,27505,101152,122166,114444,128039,104020,169352,354422,755861
871120,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",176912,357886,459749,413158,484908,558125,574223,608731,695953,736919
850760,Lithium-ion accumulators (excluding spent),93627,123910,200640,310413,322093,413896,578517,703510,553928,726907
400122,"Technically specified natural rubber """"TSNR""""""""",2150309,2136805,1460779,885691,690450,695148,702879,714320,474692,722845
81090,"Fresh tamarinds, cashew apples, jackfruit, lychees, sapodillo plums, passion fruit, carambola, ...""",391392,252146,322635,545706,1144740,1479306,1563283,1549394,1341076,722240
841459,"Fans (excluding table, floor, wall, window, ceiling or roof fans, with a self-contained electric ...",68796,68646,128659,116432,129548,191324,159240,224344,446767,714506
940190,"Parts of seats, n.e.s.",130869,143016,165359,231403,204172,215179,300198,410920,408611,713865
940169,"Seats, with wooden frames (excluding upholstered)",506386,527366,628024,679871,747747,800152,680272,749984,788230,696013
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",13201,16236,25315,27380,38259,64876,129488,112917,237914,679531
610343,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of synthetic fibres, knitted ...",95158,144621,195128,210012,293742,363440,482394,533015,520453,676470
720720,"Semi-finished products of iron or non-alloy steel containing, by weight, >= 0,25% of carbon",205974,184998,158417,16117,18381,228690,184695,212104,549136,673371
620520,"Men's or boys' shirts of cotton (excluding knitted or crocheted, nightshirts, singlets and ...",330169,442998,563243,590874,623384,655973,730842,721440,514661,644468
760120,Unwrought aluminium alloys,22838,29809,46098,111295,121522,218765,345266,317829,430406,618664
700600,"Sheets or profiles of glass, whether or not having an absorbent, reflecting or non-reflecting ...",16059,3050,5762,12456,13596,14204,14975,12943,10389,608592
720839,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",1204,3383,3293,4165,9664,50564,165768,207391,199387,594230
621040,"Men's or boys' garments of textile fabrics, rubberised or impregnated, coated, covered or laminated ...",155231,215321,303777,271886,306041,350045,406276,455029,365156,593168
721391,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel, of circular ...",36695,29065,16634,25611,21528,126841,257222,177633,343884,592029
441233,"Plywood consisting solely of sheets of wood <= 6 mm thick, with at least one outer ply of non-coniferous ...",0,0,0,0,0,0,77800,171315,217418,590370
90411,"Pepper of the genus Piper, neither crushed nor ground",687624,765277,1023290,1089612,1233929,961993,602448,566099,510855,580531
681099,"Articles of cement, concrete or artificial stone, whether or not reinforced (excluding prefabricated ...",54957,94431,123155,144601,179592,194544,203398,291532,340348,569545
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",1298855,952899,915097,575296,534517,1101632,975759,1006592,518707,567627
851761,"Base stations of apparatus for the transmission or reception of voice, images or other data",7052,1218,1294,109,759,7578,1332534,71475,66672,563920
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",22737,74427,123512,182431,282148,337107,327203,299008,341481,563799
200819,"Nuts and other seeds, incl. mixtures, prepared or preserved (excluding prepared or preserved ...",29079,99878,70815,110329,146792,187542,264993,424664,495077,563221
540244,"Synthetic filament elastomeric yarn, single, untwisted or with a twist of <= 50 turns per metre ...",138745,159222,253847,273367,280019,301222,371417,344818,287514,559587
940179,"Seats, with metal frames (excluding upholstered, swivel seats with variable height adjustments ...",92555,102729,140381,137362,134464,173010,205835,246776,270132,557072
845020,"Laundry-type washing machines, of a dry linen capacity > 10 kg",33,37,26,3,262696,750669,484700,542733,603238,556031
420221,"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ...",42673,84944,141930,171904,248928,180716,292754,311139,225755,554880
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",241048,307860,380647,315208,345644,361079,376800,391886,369034,553537
845210,Sewing machines of the household type,67439,99967,185317,214827,234943,236343,284436,278848,362954,546895
650500,"Hats and other headgear, knitted or crocheted, or made up from lace, felt or other textile ...",156150,178382,205040,229845,262141,254537,283759,323883,317914,544700
401519,"Gloves, mittens and mitts, of vulcanised rubber (excl. of a kind used for medical, surgical, ...",55587,64492,80507,76792,91940,112668,143549,152867,311629,544399
847050,Cash registers incorporating a calculating device,4,326,9,4,51,13854,33326,42117,76020,542346
440131,Wood pellets,4318,23132,120594,103432,119746,172263,361676,309220,351877,528547
610342,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of cotton, knitted or ...",31780,34611,45362,71559,90111,108334,178286,252676,323042,527664
640291,"Footwear covering the ankle, with outer soles and uppers of rubber or plastics (excluding waterproof ...",142916,196825,202833,211602,224089,204764,243357,275179,328643,524869
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",28013,32197,206571,307789,404078,588265,583637,573531,601270,515390
850220,Generating sets with spark-ignition internal combustion piston engine,1924,1917,2279,1491,496,904,198,11245,153359,506391
720712,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...""",0,38,55,13,18,7228,207379,124142,385519,488263
600490,"Knitted or crocheted fabrics, of a width of > 30 cm, containing >= 5% by weight elastomeric ...""",2068,1121,6543,8620,9901,5053,8825,7812,5147,488214
852871,"Reception apparatus for television, whether or not incorporating radio-broadcast receivers ...",121250,144765,105624,120562,210381,205941,245077,324260,733244,484201
590220,"Tyre cord fabric of high-tenacity polyester yarn, whether or not dipped or impregnated with ...",264450,307846,326508,308504,287736,307094,344628,377004,287126,479263
390761,"Poly""""ethylene terephthalate"""", in primary forms, having a viscosity number of >= 78 ml/g""""",0,0,0,0,0,0,124946,376670,331449,477018
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",113339,100629,146602,132861,190366,175026,194215,325913,324942,474381
731210,"Stranded wire, ropes and cables, of iron or steel (excluding electrically insulated products ...",117131,212485,222772,253885,261120,295969,356636,366469,270590,472004
30499,Frozen fish meat n.e.s. (excluding fillets),482571,302516,346537,355835,349798,374535,473862,459195,436821,471489
871410,"Parts and accessories of motorcycles, incl. mopeds, n.e.s.",165776,136350,179683,191029,192523,230513,270288,312022,303615,468151
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",113554,117926,171068,200051,205184,224833,309133,407116,358747,464796
621050,"Women's or girls' garments of textile fabrics, rubberised or impregnated, coated, covered or ...",107083,146831,193598,170287,194464,236278,266906,300511,365917,462490
621143,"Women's or girls' tracksuits and other garments, n.e.s. of man-made fibres (excluding knitted ...",86491,116365,176843,239140,243318,261023,315781,369674,368945,450301
621133,"Men's or boys' tracksuits and other garments, n.e.s. of man-made fibres (excluding knitted ...",111470,143007,168618,191661,197002,208931,274052,322436,314700,445791
610510,"Men's or boys' shirts of cotton, knitted or crocheted (excluding nightshirts, T-shirts, singlets ...",205804,263183,259334,254090,233070,280420,304908,299500,216726,444816
