Code,Product label,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021
910129,"Wrist-watches of precious metal or of metal clad with precious metal, whether or not incorporating ...",288156,266725,275972,212696,173022,236277,282763,297574,254185,492993
902140,Hearing aids (excluding parts and accessories),344291,381128,349865,362369,366499,379201,490488,478396,444699,479390
293339,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyridine ring, ...",64304,569655,285958,191242,140250,69219,161680,520518,500928,478699
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",212569,164253,180495,190585,235037,226288,269638,275392,348738,475085
871499,"Parts and accessories, for bicycles, n.e.s.",598455,573025,400469,330799,262363,278544,303087,275803,300802,474486
300214,"Immunological products, mixed, not put up in measured doses or in forms or packings for retail ...",0,0,0,0,0,0,70127,328867,377613,471317
900290,"Lenses, prisms, mirrors and other optical elements, mounted, of any material, being parts of ...",122175,208307,104512,140123,110816,139635,383811,220534,154203,460872
847180,"Units for automatic data-processing machines (excluding processing units, input or output units ...",565881,489717,394525,430937,599360,817367,420617,432271,315955,448840
847160,"Input or output units for automatic data-processing machines, whether or not containing storage ...",240316,243102,218077,296655,268675,288372,351252,350851,323344,446836
330410,Lip make-up preparations,89255,110753,166738,204486,246302,460794,706566,937608,535864,446097
800110,"Unwrought tin, not alloyed",582331,578885,695038,564801,540061,437986,334608,276394,281837,438611
481159,"Paper and paperboard, surface-coloured, surface-decorated or printed, coated, impregnated or ...",562932,549665,570765,590137,523488,440832,452669,451756,384941,432692
854150,"Semiconductor devices, n.e.s.",254432,534649,636291,507539,534392,297094,156157,160058,290813,428655
390740,"Polycarbonates, in primary forms",897006,830301,848457,642762,384444,386561,411117,341503,310975,428476
711291,"Waste and scrap of gold, incl. metal clad with gold, and other waste and scrap containing gold ...",604481,455610,478895,234169,659949,411694,433464,1217353,820967,422442
220410,Sparkling wine of fresh grapes,345374,326260,351644,336221,346759,370004,388001,403369,272185,421903
720449,"Waste and scrap of iron or steel (excluding slag, scale and other waste of the production of ...",351739,362173,357668,241773,234765,341605,329562,258209,182086,420424
290723,"4,4'-Isopropylidenediphenol """"bisphenol A, diphenylolpropane"""" and its salts""""",84219,112473,97859,68784,88769,185492,239312,189040,181537,415336
480256,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ...",404115,418481,453060,392787,414583,643588,488188,498031,369935,410486
848210,Ball bearings,770405,767885,672510,633911,600342,620792,539537,480830,377948,410162
853650,Switches for a voltage <= 1.000 V (excluding relays and automatic circuit breakers),316985,332703,320738,293759,276501,298859,402116,401693,319922,407060
380891,"Insecticides, put up in forms or packings for retail sale or as preparations or articles (excl. ...",71572,78241,216846,248565,189109,361120,327171,333407,354659,404110
847149,"Data-processing machines, automatic, presented in the form of systems """"comprising at least ...""",282899,283079,222836,254915,269004,318555,333799,337372,266745,397937
700600,"Sheets or profiles of glass, whether or not having an absorbent, reflecting or non-reflecting ...",110852,37006,19922,69691,129011,97443,91430,113712,257952,394400
852349,Optical media for the recording of sound or of other phenomena (excluding unrecorded and goods ...,2120339,1402196,1259238,749895,603269,534616,514385,405454,371350,391294
851830,"Headphones and earphones, whether or not combined with microphone, and sets consisting of a ...",53625,46791,53677,63661,69304,83717,137598,232350,273921,381568
841181,Gas turbines of a power <= 5.000 kW (excluding turbojets and turbopropellers),69739,177392,248956,311701,484198,276079,389793,518049,431393,372353
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",149977,222311,298670,170851,207894,326769,226988,137253,90668,366898
853321,Fixed electrical resistors for a power handling capacity <= 20 W (excluding heating resistors),146111,132655,155456,149225,173373,216126,302306,243295,228108,361382
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",406633,360666,391397,357297,337021,502169,633436,628511,480948,360314
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",254169,409124,381737,297027,332537,343638,385225,398064,333946,359778
390690,"Acrylic polymers, in primary forms (excluding poly""""methyl methacrylate"""")""""",425674,380645,398706,340937,300723,314513,336903,310487,305322,351762
901320,Lasers (excluding laser diodes),54163,66641,99481,110358,137044,185387,206816,246791,290519,346836
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",198587,331173,311066,256872,241364,238426,291542,329090,295639,344763
850650,Lithium cells and batteries (excluding spent),291054,331596,450401,339269,298080,430633,398691,266670,252845,338758
902730,"Spectrometers, spectrophotometers and spectrographs using optical radiations, such as UV, visible, ...",170957,240980,285965,319010,335336,336940,368783,368854,302178,338290
400239,"Halo-isobutene-isoprene rubber """"CIIR"""" or """"BIIR"""", in primary forms or in plates, sheets ...""",33601,128160,127940,359894,431294,542823,507924,417027,264353,337591
850610,Manganese dioxide cells and batteries (excluding spent),235921,247093,286589,236512,251250,261562,315102,301816,308062,334925
854121,Transistors with a dissipation rate < 1 W (excluding photosensitive transistors),663037,334377,185659,127298,137418,139762,182799,177338,184735,334374
293499,"Nucleic acids and their salts, whether or not chemically defined; heterocyclic compounds (excl. ...""",645541,739994,630621,606333,476121,395144,411411,282650,484379,329575
848190,"Parts of valves and similar articles for pipes, boiler shells, tanks, vats or the like, n.e.s.",261676,325883,354204,365285,294123,295228,339558,329389,341486,323883
902620,Instruments and apparatus for measuring or checking pressure of liquids or gases (excluding ...,193477,281985,286443,281891,307749,272787,279940,320421,249545,322887
903082,Instruments and apparatus for measuring or checking semiconductor wafers or devices,76896,73947,74631,69736,98126,166214,138469,178154,294234,322425
290121,Ethylene,90666,191637,384744,279225,205369,458300,317945,426064,223270,318778
291521,Acetic acid,95510,0,0,0,0,0,0,0,128956,316494
903190,"Parts and accessories for instruments, appliances and machines for measuring and checking, ...",332870,272188,231258,224955,188655,229292,247873,290790,248452,316090
853620,Automatic circuit breakers for a voltage <= 1.000 V,94361,219965,192845,102138,233500,127869,255638,155990,274560,315060
230990,Preparations of a kind used in animal feeding (excluding dog or cat food put up for retail ...,218030,196879,192465,203374,231549,211485,227499,227483,282318,312376
820900,"Plates, sticks, tips and the like for tools, unmounted, of sintered metal carbides or cermets",209248,273797,269026,267107,265407,308917,321307,309163,242734,309580
340213,"Non-ionic organic surface-active agents, whether or not put up for retail sale (excluding soap)",225687,187702,216291,182077,196950,248569,243531,225850,253263,308115
711299,"Waste and scrap of silver, incl. metal clad with silver, and other waste and scrap containing ...",56156,47735,60504,102352,83038,67556,57080,67903,154443,303534
290529,Unsaturated monohydric acyclic alcohols (excluding acyclic terpene alcohols),2040,104675,209398,121831,120477,174448,214994,135929,162409,303262
340319,"Lubricant preparations, incl. cutting-oil preparations, bolt or nut release preparations, anti-rust ...",52751,65127,102550,68691,78700,133748,286345,216559,217077,300547
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,0,605887,202018,475992,298545
853290,"Parts of electrical """"pre-set"""" capacitors, fixed, variable or adjustable, n.e.s.""""",69521,155092,122596,99162,123223,155939,195256,150794,213917,295376
847190,"Magnetic or optical readers, machines for transcribing data onto data media in coded form and ...",297584,296633,283890,275904,303253,318690,453953,308629,323635,293760
853229,"Fixed electrical capacitors (excluding tantalum, aluminium electrolytic, ceramic, paper, plastic ...",288269,296899,262478,242540,252860,375474,250170,206731,250949,283737
291614,Esters of methacrylic acid,407777,339380,352470,291314,214807,304342,322769,197619,197911,283039
851769,"Apparatus for the transmission or reception of voice, images or other data, incl. apparatus ...",79778,109928,159046,146118,156724,112549,95987,73585,145336,280396
970110,"Paintings, e.g. oil paintings, watercolours and pastels, and drawings executed entirely by ...",118774,130519,201384,225652,316166,173190,289880,272555,261749,278231
847141,"Data-processing machines, automatic, comprising in the same housing at least a central processing ...",249114,310912,303299,271197,224516,277570,240715,233390,186267,277393
902290,"X-ray generators other than X-ray tubes, high tension generators, control panels and desks, ...",191801,425257,570364,386101,362975,485139,403046,389726,294726,276376
900190,"Lenses, prisms, mirrors and other optical elements, of any material, unmounted (excluding such ...",377761,388467,411473,397389,279913,480041,303315,602424,640311,275942
840710,"Spark-ignition reciprocating or rotary internal combustion piston engine, for aircraft",650903,955469,742922,293225,229622,150958,1107820,2048694,351395,274349
400219,"Styrene-butadiene rubber """"SBR""""; carboxylated styrene-butadiene rubber """"XSBR"""", in primary ...""",30455,40504,108893,203465,256582,319909,307015,273446,239723,272571
270799,"Oils and other products of the distillation of high temperature coal tars; similar products ...""",16589,47610,40089,34325,42619,41102,27262,89904,201369,269036
845229,"Sewing machines, industrial type (excluding automatic units)",239702,298279,340679,364452,343814,252982,456261,285893,162086,268559
901819,"Electro-diagnostic apparatus, incl. apparatus for functional exploratory examination or for ...",293562,195961,264468,319269,257690,285402,306525,296758,258609,268234
852859,"Monitors, not incorporating television reception apparatus (excluding with cathode ray tube ...",84695,95122,99654,71926,81617,84463,127958,363081,309471,264787
871494,"Brakes, incl. coaster braking hubs and hub brakes, and parts thereof, for cycles (excluding ...",142483,137264,219049,209560,171043,172032,187792,215060,220642,261085
844851,"Sinkers, needles and other articles used in forming stitches, for machines of heading 8447",58133,66734,139159,177991,214467,245047,234960,182641,203158,252682
901850,"Ophthalmic instruments and appliances, n.e.s.",73828,70862,44066,57642,64922,93105,128253,186735,146990,249261
710239,"Diamonds, worked, but not mounted or set (excluding industrial diamonds)",476708,743324,735598,531913,521753,444772,480122,421189,138306,247192
390810,"Polyamides-6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms",183040,209433,179188,183099,164404,181580,218793,211145,169957,245213
190110,"Food preparations for infant use, put up for retail sale, of flour, groats, meal, starch or ...",406115,409729,368029,295997,224780,201005,233014,225001,291162,240457
841430,Compressors for refrigerating equipment,486112,475989,458327,388754,382753,399373,221679,239361,204983,239092
300219,"Immunological products, n.e.s. (code possibly empty, preceding subheadings seem exhaustive)",0,0,0,0,0,0,326715,171480,179539,238568
854449,"Electric conductors, for a voltage <= 1.000 V, insulated, not fitted with connectors, n.e.s.",145182,146109,135613,150539,135705,149813,165752,204763,207898,237942
390130,"Ethylene-vinyl acetate copolymers, in primary forms",151160,150309,165226,150558,131685,152575,174896,161814,150084,235815
740311,"Copper, refined, in the form of cathodes and sections of cathodes",173098,234298,53763,195670,558718,698628,540164,118099,36071,235285
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",159517,181724,185646,143537,174423,181283,164581,162841,179394,234550
852871,"Reception apparatus for television, whether or not incorporating radio-broadcast receivers ...",5236,10490,6900,6966,7651,5971,5821,65660,454132,231523
390390,"Polymers of styrene, in primary forms (excluding polystyrene, styrene-acrylonitrile copolymers ...""",99280,172660,241806,200340,184616,198722,219519,187304,178868,230129
750890,"Articles of nickel, n.e.s.",27730,21518,13233,12976,16624,57944,109239,160809,15281,229206
390730,"Epoxide resins, in primary forms",251141,256127,230329,190968,189535,202282,197379,168072,169837,228948
842129,Machinery and apparatus for filtering or purifying liquids (excluding such machinery and apparatus ...,131281,150541,148633,173873,141528,152750,177374,205136,259570,226903
550410,"Staple fibres of viscose rayon, not carded, combed or otherwise processed for spinning",0,0,0,1,98,0,0,0,156480,224623
180620,"Chocolate and other food preparations containing cocoa, in blocks, slabs or bars weighing > ...",149757,197416,244102,197467,166763,179655,195146,212110,189548,224291
300290,"Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses",4867,3342,3236,7617,9493,15667,22872,50842,171912,223545
630790,"Made-up articles of textile materials, incl. dress patterns, n.e.s.",20913,36330,51125,45046,43638,60635,55490,59715,227055,223517
841391,"Parts of pumps for liquids, n.e.s.",260201,262359,303427,270736,231235,216505,296580,293558,208370,222911
720293,Ferro-niobium,0,0,287579,254093,231431,223939,270095,170346,153488,215784
852359,"Semiconductor media, unrecorded, for the recording of sound or of other phenomena (excluding ...",65472,161614,223341,153728,201202,183763,217452,213307,227440,212875
