Code,Product label,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
284390,"Inorganic or organic compounds of precious metals, whether or not chemically defined (excluding ...",1735,1768,5061,6783,6809,13488,22793,32321,37793,69436
391732,"Flexible tubes, pipes and hoses of plastics, not reinforced or otherwise combined with other ...",18224,24479,18729,18708,25955,29537,44786,49586,53820,69417
10392,"Live swine, weighing >= 50 kg (excluding pure-bred for breeding)",0,0,0,0,58,0,0,0,123186,69415
420500,Articles of leather or composition leather (excluding saddlery and harness bags; cases and ...,12767,15721,14598,23109,18104,17085,23051,39526,40675,69332
843120,"Parts of fork-lift trucks and other works trucks fitted with lifting or handling equipment, ...",8082,4368,4381,5790,7512,9678,11352,16241,19448,69271
846210,"Forging or die-stamping machines, incl. presses, and hammers",27510,44648,37540,39493,32534,32594,38045,47646,38649,69253
320820,"Paints and varnishes, incl. enamels and lacquers, based on acrylic or vinyl polymers, dispersed ...",24679,24665,46058,46984,56213,54240,63416,62364,69260,69155
853641,Relays for a voltage <= 60 V,14800,18399,22467,22473,42691,47535,42515,43419,39425,69057
902890,"Parts and accessories for gas, liquid or electricity supply or production meters, n.e.s.",8366,7267,6412,15155,51573,40808,51903,82497,84174,68928
722692,"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, not further ...""",13259,39931,50728,17881,5057,63124,76903,81055,70227,68725
320740,"Glass frit and other glass in the form of powder, granules or flakes",3449,3598,7772,7387,4700,2138,2993,3989,6816,68680
81070,Fresh persimmons,1290,2035,1939,2612,2510,2306,1969,1758,4077,68584
911120,"Cases for wrist-watches, pocket-watches and other watches of heading 9101 or 9102, of base ...",0,2,80,80,1,0,0,1,1996,68399
281700,Zinc oxide; zinc peroxide,23404,26216,32474,32015,32463,42893,57375,62191,56395,68337
230230,"Bran, sharps and other residues of wheat, whether or not in the form of pellets, derived from ...",93980,120157,95170,99629,142852,121803,103065,101269,91943,68218
580136,"Chenille fabrics, of man-made fibres (excluding terry towelling and similar woven terry fabrics, ...",949,1465,3155,4784,10351,34889,47317,68556,82419,68161
291531,Ethyl acetate,40061,45898,52631,43565,38770,48811,63645,57279,62329,68117
292241,Lysine and its esters; salts thereof,69613,57249,55028,61818,78119,71222,79829,64046,70927,68085
730900,"Reservoirs, tanks, vats and similar containers, of iron or steel, for any material other than ...""",47863,68152,56368,77370,37636,51992,39836,35587,41796,68074
830160,"Parts of padlocks, locks, clasps and frames with clasps, incorporating locks, of base metal, ...",16160,11656,11516,13358,15290,16139,27070,25487,27284,68019
420222,"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ...",3915,4686,4617,11066,12218,16053,19465,26297,18571,67896
845090,"Parts of household or laundry-type washing machines, n.e.s.",14798,7615,9936,12876,44935,62654,40808,36923,37541,67882
840810,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""", for ...""",106459,141952,139690,213710,231064,145400,116846,119835,129668,67869
732410,"Sinks and washbasins, of stainless steel",2311,2773,12043,32609,6348,9142,8184,9919,17404,67821
960621,"Buttons of plastics, not covered with textile material (excluding press-fasteners, snap-fasteners, ...",37261,50386,54203,55116,55791,58445,66214,68368,60999,67745
520843,"Woven fabrics of cotton, containing >= 85% cotton by weight and weighing <= 200 g/m©÷, in three-thread ...",1116,1272,2345,4423,5779,7447,7478,8331,7071,67678
381210,Prepared rubber accelerators,24472,29737,32518,30884,34255,40502,49744,55318,58880,67410
390710,"Polyacetals, in primary forms",18259,19879,18415,13473,15194,36276,46157,42889,30273,67302
430219,"Tanned or dressed furskins, whole, with or without heads, tails or paws, not assembled (excluding ...",44114,50908,64040,69851,53766,63893,57832,58059,44963,67020
90111,Coffee (excluding roasted and decaffeinated),33404,47424,61949,35805,45751,87850,83524,64209,82808,66942
843139,"Parts of machinery of heading 8428, n.e.s.",13585,32028,82547,25202,10394,20071,34074,26909,14539,66916
701990,"Glass fibres and articles thereof, n.e.s.",27406,21033,20819,24047,29090,27053,32630,43358,42768,66889
870893,"Clutches and parts thereof, for tractors, motor vehicles for the transport of ten or more persons, ...",38553,41406,44584,49402,48472,53673,51827,39195,38387,66630
271600,Electrical energy,158655,221180,142704,142847,135536,109041,170869,187782,173217,66523
40590,"Fats and oils derived from milk, and dehydrated butter and ghee (excluding natural butter, ...",46542,67692,61554,37774,39429,64490,77974,76661,53217,66507
845150,"Machines for reeling, unreeling, folding, cutting or pinking textile fabrics",10671,16123,22765,30447,45309,48243,58131,75176,47128,66313
852691,Radio navigational aid apparatus,8931,12907,17305,21789,35826,23867,27720,36471,26902,66240
760429,"Bars, rods and solid profiles, of aluminium alloys, n.e.s.",21852,30303,42726,408522,582309,415789,724009,121636,113320,66052
841350,"Reciprocating positive displacement pumps for liquids, power-driven (excluding those of subheading ...",11139,9750,11307,12459,15404,14942,16371,21649,31587,66048
690721,"Ceramic flags and paving, hearth or wall tiles, of a water absorption coefficient by weight ...",0,0,0,0,0,0,78336,81342,67722,66046
851680,Electric heating resistors (excluding those of agglomerated coal and graphite),16252,19540,26985,27648,36001,57551,56803,60607,57175,66003
721061,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",9979,25265,25459,18570,5928,10504,13818,5246,6002,65881
580421,"Mechanically made lace of man-made fibres in the piece, in strips or in motifs (excluding fabrics ...",9515,9113,9739,12564,20976,23156,23243,37275,33823,65877
600633,"Fabrics, knitted or crocheted, of synthetic fibres, of yarns of different colours, of a width ...""",9784,13994,12387,14063,20294,16943,16966,31874,25801,65837
481019,"Paper and paperboard used for writing, printing or other graphic purposes, not containing fibres ...",6069,18071,12890,35689,27087,33372,39175,38659,31779,65627
230310,Residues of starch manufacture and similar residues,24815,23269,15185,9647,13890,33470,56564,61283,61876,65506
960610,"Press-fasteners, snap-fasteners and press studs and parts therefor",32888,43909,43449,45367,52708,56640,67662,66697,47525,65134
870540,Concrete-mixer lorries,7653,17626,30356,75883,111052,119657,13295,65863,35305,64996
846721,"Drills of all kinds for working in the hand, with self-contained electric motor",12174,13624,17422,20194,23221,26481,25949,23141,30825,64898
381600,"Refractory cements, mortars, concretes and similar compositions, incl. dolomite ramming mix ...",25708,29423,34053,43089,52491,52621,76164,87897,75224,64830
281410,Anhydrous ammonia,82932,63831,44423,45343,35911,45131,57872,44888,35901,64799
293371,"6-Hexanelactam """"epsilon-caprolactam""""""""",75690,93981,76495,65975,55885,82365,98588,65135,40389,64611
842951,Self-propelled front-end shovel loaders,25150,33003,39078,53745,57043,56239,47719,49617,61415,64373
