Code,Product label,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021
903149,"Optical instruments, appliances and machines for measuring or checking, not elsewhere specified ...",452079,389504,532670,487588,539551,877816,999730,852743,803364,1106011
845611,"Machine tools for working any material by removal of material, operated by laser (excl. soldering ...",0,0,0,0,0,781329,900494,636121,713890,1086804
870894,"Steering wheels, steering columns and steering boxes, and parts thereof, for tractors, motor ...",1764231,1566885,1274852,1155987,1292475,1370770,1469745,1185311,873893,1084496
721049,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",2515147,2108551,1694864,1213555,968021,999092,993493,824661,670959,1081887
870423,"Motor vehicles for the transport of goods, with only compression-ignition internal combustion ...""",2276848,1352354,1365181,1102418,885134,947092,1002505,841579,602855,1076719
870880,"Suspension systems and parts thereof, incl. shock-absorbers, for tractors, motor vehicles for ...",1319418,1226278,1181614,1027344,1136723,1170870,1150130,1045668,851262,1076245
270730,"Xylol """"xylenes"""" containing > 50% of xylenes (excluding chemically defined)""""",590378,770510,1160577,878729,941511,1260618,1458573,1300333,821434,1075710
850790,"Plates, separators and other parts of electric accumulators, n.e.s.",646288,837490,931563,737558,617459,975688,1493442,1357242,1027786,1074124
854390,"Parts of electrical machines and apparatus, having individual functions, n.e.s. in chapter ...",631089,795908,748949,956284,1038384,1012446,1053814,1193158,1165970,1066336
401120,"New pneumatic tyres, of rubber, of a kind used for buses and lorries (excluding typres with ...",1969246,1561710,1492776,1183827,996829,1050072,1007519,1059841,824855,1060445
841330,"Fuel, lubricating or cooling medium pumps for internal combustion piston engine",1209297,1106216,1117687,949523,924647,907735,831353,889335,941432,1059851
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",1472076,1175996,1372359,1272754,1420905,1176281,1292773,1200384,1120076,1043198
848310,"Transmission shafts, incl. cam shafts and crank shafts, and cranks",1623251,1369331,1236552,1074215,1126345,1188065,1204895,1042603,828243,1041100
850131,"DC motors of an output > 37,5 W but <= 750 W and DC generators of an output <= 750 W (excl. ...",694835,660852,693009,569730,652984,743265,790125,803855,808585,1038376
842911,"Self-propelled bulldozers and angledozers, track laying",1067181,842324,833700,649647,500393,709585,845630,823916,500430,1036618
870380,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,597792,386449,431470,759605,1018937
841590,"Parts of air conditioning machines, comprising a motor-driven fan and elements for changing ...",1789735,1482786,1419222,1079961,1136668,1147645,1230727,1096496,883936,1010781
854890,"Electrical parts of machinery or apparatus, not specified or included elsewhere in chapter ...",1133968,966061,987447,900496,890253,924018,915927,890743,943304,1005687
870193,"Tractors, of an engine power > 37 kW but <= 75 kW (excl. those of heading 8709, pedestrian-controlled ...",0,0,0,0,0,705691,767422,855445,752926,1003212
850750,Nickel-metal hydride accumulators (excluding spent),702566,683673,575932,541136,675895,741655,893643,1073125,884843,1000283
851110,Sparking plugs of a kind used for spark-ignition or compression-ignition internal combustion ...,835045,874688,912856,802384,808684,912496,950771,945738,848540,982988
270400,"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon",471137,330603,125232,102498,155400,343017,441853,410295,656246,965608
